filename,injection,file_type,sample_id,container_id,ATTRIBUTE_Species,genus,family,NCBITaxonomy_ID,Ionization.mode,organ,is_wild,collector,latitude,longitude,x_coord,y_coord,date_created
250402_ML_Metabo_DDA_QC_1_nr8.mzML,NA,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250402_ML_Metabo_DDA_QC_2_nr8.mzML,NA,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250402_ML_Metabo_DDA_QC_3_nr8.mzML,NA,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250402_ML_Metabo_DDA_QC_4_nr8.mzML,NA,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250402_ML_Metabo_DDA_QC_5_nr8.mzML,NA,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250402_ML_Metabo_DDA_QC_6_nr8.mzML,NA,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250402_ML_Metabo_DDA_QC_7_nr8.mzML,NA,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250402_ML_Metabo_DDA_sample_1_nr8.mzML,1,sample,dbgi_003749,dbgi_003749_01_01,Choisya dewitteana,Choisya,Rutaceae,76954,positive,Leaf,1,Mazzarine Laboureau,46.999622,6.933966,2561616.8,1205520,2025-03-04T13:03:46.786Z
250402_ML_Metabo_DDA_sample_10_nr8.mzML,10,sample,dbgi_003711,dbgi_003711_01_01,Rhus aromatica,Rhus,Anacardiaceae,289751,positive,Leaf,0,Mazzarine Laboureau,46.99975,6.9345775,2561663.5,1205533.9,2025-03-04T13:03:44.843Z
250402_ML_Metabo_DDA_sample_11_nr8.mzML,11,sample,dbgi_003337,dbgi_003337_01_01,Lomelosia graminifolia,Lomelosia,Caprifoliaceae,596804,positive,Leaf,0,Mazzarine Laboureau,47,6.93467,2561670.8,1205561.6,2025-03-04T13:03:29.380Z
250402_ML_Metabo_DDA_sample_12_nr8.mzML,12,sample,dbgi_003406,dbgi_003406_01_01,Sempervivum tectorum,Sempervivum,Crassulaceae,91155,positive,Leaf,0,Mazzarine Laboureau,46.999603,6.933868,2561609.2,1205518.1,2025-03-04T13:03:40.799Z
250402_ML_Metabo_DDA_sample_13_nr8.mzML,13,sample,dbgi_003273,dbgi_003273_01_01,Koelreuteria paniculata,Koelreuteria,Sapindaceae,43168,positive,Leaf,0,Mazzarine Laboureau,46.999756,6.9347963,2561680,1205534.8,2025-03-04T13:03:35.175Z
250402_ML_Metabo_DDA_sample_14_nr8.mzML,14,sample,dbgi_003519,dbgi_003519_01_01,Menyanthes trifoliata,Menyanthes,Menyanthaceae,28525,positive,Leaf,0,Mazzarine Laboureau,46.999985,6.9346156,2561666.5,1205560.2,2025-03-04T13:03:30.456Z
250402_ML_Metabo_DDA_sample_15_nr8.mzML,15,sample,dbgi_003359,dbgi_003359_01_01,Sempervivum transcaucasicum,Sempervivum,Crassulaceae,1538676,positive,Leaf,0,Mazzarine Laboureau,46.999977,6.935017,2561697,1205558.9,2025-03-04T13:03:31.186Z
250402_ML_Metabo_DDA_sample_16_nr8.mzML,16,sample,dbgi_002050,dbgi_002050_01_01,Dryopteris filix,Dryopteris,Dryopteridaceae,3287,positive,Leaf,0,Mazzarine Laboureau,47.000275,6.935201,2561711.2,1205592.2,2025-03-04T13:03:23.855Z
