csv_row_number	filename	normalized_filename	file_type	injection	sample_id	container_id	csv_ionization_mode	ms_parent_level	is_sample_file	has_required_csv_identifiers	dried_material_present	dried_samples_data_id	original_sample_container_id	extraction_sample_container_present	extraction_data_id	extraction_sample_container_id	expected_extraction_container_id	aliquot_sample_container_present	aliquoting_data_id	aliquot_sample_container_id	target_ms_parent_container_id	existing_ms_data_id	ready_for_ms_data_import	status	reason
2	250116_ML_Metabo_DDA_sample_1_nr8.mzML	250116_ML_Metabo_DDA_sample_1_nr8	sample	1	absi_000673	absi_000673_01	positive	aliquot	true	true	true	5936	absi_000673	true	2437	absi_000673_01		false					false	blocked	missing_aliquot_sample_container
3	250116_ML_Metabo_DDA_sample_10_nr8.mzML	250116_ML_Metabo_DDA_sample_10_nr8	sample	10	absi_000393	absi_000393_01	positive	aliquot	true	true	true	7098	absi_000393	true	2847	absi_000393_01		false					false	blocked	missing_aliquot_sample_container
4	250116_ML_Metabo_DDA_sample_11_nr8.mzML	250116_ML_Metabo_DDA_sample_11_nr8	sample	11	absi_000083	absi_000083_01	positive	aliquot	true	true	true	7194	absi_000083	true	2828	absi_000083_01		false					false	blocked	missing_aliquot_sample_container
5	250116_ML_Metabo_DDA_sample_12_nr8.mzML	250116_ML_Metabo_DDA_sample_12_nr8	sample	12	absi_000361	absi_000361_01	positive	aliquot	true	true	true	6200	absi_000361	true	2570	absi_000361_01		false					false	blocked	missing_aliquot_sample_container
6	250116_ML_Metabo_DDA_sample_13_nr8.mzML	250116_ML_Metabo_DDA_sample_13_nr8	sample	13	absi_000563	absi_000563_01	positive	aliquot	true	true	true	6287	absi_000563	true	2735	absi_000563_01		false					false	blocked	missing_aliquot_sample_container
7	250116_ML_Metabo_DDA_sample_14_nr8.mzML	250116_ML_Metabo_DDA_sample_14_nr8	sample	14	absi_000353	absi_000353_01	positive	aliquot	true	true	true	6278	absi_000353	true	2725	absi_000353_01		false					false	blocked	missing_aliquot_sample_container
8	250116_ML_Metabo_DDA_sample_15_nr8.mzML	250116_ML_Metabo_DDA_sample_15_nr8	sample	15	absi_000106	absi_000106_01	positive	aliquot	true	true	true	7248	absi_000106	true	2802	absi_000106_01		false					false	blocked	missing_aliquot_sample_container
9	250116_ML_Metabo_DDA_sample_16_nr8.mzML	250116_ML_Metabo_DDA_sample_16_nr8	sample	16	absi_000365	absi_000365_01	positive	aliquot	true	true	true	6158	absi_000365	true	2647	absi_000365_01		false					false	blocked	missing_aliquot_sample_container
10	250116_ML_Metabo_DDA_sample_17_nr8.mzML	250116_ML_Metabo_DDA_sample_17_nr8	sample	17	absi_000480	absi_000480_01	positive	aliquot	true	true	true	6166	absi_000480	true	2637	absi_000480_01		false					false	blocked	missing_aliquot_sample_container
11	250116_ML_Metabo_DDA_sample_18_nr8.mzML	250116_ML_Metabo_DDA_sample_18_nr8	sample	18	absi_000649	absi_000649_01	positive	aliquot	true	true	true	5916	absi_000649	true	2671	absi_000649_01		false					false	blocked	missing_aliquot_sample_container
