filename,injection,file_type,sample_id,container_id,Ionization.mode
250116_ML_Metabo_DDA_sample_1_nr8.mzML,1,sample,absi_000673,absi_000673_01,positive
250116_ML_Metabo_DDA_sample_10_nr8.mzML,10,sample,absi_000393,absi_000393_01,positive
250116_ML_Metabo_DDA_sample_11_nr8.mzML,11,sample,absi_000083,absi_000083_01,positive
250116_ML_Metabo_DDA_sample_12_nr8.mzML,12,sample,absi_000361,absi_000361_01,positive
250116_ML_Metabo_DDA_sample_13_nr8.mzML,13,sample,absi_000563,absi_000563_01,positive
250116_ML_Metabo_DDA_sample_14_nr8.mzML,14,sample,absi_000353,absi_000353_01,positive
250116_ML_Metabo_DDA_sample_15_nr8.mzML,15,sample,absi_000106,absi_000106_01,positive
250116_ML_Metabo_DDA_sample_16_nr8.mzML,16,sample,absi_000365,absi_000365_01,positive
250116_ML_Metabo_DDA_sample_17_nr8.mzML,17,sample,absi_000480,absi_000480_01,positive
250116_ML_Metabo_DDA_sample_18_nr8.mzML,18,sample,absi_000649,absi_000649_01,positive
250116_ML_Metabo_DDA_sample_19_nr8.mzML,19,sample,absi_000611,absi_000611_01,positive
250116_ML_Metabo_DDA_sample_2_nr8.mzML,2,sample,absi_000374,absi_000374_01,positive
250116_ML_Metabo_DDA_sample_20_nr8.mzML,20,sample,absi_000348,absi_000348_01,positive
250116_ML_Metabo_DDA_sample_21_nr8.mzML,21,sample,absi_000525,absi_000525_01,positive
250116_ML_Metabo_DDA_sample_23_nr8.mzML,23,sample,absi_000193,absi_000193_01,positive
250116_ML_Metabo_DDA_sample_24_nr8.mzML,24,sample,absi_000004,absi_000004_01,positive
250116_ML_Metabo_DDA_sample_25_nr8.mzML,25,sample,absi_000442,absi_000442_01,positive
250116_ML_Metabo_DDA_sample_26_nr8.mzML,26,sample,absi_000344,absi_000344_01,positive
250116_ML_Metabo_DDA_sample_27_nr8.mzML,27,sample,absi_000030,absi_000030_01,positive
250116_ML_Metabo_DDA_sample_28_nr8.mzML,28,sample,absi_000653,absi_000653_01,positive
250116_ML_Metabo_DDA_sample_29_nr8.mzML,29,sample,absi_000582,absi_000582_01,positive
250116_ML_Metabo_DDA_sample_3_nr8.mzML,3,sample,absi_000343,absi_000343_01,positive
250116_ML_Metabo_DDA_sample_30_nr8.mzML,30,sample,absi_000408,absi_000408_01,positive
250116_ML_Metabo_DDA_sample_31_nr8.mzML,31,sample,absi_000357,absi_000357_01,positive
250116_ML_Metabo_DDA_sample_32_nr8.mzML,32,sample,absi_000589,absi_000589_01,positive
250116_ML_Metabo_DDA_sample_33_nr8.mzML,33,sample,absi_000296,absi_000296_01,positive
250116_ML_Metabo_DDA_sample_34_nr8.mzML,34,sample,absi_000156,absi_000156_01,positive
250116_ML_Metabo_DDA_sample_35_nr8.mzML,35,sample,absi_000547,absi_000547_01,positive
250116_ML_Metabo_DDA_sample_36_nr8.mzML,36,sample,absi_000528,absi_000528_01,positive
250116_ML_Metabo_DDA_sample_37_nr8.mzML,37,sample,absi_000439,absi_000439_01,positive
250116_ML_Metabo_DDA_sample_38_nr8.mzML,38,sample,absi_000479,absi_000479_01,positive
250116_ML_Metabo_DDA_sample_39_nr8.mzML,39,sample,absi_000638,absi_000638_01,positive
250116_ML_Metabo_DDA_sample_4_nr8.mzML,4,sample,absi_000532,absi_000532_01,positive
250116_ML_Metabo_DDA_sample_41_nr8.mzML,41,sample,absi_000478,absi_000478_01,positive
250116_ML_Metabo_DDA_sample_42_nr8.mzML,42,sample,absi_000583,absi_000583_01,positive
250116_ML_Metabo_DDA_sample_43_nr8.mzML,43,sample,absi_000283,absi_000283_01,positive
250116_ML_Metabo_DDA_sample_44_nr8.mzML,44,sample,absi_000494,absi_000494_01,positive
250116_ML_Metabo_DDA_sample_45_nr8.mzML,45,sample,absi_000618,absi_000618_01,positive
250116_ML_Metabo_DDA_sample_46_nr8.mzML,46,sample,absi_000378,absi_000378_01,positive
250116_ML_Metabo_DDA_sample_47_nr8.mzML,47,sample,absi_000603,absi_000603_01,positive
250116_ML_Metabo_DDA_sample_48_nr8.mzML,48,sample,absi_000364,absi_000364_01,positive
250116_ML_Metabo_DDA_sample_49_nr8.mzML,49,sample,absi_000055,absi_000055_01,positive
250116_ML_Metabo_DDA_sample_5_nr8.mzML,5,sample,absi_000482,absi_000482_01,positive
250116_ML_Metabo_DDA_sample_50_nr8.mzML,50,sample,absi_000467,absi_000467_01,positive
250116_ML_Metabo_DDA_sample_51_nr8.mzML,51,sample,absi_000476,absi_000476_01,positive
250116_ML_Metabo_DDA_sample_52_nr8.mzML,52,sample,absi_000197,absi_000197_01,positive
