filename,sample_number,sample_type,ATTRIBUTE_species,run_date,sample_label,sample_id,collector_fullname,taxon_name,site_collecte,individuals,observation_subject,site_origine,longitude,latitude,annees_origine,annee_collecte,type_site,altitude_collecte,altitude_origine,origine_cultive,date_plantation,date,jours_apres_plantation,site
250116_ML_Metabo_DDA_sample_1_nr8.mzML,1,sample,artemisia absinthium,2025-01-16T16:06:40,sample_1,absi_000673,Mazzarine Laboureau,artemisia absinthium,linnaea,15,Leaf,linnaea,45.94709800,7.207684000,2024,2024,wild,1700,1700,FALSE,NA,21.08.2024,NA,1
250116_ML_Metabo_DDA_sample_10_nr8.mzML,10,sample,artemisia absinthium,2025-01-16T18:37:13,sample_10,absi_000393,Mazzarine Laboureau,artemisia absinthium,jardin_bota,264,Stems,chandonne,47.00015300,6.933444000,2021,2024,garden,550,1440,S,01.04.2021,06.08.2024,1223,2
250116_ML_Metabo_DDA_sample_11_nr8.mzML,11,sample,artemisia absinthium,2025-01-16T18:53:48,sample_11,absi_000083,Emmanuel Defossez,artemisia absinthium,jardin_bota,314,Root,cognes,47.00017000,6.933450000,2021,2024,garden,550,1678,S,01.04.2021,02.08.2024,1219,2
250116_ML_Metabo_DDA_sample_12_nr8.mzML,12,sample,artemisia absinthium,2025-01-16T19:10:48,sample_12,absi_000361,Mazzarine Laboureau,artemisia absinthium,jardin_bota,213,Flower,ferpecle,47.00013400,6.933300500,2023,2024,garden,550,1661,S,15.05.2023,08.08.2024,451,2
250116_ML_Metabo_DDA_sample_13_nr8.mzML,13,sample,artemisia absinthium,2025-01-16T19:27:24,sample_13,absi_000563,Mazzarine Laboureau,artemisia absinthium,jardin_bota,185,Stems,ferpecle,47.00012600,6.933303400,2023,2024,garden,550,1661,S,15.05.2023,08.08.2024,451,2
250116_ML_Metabo_DDA_sample_14_nr8.mzML,14,sample,artemisia absinthium,2025-01-16T19:43:58,sample_14,absi_000353,Mazzarine Laboureau,artemisia absinthium,jardin_bota,189,Stems,ardez,47.00012600,6.933322000,2022,2024,garden,550,1360,S,01.09.2022,08.08.2024,707,2
250116_ML_Metabo_DDA_sample_15_nr8.mzML,15,sample,artemisia absinthium,2025-01-16T20:00:58,sample_15,absi_000106,Emmanuel Defossez,artemisia absinthium,jardin_bota,279,Stems,cognes,47.00016000,6.933455000,2021,2024,garden,550,1678,S,01.04.2021,02.08.2024,1219,2
250116_ML_Metabo_DDA_sample_16_nr8.mzML,16,sample,artemisia absinthium,2025-01-16T20:17:34,sample_16,absi_000365,Mazzarine Laboureau,artemisia absinthium,jardin_bota,NA,Leaf,branson,47.00013700,6.933308000,2023,2024,garden,550,465,S,15.04.2023,08.08.2024,481,2
250116_ML_Metabo_DDA_sample_17_nr8.mzML,17,sample,artemisia absinthium,2025-01-16T20:34:08,sample_17,absi_000480,Mazzarine Laboureau,artemisia absinthium,jardin_bota,163,Root,praz_arc,47.00012000,6.933283000,2024,2024,garden,550,2040,S,01.07.2024,08.08.2024,38,2
250116_ML_Metabo_DDA_sample_18_nr8.mzML,18,sample,artemisia absinthium,2025-01-16T20:51:09,sample_18,absi_000649,Mazzarine Laboureau,artemisia absinthium,bourg_st_bernard,12,Root,bourg_st_bernard,45.90059300,7.196472000,2024,2024,wild,1930,1930,FALSE,NA,28.06.2024,NA,3
250116_ML_Metabo_DDA_sample_19_nr8.mzML,19,sample,artemisia absinthium,2025-01-16T21:07:44,sample_19,absi_000611,Mazzarine Laboureau,artemisia absinthium,bourg_st_bernard,14,Leaf,bourg_st_bernard,45.90061000,7.196495000,2024,2024,wild,1930,1930,FALSE,NA,21.08.2024,NA,3
250116_ML_Metabo_DDA_sample_2_nr8.mzML,2,sample,artemisia absinthium,2025-01-16T16:23:15,sample_2,absi_000374,Mazzarine Laboureau,artemisia absinthium,jardin_bota,301,Stems,chandonne,47.00016800,6.933437000,2021,2024,garden,550,1440,S,01.04.2021,06.08.2024,1223,2
250116_ML_Metabo_DDA_sample_20_nr8.mzML,20,sample,artemisia absinthium,2025-01-16T21:24:20,sample_20,absi_000348,Mazzarine Laboureau,artemisia absinthium,jardin_bota,267,Leaf,hauts_geneveys,47.00015600,6.933355300,2021,2024,garden,550,896,S,01.08.2021,09.08.2024,1104,2
250116_ML_Metabo_DDA_sample_21_nr8.mzML,21,sample,artemisia absinthium,2025-01-16T21:57:56,sample_21,absi_000525,Mazzarine Laboureau,artemisia absinthium,jardin_bota,233,Leaf,virgilio,47.00013700,6.933342000,2022,2024,garden,550,743,C,15.05.2022,09.08.2024,817,2
250116_ML_Metabo_DDA_sample_23_nr8.mzML,23,sample,artemisia absinthium,2025-01-16T22:31:31,sample_23,absi_000193,Mazzarine Laboureau,artemisia absinthium,jardin_bota,194,Leaf,giger,47.00012600,6.933350000,2024,2024,garden,550,735,C,30.10.2024,05.07.2024,782,2
250116_ML_Metabo_DDA_sample_24_nr8.mzML,24,sample,artemisia absinthium,2025-01-16T22:48:06,sample_24,absi_000004,Mazzarine Laboureau,artemisia absinthium,jardin_bota,NA,Leaf,branson,47.00012000,6.933320000,2023,2024,garden,550,465,S,15.04.2023,05.07.2024,447,2
250116_ML_Metabo_DDA_sample_25_nr8.mzML,25,sample,artemisia absinthium,2025-01-16T23:04:41,sample_25,absi_000442,Mazzarine Laboureau,artemisia absinthium,jardin_bota,189,Root,ardez,47.00012600,6.933322000,2022,2024,garden,550,1360,S,01.09.2022,08.08.2024,707,2
