filename,injection,file_type,sample_id,container_id,Ionization.mode
20262605_dbgi_006689_01,1,sample,dbgi_006689,20262605_dbgi_006689_01,positive
20262605_dbgi_009030_01,2,sample,dbgi_009030,20262605_dbgi_009030_01,positive
20262605_dbgi_006624_01,3,sample,dbgi_006624,20262605_dbgi_006624_01,positive
20262605_dbgi_006704_01,4,sample,dbgi_006704,20262605_dbgi_006704_01,positive
20262605_dbgi_001575_01,5,sample,dbgi_001575,20262605_dbgi_001575_01,positive
20262605_dbgi_008755_01,6,sample,dbgi_008755,20262605_dbgi_008755_01,positive
20262605_dbgi_009093_01,7,sample,dbgi_009093,20262605_dbgi_009093_01,positive
20262605_dbgi_008634_01,8,sample,dbgi_008634,20262605_dbgi_008634_01,positive
20262605_dbgi_008461_01,9,sample,dbgi_008461,20262605_dbgi_008461_01,positive
20262605_dbgi_007170_01,10,sample,dbgi_007170,20262605_dbgi_007170_01,positive
20262605_dbgi_006630_01,11,sample,dbgi_006630,20262605_dbgi_006630_01,positive
20262605_dbgi_009037_01,12,sample,dbgi_009037,20262605_dbgi_009037_01,positive
20262605_dbgi_004288_01,13,sample,dbgi_004288,20262605_dbgi_004288_01,positive
20262605_dbgi_006788_01,14,sample,dbgi_006788,20262605_dbgi_006788_01,positive
20262605_dbgi_006884_01,15,sample,dbgi_006884,20262605_dbgi_006884_01,positive
20262605_dbgi_006755_01,16,sample,dbgi_006755,20262605_dbgi_006755_01,positive
20262605_dbgi_009348_01,17,sample,dbgi_009348,20262605_dbgi_009348_01,positive
20262605_dbgi_007046_01,18,sample,dbgi_007046,20262605_dbgi_007046_01,positive
20262605_dbgi_009274_01,19,sample,dbgi_009274,20262605_dbgi_009274_01,positive
20262605_dbgi_008691_01,20,sample,dbgi_008691,20262605_dbgi_008691_01,positive
20262605_dbgi_006863_01,21,sample,dbgi_006863,20262605_dbgi_006863_01,positive
20262605_dbgi_008600_01,22,sample,dbgi_008600,20262605_dbgi_008600_01,positive
20262605_dbgi_004122_01,23,sample,dbgi_004122,20262605_dbgi_004122_01,positive
20262605_dbgi_008458_01,24,sample,dbgi_008458,20262605_dbgi_008458_01,positive
20262605_dbgi_006797_01,25,sample,dbgi_006797,20262605_dbgi_006797_01,positive
20262605_dbgi_006708_01,26,sample,dbgi_006708,20262605_dbgi_006708_01,positive
20262605_dbgi_008797_01,27,sample,dbgi_008797,20262605_dbgi_008797_01,positive
20262605_dbgi_009070_01,28,sample,dbgi_009070,20262605_dbgi_009070_01,positive
20262605_dbgi_009057_01,29,sample,dbgi_009057,20262605_dbgi_009057_01,positive
20262605_dbgi_008424_01,30,sample,dbgi_008424,20262605_dbgi_008424_01,positive
20262605_dbgi_006767_01,31,sample,dbgi_006767,20262605_dbgi_006767_01,positive
20262605_dbgi_008722_01,32,sample,dbgi_008722,20262605_dbgi_008722_01,positive
20262605_dbgi_006655_01,33,sample,dbgi_006655,20262605_dbgi_006655_01,positive
20262605_dbgi_008573_01,34,sample,dbgi_008573,20262605_dbgi_008573_01,positive
20262605_dbgi_006633_01,35,sample,dbgi_006633,20262605_dbgi_006633_01,positive
20262605_dbgi_006723_01,36,sample,dbgi_006723,20262605_dbgi_006723_01,positive
20262605_dbgi_008486_01,37,sample,dbgi_008486,20262605_dbgi_008486_01,positive
20262605_dbgi_009021_01,38,sample,dbgi_009021,20262605_dbgi_009021_01,positive
20262605_dbgi_006718_01,39,sample,dbgi_006718,20262605_dbgi_006718_01,positive
20262605_dbgi_004163_01,40,sample,dbgi_004163,20262605_dbgi_004163_01,positive
20262605_dbgi_009104_01,41,sample,dbgi_009104,20262605_dbgi_009104_01,positive
20262605_dbgi_004287_01,42,sample,dbgi_004287,20262605_dbgi_004287_01,positive
20262605_dbgi_007054_01,43,sample,dbgi_007054,20262605_dbgi_007054_01,positive
20262605_dbgi_006936_01,44,sample,dbgi_006936,20262605_dbgi_006936_01,positive
20262605_dbgi_009068_01,45,sample,dbgi_009068,20262605_dbgi_009068_01,positive
20262605_dbgi_006900_01,46,sample,dbgi_006900,20262605_dbgi_006900_01,positive
20262605_dbgi_008629_01,47,sample,dbgi_008629,20262605_dbgi_008629_01,positive
20262605_dbgi_009284_01,48,sample,dbgi_009284,20262605_dbgi_009284_01,positive
20262605_dbgi_008635_01,49,sample,dbgi_008635,20262605_dbgi_008635_01,positive
20262605_dbgi_008409_02_01,50,sample,dbgi_008409,20262605_dbgi_008409_02_01,positive
20262605_dbgi_008833_01,51,sample,dbgi_008833,20262605_dbgi_008833_01,positive
20262605_dbgi_009051_01,52,sample,dbgi_009051,20262605_dbgi_009051_01,positive
20262605_dbgi_009047_01,53,sample,dbgi_009047,20262605_dbgi_009047_01,positive
20262605_dbgi_006887_01,54,sample,dbgi_006887,20262605_dbgi_006887_01,positive
20262605_dbgi_009167_01,55,sample,dbgi_009167,20262605_dbgi_009167_01,positive
20262605_dbgi_006628_01,56,sample,dbgi_006628,20262605_dbgi_006628_01,positive
20262605_dbgi_006811_01,57,sample,dbgi_006811,20262605_dbgi_006811_01,positive
20262605_dbgi_009222_01,58,sample,dbgi_009222,20262605_dbgi_009222_01,positive
20262605_dbgi_004270_01,59,sample,dbgi_004270,20262605_dbgi_004270_01,positive
20262605_dbgi_007055_01,60,sample,dbgi_007055,20262605_dbgi_007055_01,positive
20262605_dbgi_009460_01,61,sample,dbgi_009460,20262605_dbgi_009460_01,positive
20262605_dbgi_001368_01,62,sample,dbgi_001368,20262605_dbgi_001368_01,positive
20262605_dbgi_009441_01,63,sample,dbgi_009441,20262605_dbgi_009441_01,positive
20262605_dbgi_006626_01,64,sample,dbgi_006626,20262605_dbgi_006626_01,positive
20262605_dbgi_008834_01,65,sample,dbgi_008834,20262605_dbgi_008834_01,positive
20262605_dbgi_009096_01,66,sample,dbgi_009096,20262605_dbgi_009096_01,positive
20262605_dbgi_009048_01,67,sample,dbgi_009048,20262605_dbgi_009048_01,positive
20262605_dbgi_008786_01,68,sample,dbgi_008786,20262605_dbgi_008786_01,positive
20262605_dbgi_006663_01,69,sample,dbgi_006663,20262605_dbgi_006663_01,positive
20262605_dbgi_009309_01,70,sample,dbgi_009309,20262605_dbgi_009309_01,positive
20262605_dbgi_006603_01,71,sample,dbgi_006603,20262605_dbgi_006603_01,positive
20262605_dbgi_009059_01,72,sample,dbgi_009059,20262605_dbgi_009059_01,positive
20262605_dbgi_006648_01,73,sample,dbgi_006648,20262605_dbgi_006648_01,positive
20262605_dbgi_007048_01,74,sample,dbgi_007048,20262605_dbgi_007048_01,positive
20262605_dbgi_008838_01,75,sample,dbgi_008838,20262605_dbgi_008838_01,positive
20262605_dbgi_009197_01,76,sample,dbgi_009197,20262605_dbgi_009197_01,positive
20262605_dbgi_009082_01,77,sample,dbgi_009082,20262605_dbgi_009082_01,positive
20262605_dbgi_008384_01,78,sample,dbgi_008384,20262605_dbgi_008384_01,positive
20262605_dbgi_008419_01,79,sample,dbgi_008419,20262605_dbgi_008419_01,positive
20262605_dbgi_009033_01,80,sample,dbgi_009033,20262605_dbgi_009033_01,positive
20262605_dbgi_008432_01,81,sample,dbgi_008432,20262605_dbgi_008432_01,positive
20262605_dbgi_007126_01,82,sample,dbgi_007126,20262605_dbgi_007126_01,positive
20262605_dbgi_009488_01,83,sample,dbgi_009488,20262605_dbgi_009488_01,positive
20262605_dbgi_009058_01,84,sample,dbgi_009058,20262605_dbgi_009058_01,positive
20262605_dbgi_009313_01,85,sample,dbgi_009313,20262605_dbgi_009313_01,positive
20262605_dbgi_009461_01,86,sample,dbgi_009461,20262605_dbgi_009461_01,positive
20262605_dbgi_007080_01,87,sample,dbgi_007080,20262605_dbgi_007080_01,positive
