row_number	field	raw_value	issue
2	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
3	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
4	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
5	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
6	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
7	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
8	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
9	raw_date	2,02505E+13	ambiguous_spreadsheet_scientific_date
10	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
11	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
12	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
13	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
14	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
15	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
16	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
17	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
18	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
19	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
20	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
21	raw_date	2,02505E+13	ambiguous_spreadsheet_scientific_date
22	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
23	raw_date	2,02505E+13	ambiguous_spreadsheet_scientific_date
24	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
25	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
26	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
27	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
28	raw_date	2,02505E+13	ambiguous_spreadsheet_scientific_date
29	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
30	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
31	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
32	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
33	raw_date	2,02505E+13	ambiguous_spreadsheet_scientific_date
34	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
35	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
36	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
37	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
38	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
39	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
40	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
41	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
42	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
43	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
44	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
45	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
46	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
47	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
48	raw_date	2,02505E+13	ambiguous_spreadsheet_scientific_date
49	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
50	raw_date	2,02505E+13	ambiguous_spreadsheet_scientific_date
51	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
52	raw_date	2,02505E+13	ambiguous_spreadsheet_scientific_date
53	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
54	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
55	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
56	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
57	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
58	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
59	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
60	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
61	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
62	raw_date	2,02508E+13	ambiguous_spreadsheet_scientific_date
63	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
64	raw_date	2,02508E+13	ambiguous_spreadsheet_scientific_date
65	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
66	raw_date	2,02505E+13	ambiguous_spreadsheet_scientific_date
67	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
68	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
69	raw_date	2,02505E+13	ambiguous_spreadsheet_scientific_date
70	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
71	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
