csv_row_number	filename	normalized_filename	file_type	injection	sample_id	container_id	csv_ionization_mode	ms_parent_level	is_sample_file	has_required_csv_identifiers	dried_material_present	dried_samples_data_id	original_sample_container_id	extraction_sample_container_present	extraction_data_id	extraction_sample_container_id	expected_extraction_container_id	aliquot_sample_container_present	aliquoting_data_id	aliquot_sample_container_id	target_ms_parent_container_id	existing_ms_data_id	ready_for_ms_data_import	status	reason
6	20260903_Mazz_Sample_grad_000162_01	20260903_Mazz_Sample_grad_000162_01	sample	A10	grad_000162	grad_000162_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
8	20260903_Mazz_Sample_grad_000147_01	20260903_Mazz_Sample_grad_000147_01	sample	A12	grad_000147	grad_000147_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
11	20260903_Mazz_Sample_grad_000098_01	20260903_Mazz_Sample_grad_000098_01	sample	B3	grad_000098	grad_000098_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
23	20260903_Mazz_Sample_grad_000009_01	20260903_Mazz_Sample_grad_000009_01	sample	C3	grad_000009	grad_000009_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
28	20260903_Mazz_Sample_grad_000112_01	20260903_Mazz_Sample_grad_000112_01	sample	C8	grad_000112	grad_000112_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
46	20260903_Mazz_Sample_grad_000197_01	20260903_Mazz_Sample_grad_000197_01	sample	E5	grad_000197	grad_000197_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
95	20261003_Mazz_Sample_grad_000270_01	20261003_Mazz_Sample_grad_000270_01	sample	A9	grad_000270	grad_000270_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
191	20261103_Mazz_Sample_grad_000244_01	20261103_Mazz_Sample_grad_000244_01	sample	B5	grad_000244	grad_000244_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
194	20261103_Mazz_Sample_grad_000555_01	20261103_Mazz_Sample_grad_000555_01	sample	B8	grad_000555	grad_000555_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
199	20261103_Mazz_Sample_grad_000196_01	20261103_Mazz_Sample_grad_000196_01	sample	C1	grad_000196	grad_000196_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
233	20261103_Mazz_Sample_grad_000032_01	20261103_Mazz_Sample_grad_000032_01	sample	E11	grad_000032	grad_000032_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
288	20261203_Mazz_Sample_grad_000540_01	20261203_Mazz_Sample_grad_000540_01	sample	B10	grad_000540	grad_000540_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
297	20261203_Mazz_Sample_grad_000292_01	20261203_Mazz_Sample_grad_000292_01	sample	C7	grad_000292	grad_000292_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
298	20261203_Mazz_Sample_grad_000028_01	20261203_Mazz_Sample_grad_000028_01	sample	C8	grad_000028	grad_000028_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
299	20261203_Mazz_Sample_grad_000103_01	20261203_Mazz_Sample_grad_000103_01	sample	C9	grad_000103	grad_000103_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
381	20261303_Mazz_Sample_grad_000291_01	20261303_Mazz_Sample_grad_000291_01	sample	C2	grad_000291	grad_000291_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
383	20261303_Mazz_Sample_grad_000429_01	20261303_Mazz_Sample_grad_000429_01	sample	C5	grad_000429	grad_000429_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
