project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	issues
jbc	70625	dbgi_007013	canonical	dbgi_007013				20250526185641	7.1125426	46.0327	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70629	dbgi_008694	canonical	dbgi_008694				20250526181243	7.112449	46.032627	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70631	dbgi_008807	canonical	dbgi_008807				20250526181954	7.1124654	46.03265	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70637	dbgi_008820	canonical	dbgi_008820				20250526184148	7.1125126	46.03267	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70659	dbgi_006954	canonical	dbgi_006954				20250527084837	7.11268	46.032757	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70661	dbgi_007017	canonical	dbgi_007017				20250527085713	7.1126385	46.03276	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70666	dbgi_006942	canonical	dbgi_006942				20250527091227	7.1126194	46.03273	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70673	dbgi_007168	canonical	dbgi_007168				20250527094920	7.1125455	46.032715	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70681	dbgi_007035	canonical	dbgi_007035				20250527081134	7.112685	46.03271	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70686	dbgi_007014	canonical	dbgi_007014				20250527083318	7.112692	46.032757	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70690	dbgi_006896	canonical	dbgi_006896				20250527085004	7.1125946	46.03273	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70697	dbgi_006929	canonical	dbgi_006929				20250527091303	7.1126285	46.03273	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70703	dbgi_007006	canonical	dbgi_007006				20250527093230	7.1126413	46.03274	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70706	dbgi_007110	canonical	dbgi_007110				20250527094347	7.1126423	46.032753	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70709	dbgi_008697	canonical	dbgi_008697				20250527105140	7.1126227	46.032787	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70713	dbgi_008671	canonical	dbgi_008671				20250527110359	7.11262	46.03279	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70716	dbgi_008680	canonical	dbgi_008680				20250527111841	7.1126094	46.03279	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70720	dbgi_008666	canonical	dbgi_008666				20250527112801	7.112593	46.032787	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70721	dbgi_008690	canonical	dbgi_008690				20250527113047	7.1126013	46.032784	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70724	dbgi_006976	canonical	dbgi_006976				20250527104027	7.1126194	46.032776	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70725	dbgi_006977	canonical	dbgi_006977				20250527104350	7.1126156	46.032776	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70737	dbgi_008593	canonical	dbgi_008593				20250527110434	7.112594	46.032787	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70743	dbgi_008590	canonical	dbgi_008590				20250527112127	7.1125965	46.032776	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70744	dbgi_008566	canonical	dbgi_008566				20250527112426	7.1125956	46.03278	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70745	dbgi_008659	canonical	dbgi_008659				20250527112633	7.1125875	46.03278	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70746	dbgi_008576	canonical	dbgi_008576				20250527113017	7.1125875	46.032776	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70747	dbgi_008578	canonical	dbgi_008578				20250527113239	7.1125827	46.032784	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70803	dbgi_008696	canonical	dbgi_008696				20250527134007	7.1123676	46.032646	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70806	dbgi_008714	canonical	dbgi_008714				20250527134820	7.1123796	46.03267	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70811	dbgi_008726	canonical	dbgi_008726				20250527140923	7.11243	46.032658	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70812	dbgi_008745	canonical	dbgi_008745				20250527141107	7.112413	46.032665	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70931	dbgi_006760	canonical	dbgi_006760				20250604173046	7.1125774	46.032837	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70936	dbgi_006613	canonical	dbgi_006613				20250604171928	7.112568	46.032803	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70941	dbgi_004120	canonical	dbgi_004120				20250604173629	7.1125803	46.032806	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70944	dbgi_004180	canonical	dbgi_004180				20250605084221	7.112555	46.03285	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70962	dbgi_006621	canonical	dbgi_006621				20250605095115	7.112528	46.03288	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70973	dbgi_006949	canonical	dbgi_006949				20250605085313	7.11259	46.03281	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70974	dbgi_004175	canonical	dbgi_004175				20250605085621	7.112599	46.032803	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70985	dbgi_004289	canonical	dbgi_004289				20250605093404	7.1125073	46.03289	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70988	dbgi_004157	canonical	dbgi_004157				20250605094336	7.1124887	46.03289	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	70998	dbgi_006627	canonical	dbgi_006627				20250605101337	7.1124578	46.032883	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71017	dbgi_006661	canonical	dbgi_006661				20250605125354	7.1125517	46.032894	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71024	dbgi_007154	canonical	dbgi_007154				20250605131357	7.112644	46.0329	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71034	dbgi_006774	canonical	dbgi_006774				20250605135103	7.1125536	46.03294	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71048	dbgi_006727	canonical	dbgi_006727				20250605150243	7.1124	46.032967	looks_swapped_ch_lat_lon	missing_taxon_name
