project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	has_dried	has_extraction	has_aliquot	has_ms	dried_sample_container_ids	extraction_sample_container_ids	issue
jbc	70442	dbgi_008774	canonical	dbgi_008774	Gentiana lutea			20250520170403	7.112305	46.032562	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_008774		missing_extraction
jbc	70443	dbgi_008540	canonical	dbgi_008540	Rhodiola heterodonta			20250520171151	7.112281	46.032562	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_008540		missing_extraction
jbc	70444	dbgi_007157	canonical	dbgi_007157	Iris sibirica			20250520163421	7.112423	46.032604	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_007157		missing_extraction
jbc	70445	dbgi_006948	canonical	dbgi_006948	Potentilla ambigua			20250520164247	7.112436	46.032604	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_006948		missing_extraction
jbc	70446	dbgi_008802	canonical	dbgi_008802	Laserpitum silero			20250520164754	7.1123466	46.032604	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_008802		missing_extraction
jbc	70447	dbgi_008819	canonical	dbgi_008819	Rhododendron hisurtum			20250520165125	7.112341	46.03261	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_008819		missing_extraction
jbc	70448	dbgi_008702	canonical	dbgi_008702	Allium cernuuml			20250520165453	7.112317	46.03261	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_008702		missing_extraction
jbc	70449	dbgi_008775	canonical	dbgi_008775	Erysium ochroleucum.			20250520170109	7.112304	46.0326	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_008775		missing_extraction
jbc	70450	dbgi_008779	canonical	dbgi_008779	Teucrium chamaedrys			20250520170724	7.1123047	46.032608	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_008779		missing_extraction
jbc	70451	dbgi_008457	canonical	dbgi_008457	Gentiana angustifolia			20250520171044	7.1122947	46.032604	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_008457		missing_extraction
jbc	70452	dbgi_008627	canonical	dbgi_008627	Sedum telephiu			20250520171601	7.112287	46.032597	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_008627		missing_extraction
jbc	70453	dbgi_008539	canonical	dbgi_008539	Potentilla thuringiaca			20250520172539	7.1122856	46.032604	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_008539		missing_extraction
jbc	70454	dbgi_008805	canonical	dbgi_008805	Erysimum ochroleucum			20250520172850	7.112289	46.032593	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_008805		missing_extraction
jbc	70456	dbgi_008818	canonical	dbgi_008818	Helicrysum thianschenicum			20250520174002	7.112265	46.0326	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_008818		missing_extraction
jbc	70461	dbgi_008829	canonical	dbgi_008829	Dianthus seguieri			20250520175529	7.112208	46.032597	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_008829		missing_extraction
jbc	70462	dbgi_008823	canonical	dbgi_008823	Carex halleriana			20250520175810	7.112197	46.03259	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_008823		missing_extraction
jbc	70464	dbgi_008575	canonical	dbgi_008575	Daphne cneorum			20250520180323	7.1121254	46.03259	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_008575		missing_extraction
jbc	70465	dbgi_008538	canonical	dbgi_008538	Penstemon fruticosus			20250520164017	7.112357	46.032604	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_008538		missing_extraction
jbc	70466	dbgi_007069	canonical	dbgi_007069	Genista sagittalis			20250520164759	7.112323	46.032597	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_007069		missing_extraction
jbc	70467	dbgi_008537	canonical	dbgi_008537	Carolina acanthifolia			20250520165231	7.1123214	46.032608	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_008537		missing_extraction
jbc	70468	dbgi_008776	canonical	dbgi_008776	Senecio jacobaea			20250520165737	7.1122913	46.032604	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_008776		missing_extraction
jbc	70469	dbgi_008787	canonical	dbgi_008787	Bergenia pacifica			20250520170341	7.1123137	46.03257	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_008787		missing_extraction
jbc	70470	dbgi_008742	canonical	dbgi_008742	Erica herbacea			20250520170822	7.112343	46.03257	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_008742		missing_extraction
