project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	suggested_latitude	suggested_longitude	issue
jbn-new	75494	dbgi_999999	canonical	dbgi_999999	Abelia		Abelia	20260615100607	6.934684	47.000946	looks_swapped_ch_lat_lon	47.000946	6.934684	coordinates_look_swapped_ch_lat_lon
jbn-new	75495	dbgi_999998	canonical	dbgi_999998	Acacia		Acacia	20260615100721	6.934684	47.000946	looks_swapped_ch_lat_lon	47.000946	6.934684	coordinates_look_swapped_ch_lat_lon
jbn-new	75496	dbgi_010876	canonical	dbgi_010876	Iberis sempervirens L		Iberis sempervirens L	20260623080547	6.9346657	46.999855	looks_swapped_ch_lat_lon	46.999855	6.9346657	coordinates_look_swapped_ch_lat_lon
jbn-new	75497	dbgi_011138	canonical	dbgi_011138	Sedum ochroleucum Chaix		Sedum ochroleucum Chaix	20260623082257	6.9344044	46.999786	looks_swapped_ch_lat_lon	46.999786	6.9344044	coordinates_look_swapped_ch_lat_lon
jbn-new	75498	dbgi_011163	canonical	dbgi_011163	Glandora oleifolia		Glandora oleifolia	20260623082604	6.934409	46.99979	looks_swapped_ch_lat_lon	46.99979	6.934409	coordinates_look_swapped_ch_lat_lon
jbn-new	75499	dbgi_010673	canonical	dbgi_010673	Potentilla alchimilloides Lapeyr		Potentilla alchimilloides Lapeyr	20260623083327	6.934423	46.999798	looks_swapped_ch_lat_lon	46.999798	6.934423	coordinates_look_swapped_ch_lat_lon
jbn-new	75500	dbgi_011194	canonical	dbgi_011194	Ranunculus gramineus L		Ranunculus gramineus L	20260623083823	6.9344444	46.9998	looks_swapped_ch_lat_lon	46.9998	6.9344444	coordinates_look_swapped_ch_lat_lon
jbn-new	75501	dbgi_011055	canonical	dbgi_011055	Lonicera etrusca Boiss		Lonicera etrusca Boiss	20260623084505	6.9344544	46.99979	looks_swapped_ch_lat_lon	46.99979	6.9344544	coordinates_look_swapped_ch_lat_lon
jbn-new	75502	dbgi_011180	canonical	dbgi_011180	Cytisus hirsutus L		Cytisus hirsutus L	20260623085306	6.934477	46.99979	looks_swapped_ch_lat_lon	46.99979	6.934477	coordinates_look_swapped_ch_lat_lon
jbn-new	75503	dbgi_011266	canonical	dbgi_011266	Bupleurum fruticosum L		Bupleurum fruticosum L	20260623085646	6.9344754	46.999794	looks_swapped_ch_lat_lon	46.999794	6.9344754	coordinates_look_swapped_ch_lat_lon
