project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	has_dried	has_extraction	has_aliquot	has_ms	dried_sample_container_ids	extraction_sample_container_ids	issue
jbn	68476	dbgi_001143	canonical	dbgi_001143		Lonicera etrusca Boiss.			6.9339347	46.999485	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001143		missing_extraction
jbn	68477	dbgi_001141	canonical	dbgi_001141		Lonicera nigra L.			6.934093	46.999474	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001141		missing_extraction
jbn	68478	dbgi_001148	canonical	dbgi_001148		Euonymus alatus (Thunb.) Siebold			6.934157	46.99958	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001148		missing_extraction
jbn	68479	dbgi_001146	canonical	dbgi_001146		Clematis tangutica (Maxim.) Korsh.			6.9339314	46.999702	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001146		missing_extraction
jbn	68480	dbgi_001140	canonical	dbgi_001140		Clematis terniflora DC.			6.9340234	46.999737	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001140		missing_extraction
jbn	68481	dbgi_001153	canonical	dbgi_001153		Clematis chinensis Osbeck			6.9339848	46.99973	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001153		missing_extraction
jbn	68482	dbgi_001144	canonical	dbgi_001144		Clematis terniflora DC.			6.9346924	47.00011	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001144		missing_extraction
jbn	68483	dbgi_001159	canonical	dbgi_001159		Lonicera xylosteum L.			6.9348474	47.000137	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001159		missing_extraction
jbn	68484	dbgi_001145	canonical	dbgi_001145		Lonicera xylosteum L.			6.9350243	47.000195	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001145		missing_extraction
jbn	68485	dbgi_001147	canonical	dbgi_001147		Lonicera caucasica			6.9336314	47.00005	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001147		missing_extraction
jbn	68486	dbgi_001173	canonical	dbgi_001173		Clematis recta			6.9335837	47.00004	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001173		missing_extraction
jbn	68487	dbgi_001152	canonical	dbgi_001152		Clematis flammula			6.9336076	47.000057	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001152		missing_extraction
jbn	68488	dbgi_001151	canonical	dbgi_001151		Clematis a			6.93378	47.000008	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001151		missing_extraction
jbn	68489	dbgi_001142	canonical	dbgi_001142		Clematis b			6.93378	47.000008	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001142		missing_extraction
jbn	68490	dbgi_001160	canonical	dbgi_001160		Clematis alpina (L.) Mill.			6.9346724	46.99996	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001160		missing_extraction
jbn	68491	dbgi_001161	canonical	dbgi_001161		Clematis vitalba L.			6.934336	46.999214	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001161		missing_extraction
jbn	68492	dbgi_001163	canonical	dbgi_001163		Lonicera implexa Aiton			6.9343686	46.999737	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001163		missing_extraction
jbn	68493	dbgi_001149	canonical	dbgi_001149		Lonicera etrusca Boiss.			6.9343014	46.9998	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001149		missing_extraction
jbn	68494	dbgi_001150	canonical	dbgi_001150		Clematis sp			6.934058	46.999744	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001150		missing_extraction
jbn	68501	dbgi_001726	canonical	dbgi_001726		Senecio			6.934234	46.999866	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001726		missing_extraction
jbn	68504	dbgi_001468	canonical	dbgi_001468		Cynanchum			6.9342365	46.999863	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001468		missing_extraction
jbn	68515	dbgi_001450	canonical	dbgi_001450		Trochomeriopsis_diversifolia_Cogn			6.9342613	46.999832	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001450		missing_extraction
