project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	date	latitude	longitude	coordinate_status	has_dried	has_extraction	has_aliquot	has_ms	dried_sample_container_ids	extraction_sample_container_ids	lineage_status
jbn	68476	dbgi_001143	canonical	dbgi_001143		Lonicera etrusca Boiss.		Lonicera etrusca Boiss.	sample_name	resolved_from_primary_taxon_field	sample_name			6.9339347	46.999485	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001143		not_extracted
jbn	68477	dbgi_001141	canonical	dbgi_001141		Lonicera nigra L.		Lonicera nigra L.	sample_name	resolved_from_primary_taxon_field	sample_name			6.934093	46.999474	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001141		not_extracted
jbn	68478	dbgi_001148	canonical	dbgi_001148		Euonymus alatus (Thunb.) Siebold		Euonymus alatus (Thunb.) Siebold	sample_name	resolved_from_primary_taxon_field	sample_name			6.934157	46.99958	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001148		not_extracted
jbn	68479	dbgi_001146	canonical	dbgi_001146		Clematis tangutica (Maxim.) Korsh.		Clematis tangutica (Maxim.) Korsh.	sample_name	resolved_from_primary_taxon_field	sample_name			6.9339314	46.999702	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001146		not_extracted
jbn	68480	dbgi_001140	canonical	dbgi_001140		Clematis terniflora DC.		Clematis terniflora DC.	sample_name	resolved_from_primary_taxon_field	sample_name			6.9340234	46.999737	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001140		not_extracted
jbn	68481	dbgi_001153	canonical	dbgi_001153		Clematis chinensis Osbeck		Clematis chinensis Osbeck	sample_name	resolved_from_primary_taxon_field	sample_name			6.9339848	46.99973	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001153		not_extracted
jbn	68482	dbgi_001144	canonical	dbgi_001144		Clematis terniflora DC.		Clematis terniflora DC.	sample_name	resolved_from_primary_taxon_field	sample_name			6.9346924	47.00011	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001144		not_extracted
jbn	68483	dbgi_001159	canonical	dbgi_001159		Lonicera xylosteum L.		Lonicera xylosteum L.	sample_name	resolved_from_primary_taxon_field	sample_name			6.9348474	47.000137	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001159		not_extracted
jbn	68484	dbgi_001145	canonical	dbgi_001145		Lonicera xylosteum L.		Lonicera xylosteum L.	sample_name	resolved_from_primary_taxon_field	sample_name			6.9350243	47.000195	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001145		not_extracted
jbn	68485	dbgi_001147	canonical	dbgi_001147		Lonicera caucasica		Lonicera caucasica	sample_name	resolved_from_primary_taxon_field	sample_name			6.9336314	47.00005	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001147		not_extracted
jbn	68486	dbgi_001173	canonical	dbgi_001173		Clematis recta		Clematis recta	sample_name	resolved_from_primary_taxon_field	sample_name			6.9335837	47.00004	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001173		not_extracted
jbn	68487	dbgi_001152	canonical	dbgi_001152		Clematis flammula		Clematis flammula	sample_name	resolved_from_primary_taxon_field	sample_name			6.9336076	47.000057	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001152		not_extracted
jbn	68488	dbgi_001151	canonical	dbgi_001151		Clematis a		Clematis a	sample_name	resolved_from_primary_taxon_field	sample_name			6.93378	47.000008	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001151		not_extracted
jbn	68489	dbgi_001142	canonical	dbgi_001142		Clematis b		Clematis b	sample_name	resolved_from_primary_taxon_field	sample_name			6.93378	47.000008	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001142		not_extracted
jbn	68490	dbgi_001160	canonical	dbgi_001160		Clematis alpina (L.) Mill.		Clematis alpina (L.) Mill.	sample_name	resolved_from_primary_taxon_field	sample_name			6.9346724	46.99996	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001160		not_extracted
jbn	68491	dbgi_001161	canonical	dbgi_001161		Clematis vitalba L.		Clematis vitalba L.	sample_name	resolved_from_primary_taxon_field	sample_name			6.934336	46.999214	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001161		not_extracted
jbn	68492	dbgi_001163	canonical	dbgi_001163		Lonicera implexa Aiton		Lonicera implexa Aiton	sample_name	resolved_from_primary_taxon_field	sample_name			6.9343686	46.999737	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001163		not_extracted
jbn	68493	dbgi_001149	canonical	dbgi_001149		Lonicera etrusca Boiss.		Lonicera etrusca Boiss.	sample_name	resolved_from_primary_taxon_field	sample_name			6.9343014	46.9998	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001149		not_extracted
jbn	68494	dbgi_001150	canonical	dbgi_001150		Clematis sp		Clematis sp	sample_name	resolved_from_primary_taxon_field	sample_name			6.934058	46.999744	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001150		not_extracted
jbn	68495	dbgi_001543	canonical	dbgi_001543		Kalanchoe fedtschenkoi Raym.-Hamet & H.Perrier		Kalanchoe fedtschenkoi Raym.-Hamet & H.Perrier	sample_name	resolved_from_primary_taxon_field	sample_name			6.934198	46.999863	looks_swapped_ch_lat_lon	true	true	false	false	dbgi_001543	dbgi_001543_01;dbgi_001543_02	no_aliquot;no_ms
jbn	68496	dbgi_001547	canonical	dbgi_001547		Dauphinea brevilabra Hedge		Dauphinea brevilabra Hedge	sample_name	resolved_from_primary_taxon_field	sample_name			6.9342003	46.999863	looks_swapped_ch_lat_lon	true	true	false	false	dbgi_001547	dbgi_001547_01	no_aliquot;no_ms
jbn	68497	dbgi_001696	canonical	dbgi_001696		Aloe conifera H.Perrier		Aloe conifera H.Perrier	sample_name	resolved_from_primary_taxon_field	sample_name			6.9342003	46.99986	looks_swapped_ch_lat_lon	true	true	false	false	dbgi_001696	dbgi_001696_01	no_aliquot;no_ms
jbn	68498	dbgi_001513	canonical	dbgi_001513		Operculicarya decaryi H.Perrier		Operculicarya decaryi H.Perrier	sample_name	resolved_from_primary_taxon_field	sample_name			6.9342213	46.999866	looks_swapped_ch_lat_lon	true	true	false	false	dbgi_001513	dbgi_001513_01	no_aliquot;no_ms
jbn	68499	dbgi_001521	canonical	dbgi_001521		Alluaudia procera (Drake) Drake		Alluaudia procera (Drake) Drake	sample_name	resolved_from_primary_taxon_field	sample_name			6.9342275	46.99987	looks_swapped_ch_lat_lon	true	true	false	false	dbgi_001521	dbgi_001521_01	no_aliquot;no_ms
jbn	68500	dbgi_001539	canonical	dbgi_001539		Xerosicyos danguyi Humbert		Xerosicyos danguyi Humbert	sample_name	resolved_from_primary_taxon_field	sample_name			6.9342337	46.999874	looks_swapped_ch_lat_lon	true	true	false	false	dbgi_001539	dbgi_001539_01	no_aliquot;no_ms
jbn	68501	dbgi_001726	canonical	dbgi_001726		Senecio		Senecio	sample_name	resolved_from_primary_taxon_field	sample_name			6.934234	46.999866	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001726		not_extracted
