project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	issue
jbp-new	75585	dbgi_011777	canonical	dbgi_011777	Amborella trichopoda		Amborella trichopoda	20260429100629	14.412591	50.121822	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75586	dbgi_012101	canonical	dbgi_012101	Sanvitalia procumbens		Sanvitalia procumbens	20260501130310	14.41257	50.121838	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75587	dbgi_012052	canonical	dbgi_012052	Sanvitalia procumbens		Sanvitalia procumbens	20260501130634	14.41257	50.121838	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75588	dbgi_011846	canonical	dbgi_011846	Osteospermum 'Akila White'		Osteospermum 'Akila White'	20260501130849	14.412562	50.121838	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75589	dbgi_011756	canonical	dbgi_011756	Osteospermum  'Akila White'		Osteospermum  'Akila White'	20260501132347	14.412562	50.121838	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75590	dbgi_011865	canonical	dbgi_011865	Calibrachoa 'Calita Pink Morn'		Calibrachoa 'Calita Pink Morn'	20260501132603	14.412562	50.121838	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75591	dbgi_012038	canonical	dbgi_012038	Calibrachoa 'Calita Pink Morn'		Calibrachoa 'Calita Pink Morn'	20260501133220	14.412562	50.121838	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75592	dbgi_011988	canonical	dbgi_011988	Calibrachoa 'Calita Pink Morn'		Calibrachoa 'Calita Pink Morn'	20260501133431	14.412562	50.121838	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75593	dbgi_011917	canonical	dbgi_011917	Ricinus 'Carmencita Rosa'		Ricinus 'Carmencita Rosa'	20260501133634	14.412562	50.121838	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75594	dbgi_011994	canonical	dbgi_011994	Ricinus 'Carmencita Rosa'		Ricinus 'Carmencita Rosa'	20260501133942	14.412562	50.121838	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75595	dbgi_012046	canonical	dbgi_012046	Ammobium alatum		Ammobium alatum	20260501134242	14.412562	50.121838	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75596	dbgi_012002	canonical	dbgi_012002	Anthurium 'Yellow Rocket'		Anthurium 'Yellow Rocket'	20260501134547	14.412562	50.121838	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75597	dbgi_012153	canonical	dbgi_012153	Anthurium 'Yellow Rocket'		Anthurium 'Yellow Rocket'	20260501134838	14.412562	50.121838	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75598	dbgi_010014	canonical	dbgi_010014	Dahlia 'Black Forest Ruby'		Dahlia 'Black Forest Ruby'	20260501135021	14.412562	50.121838	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75599	dbgi_012113	canonical	dbgi_012113	Dahlia 'Black Forest Ruby'		Dahlia 'Black Forest Ruby'	20260501135315	14.412562	50.121838	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75600	dbgi_012042	canonical	dbgi_012042	Barclaya longifolia		Barclaya longifolia	20260501135902	14.412562	50.121838	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75601	dbgi_011768	canonical	dbgi_011768	Barclaya longifolia		Barclaya longifolia	20260501140031	14.412562	50.121838	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75602	dbgi_012036	canonical	dbgi_012036	Barclaya longifolia		Barclaya longifolia	20260501140158	14.412562	50.121838	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75603	dbgi_012028	canonical	dbgi_012028	Anthurium 'Yellow Rocket'		Anthurium 'Yellow Rocket'	20260501140349	14.412562	50.121838	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75604	dbgi_012086	canonical	dbgi_012086	Ricinus 'Carmencita Rosa'		Ricinus 'Carmencita Rosa'	20260501140714	14.412562	50.121838	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75605	dbgi_011767	canonical	dbgi_011767	Osteospermum 'Akila White'		Osteospermum 'Akila White'	20260501141142	14.412562	50.121838	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75606	dbgi_011946	canonical	dbgi_011946	Dahlia 'Black Forest Ruby'		Dahlia 'Black Forest Ruby'	20260501142053	14.412562	50.121838	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75607	dbgi_011956	canonical	dbgi_011956	Geonoma pohliana		Geonoma pohliana	20260501142225	14.412559	50.121838	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75608	dbgi_012003	canonical	dbgi_012003	Allagoptera arenaria		Allagoptera arenaria	20260501142532	14.412556	50.12184	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75609	dbgi_012010	canonical	dbgi_012010	Oxalis sp.		Oxalis sp.	20260501142810	14.412554	50.12184	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75610	dbgi_011945	canonical	dbgi_011945	Oxalis sp.		Oxalis sp.	20260501143233	14.412554	50.12184	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75611	dbgi_011835	canonical	dbgi_011835	Cissus sp.		Cissus sp.	20260501143620	14.412554	50.121845	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75612	dbgi_012044	canonical	dbgi_012044	Cissus sp.		Cissus sp.	20260501143755	14.412554	50.121845	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75613	dbgi_011852	canonical	dbgi_011852	Cissus sp.		Cissus sp.	20260501144043	14.412554	50.121845	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75614	dbgi_012085	canonical	dbgi_012085	Oxalis decumbens		Oxalis decumbens	20260501144304	14.412552	50.12185	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75615	dbgi_011983	canonical	dbgi_011983	Oxalis decumbens		Oxalis decumbens	20260501144727	14.412552	50.12185	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75616	dbgi_011763	canonical	dbgi_011763	Oxalis decumbens		Oxalis decumbens	20260501144845	14.412552	50.12185	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75617	dbgi_011948	canonical	dbgi_011948	Cissus sp.		Cissus sp.	20260501150353	14.412551	50.12185	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75618	dbgi_011884	canonical	dbgi_011884	Cissus sp.		Cissus sp.	20260501150559	14.412551	50.12185	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75619	dbgi_012021	canonical	dbgi_012021	Cissus sp.		Cissus sp.	20260501151026	14.412551	50.12185	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75620	dbgi_011997	canonical	dbgi_011997	Kedrostis foetidissima		Kedrostis foetidissima	20260501152153	14.412549	50.121853	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75621	dbgi_011750	canonical	dbgi_011750	Kedrostis foetidissima		Kedrostis foetidissima	20260501152442	14.412549	50.121853	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75622	dbgi_011951	canonical	dbgi_011951	Kedrostis foetidissima		Kedrostis foetidissima	20260501152625	14.412549	50.121853	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75623	dbgi_011995	canonical	dbgi_011995	Oxalis depressa		Oxalis depressa	20260501152750	14.412548	50.121853	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75624	dbgi_011981	canonical	dbgi_011981	Oxalis depressa		Oxalis depressa	20260501153119	14.412548	50.121853	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75625	dbgi_012047	canonical	dbgi_012047	Oxalis bowiei		Oxalis bowiei	20260501153428	14.412548	50.121853	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75626	dbgi_012114	canonical	dbgi_012114	Oxalis bowiei		Oxalis bowiei	20260501153651	14.412548	50.121853	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75627	dbgi_012009	canonical	dbgi_012009	Oxalis bowiei		Oxalis bowiei	20260501153826	14.412548	50.121853	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75628	dbgi_011799	canonical	dbgi_011799	Sarracenia alata		Sarracenia alata	20260501154127	14.412548	50.121853	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75629	dbgi_009983	canonical	dbgi_009983	Sarracenia alata		Sarracenia alata	20260501154514	14.412548	50.121853	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75630	dbgi_012142	canonical	dbgi_012142	Sarracenia alata		Sarracenia alata	20260501154730	14.412548	50.121853	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75631	dbgi_012023	canonical	dbgi_012023	Sarracenia alata		Sarracenia alata	20260501155131	14.412548	50.121853	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75632	dbgi_011944	canonical	dbgi_011944	Philesia magellanica		Philesia magellanica	20260501155256	14.412543	50.12186	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75633	dbgi_011836	canonical	dbgi_011836	Philesia magellanica		Philesia magellanica	20260501155510	14.412543	50.12186	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75634	dbgi_011959	canonical	dbgi_011959	Philesia magellanica		Philesia magellanica	20260501155727	14.412543	50.12186	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75635	dbgi_011875	canonical	dbgi_011875	Drosera binata		Drosera binata	20260501155836	14.412411	50.1219	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75636	dbgi_011831	canonical	dbgi_011831	Drosera binata		Drosera binata	20260501160020	14.412411	50.1219	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75637	dbgi_011889	canonical	dbgi_011889	Drosera binata		Drosera binata	20260501160138	14.412411	50.1219	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75638	dbgi_011749	canonical	dbgi_011749	Gunnera cordifolia		Gunnera cordifolia	20260501160254	14.412249	50.121857	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75639	dbgi_011891	canonical	dbgi_011891	Gunnera cordifolia		Gunnera cordifolia	20260501160401	14.412249	50.121857	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75640	dbgi_011757	canonical	dbgi_011757	Gunnera cordifolia		Gunnera cordifolia	20260501160637	14.412249	50.121857	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75641	dbgi_012005	canonical	dbgi_012005	Gunnera cordifolia		Gunnera cordifolia	20260501160800	14.412249	50.121857	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75642	dbgi_011957	canonical	dbgi_011957	Gunnera albocarpa		Gunnera albocarpa	20260501161057	14.412264	50.12192	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75643	dbgi_012059	canonical	dbgi_012059	Gunnera albocarpa		Gunnera albocarpa	20260501161311	14.412264	50.12192	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75644	dbgi_011877	canonical	dbgi_011877	Gunnera albocarpa		Gunnera albocarpa	20260501161451	14.412264	50.12192	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75645	dbgi_011834	canonical	dbgi_011834	Gunnera albocarpa		Gunnera albocarpa	20260501161623	14.412264	50.12192	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75646	dbgi_011874	canonical	dbgi_011874	Bolboschoenus maritimus		Bolboschoenus maritimus	20260501161741	14.412416	50.121655	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75647	dbgi_012000	canonical	dbgi_012000	Batrachium baudotii		Batrachium baudotii	20260501162134	14.412384	50.12166	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75648	dbgi_012149	canonical	dbgi_012149	Batrachium baudotii		Batrachium baudotii	20260501162253	14.412384	50.12166	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75649	dbgi_011802	canonical	dbgi_011802	Houttuynia cordata		Houttuynia cordata	20260501162441	14.412357	50.121662	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75650	dbgi_012069	canonical	dbgi_012069	Houttuynia cordata		Houttuynia cordata	20260501162734	14.412357	50.121662	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75651	dbgi_011996	canonical	dbgi_011996	Houttuynia cordata		Houttuynia cordata	20260501162840	14.412357	50.121662	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75652	dbgi_011796	canonical	dbgi_011796	Lysichiton camtschatcensis		Lysichiton camtschatcensis	20260501164055	14.412431	50.121643	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75653	dbgi_011886	canonical	dbgi_011886	Lysichiton camtschatcensis		Lysichiton camtschatcensis	20260501164206	14.412431	50.121643	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75654	dbgi_011879	canonical	dbgi_011879	Carex cespitosa		Carex cespitosa	20260501164331	14.412409	50.121643	out_of_ch_range	coordinates_out_of_ch_range
