project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	date	latitude	longitude	coordinate_status	issues
jbp-new	75609	dbgi_012010	canonical	dbgi_012010	Oxalis sp.		Oxalis sp.	Oxalis sp.	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Oxalis sp.;taxon_name=Oxalis sp.;MatchedCanonical=Oxalis	20260501142810	14.412554	50.12184	out_of_ch_range	taxon_unified_conflict
jbp-new	75610	dbgi_011945	canonical	dbgi_011945	Oxalis sp.		Oxalis sp.	Oxalis sp.	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Oxalis sp.;taxon_name=Oxalis sp.;MatchedCanonical=Oxalis	20260501143233	14.412554	50.12184	out_of_ch_range	taxon_unified_conflict
jbp-new	75611	dbgi_011835	canonical	dbgi_011835	Cissus sp.		Cissus sp.	Cissus sp.	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Cissus sp.;taxon_name=Cissus sp.;MatchedCanonical=Cissus	20260501143620	14.412554	50.121845	out_of_ch_range	taxon_unified_conflict
jbp-new	75612	dbgi_012044	canonical	dbgi_012044	Cissus sp.		Cissus sp.	Cissus sp.	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Cissus sp.;taxon_name=Cissus sp.;MatchedCanonical=Cissus	20260501143755	14.412554	50.121845	out_of_ch_range	taxon_unified_conflict
jbp-new	75613	dbgi_011852	canonical	dbgi_011852	Cissus sp.		Cissus sp.	Cissus sp.	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Cissus sp.;taxon_name=Cissus sp.;MatchedCanonical=Cissus	20260501144043	14.412554	50.121845	out_of_ch_range	taxon_unified_conflict
jbp-new	75617	dbgi_011948	canonical	dbgi_011948	Cissus sp.		Cissus sp.	Cissus sp.	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Cissus sp.;taxon_name=Cissus sp.;MatchedCanonical=Cissus	20260501150353	14.412551	50.12185	out_of_ch_range	taxon_unified_conflict
jbp-new	75618	dbgi_011884	canonical	dbgi_011884	Cissus sp.		Cissus sp.	Cissus sp.	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Cissus sp.;taxon_name=Cissus sp.;MatchedCanonical=Cissus	20260501150559	14.412551	50.12185	out_of_ch_range	taxon_unified_conflict
jbp-new	75619	dbgi_012021	canonical	dbgi_012021	Cissus sp.		Cissus sp.	Cissus sp.	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Cissus sp.;taxon_name=Cissus sp.;MatchedCanonical=Cissus	20260501151026	14.412551	50.12185	out_of_ch_range	taxon_unified_conflict
jbp-new	75676	dbgi_011888	canonical	dbgi_011888	Salvia splendens		Saluka splendens	Saluka splendens	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition	taxon_name_final=Saluka splendens;taxon_name=Salvia splendens;name_proposition=Salvia splendens	20260501175848	14.412736	50.121803	out_of_ch_range	taxon_unified_conflict
jbp-new	75736	dbgi_012160	canonical	dbgi_012160	Colchicum byzantinum		Colchicum byzantinum	Colchicum byzantinum	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Colchicum byzantinum;taxon_name=Colchicum byzantinum;MatchedCanonical=Colchicum × byzantinum	20260514112207	14.413603	50.119	out_of_ch_range	taxon_unified_conflict
jbp-new	75737	dbgi_011936	canonical	dbgi_011936	Colchicum byzantinum		Colchicum byzantinum	Colchicum byzantinum	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Colchicum byzantinum;taxon_name=Colchicum byzantinum;MatchedCanonical=Colchicum × byzantinum	20260514112413	14.413603	50.119	out_of_ch_range	taxon_unified_conflict
jbp-new	75742	dbgi_011753	canonical	dbgi_011753	Allium hybr.		Allium hybr.	Allium hybr.	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Allium hybr.;taxon_name=Allium hybr.;MatchedCanonical=Allium	20260514102741	14.414549	50.118515	out_of_ch_range	taxon_unified_conflict
jbp-new	75743	dbgi_011992	canonical	dbgi_011992	Allium hybr.		Allium hybr.	Allium hybr.	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Allium hybr.;taxon_name=Allium hybr.;MatchedCanonical=Allium	20260514103012	14.414566	50.1185	out_of_ch_range	taxon_unified_conflict
jbp-new	75744	dbgi_011783	canonical	dbgi_011783	Allium hybr.		Allium hybr.	Allium hybr.	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Allium hybr.;taxon_name=Allium hybr.;MatchedCanonical=Allium	20260514103228	14.414556	50.118507	out_of_ch_range	taxon_unified_conflict
jbp-new	75745	dbgi_011843	canonical	dbgi_011843	Allium hybr.		Allium hybr.	Allium hybr.	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Allium hybr.;taxon_name=Allium hybr.;MatchedCanonical=Allium	20260514103601	14.41456	50.11849	out_of_ch_range	taxon_unified_conflict
