project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	date	latitude	longitude	coordinate_status	has_dried	has_extraction	has_aliquot	has_ms	dried_sample_container_ids	extraction_sample_container_ids	lineage_status	issue
jbp-new	76353	dbgi_012655	canonical	dbgi_012655	Pterocarya stenoptera		Pterocarya stenoptera	Pterocarya stenoptera	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702114059	14.415871	50.12121	out_of_ch_range	false	true	false	false		dbgi_012655_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76354	dbgi_012608	canonical	dbgi_012608	Pterocarya stenoptera		Pterocarya stenoptera	Pterocarya stenoptera	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702114647	14.415871	50.12121	out_of_ch_range	false	true	false	false		dbgi_012608_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76355	dbgi_012688	canonical	dbgi_012688	Pulmonaria officinalis		Pulmonaria officinalis	Pulmonaria officinalis	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702115827	14.417259	50.123486	out_of_ch_range	false	true	false	false		dbgi_012688_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76356	dbgi_012679	canonical	dbgi_012679	Pulmonaria officinalis		Pulmonaria officinalis	Pulmonaria officinalis	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702120100	14.417259	50.123486	out_of_ch_range	false	true	false	false		dbgi_012679_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76357	dbgi_012680	canonical	dbgi_012680	Pulmonaria officinalis		Pulmonaria officinalis	Pulmonaria officinalis	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702120346	14.41726	50.123493	out_of_ch_range	false	true	false	false		dbgi_012680_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76358	dbgi_012720	canonical	dbgi_012720	Luzula pilosa		Luzula pilosa	Luzula pilosa	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702120608	14.417122	50.123493	out_of_ch_range	false	true	false	false		dbgi_012720_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76359	dbgi_012568	canonical	dbgi_012568	Athyrium niponicum		Athyrium niponicum	Athyrium niponicum	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702120815	14.417044	50.123444	out_of_ch_range	false	true	false	false		dbgi_012568_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76360	dbgi_012709	canonical	dbgi_012709	Athyrium niponicum		Athyrium niponicum	Athyrium niponicum	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702121046	14.417044	50.123444	out_of_ch_range	false	true	false	false		dbgi_012709_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76362	dbgi_012660	canonical	dbgi_012660	Astilbe x arendsii		Astilbe x arendsii	Astilbe x arendsii	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Astilbe x arendsii;taxon_name=Astilbe x arendsii;MatchedCanonical=Astilbe × arendsii	20260702122422	14.41695	50.123363	out_of_ch_range	false	true	true	false		dbgi_012660_01	no_dried_link;no_ms	downstream_lineage_without_dried_link
jbp-new	76364	dbgi_012610	canonical	dbgi_012610	Pinellia tripartita		Pinellia tripartita	Pinellia tripartita	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702123627	14.417063	50.123474	out_of_ch_range	false	true	false	false		dbgi_012610_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
