project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	date	latitude	longitude	coordinate_status	issues
jbp	74180	dbgi_009854	canonical	dbgi_009854				Garrya flavescens	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250814101322	14.412845	50.121593	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	74182	dbgi_009878	canonical	dbgi_009878				Garrya flavescens	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250814102327	14.412848	50.12159	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	74184	dbgi_009842	canonical	dbgi_009842	Consolida regalis			Consolida regalis	taxon_name	resolved_from_primary_taxon_field	taxon_name;name_proposition	taxon_name=Consolida regalis;name_proposition=Consolida regalis True Wild	20250815152159	14.415398	50.118725	out_of_ch_range	taxon_unified_conflict
jbp	74192	dbgi_009890	canonical	dbgi_009890				Delphinium ceratophorum	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250815164132	14.415659	50.120968	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	74193	dbgi_009848	canonical	dbgi_009848				Delphinium ceratophorum	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250815164329	14.415659	50.120968	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	74200	dbgi_009823	canonical	dbgi_009823				Aconitum firmum subsp. moravicum	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250815171402	14.419965	50.123383	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	74201	dbgi_009827	canonical	dbgi_009827				Aconitum firmum subsp. moravicum	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250815171622	14.419965	50.123383	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	74204	dbgi_009846	canonical	dbgi_009846				Artemisia cf. Tridentata	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818094748	14.414391	50.117977	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	74205	dbgi_009826	canonical	dbgi_009826				Artemisia cf. Tridentata	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818095238	14.414391	50.117977	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	74210	dbgi_009891	canonical	dbgi_009891				Artemisia alba ‘Canescens’	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818101434	14.414206	50.11851	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	74211	dbgi_009895	canonical	dbgi_009895	Artemisia alba			Artemisia alba	taxon_name	resolved_from_primary_taxon_field	taxon_name;name_proposition	taxon_name=Artemisia alba;name_proposition=Artemisia alba ‘Canescens’	20250818101704	14.414206	50.11851	out_of_ch_range	taxon_unified_conflict
jbp	74239	dbgi_009889	canonical	dbgi_009889				Spiraea japonica ‘Gold Frame’	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818130549	14.41538	50.121643	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	74240	dbgi_009843	canonical	dbgi_009843				Spiraea japonica ‘Gold Frame’	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818131008	14.41538	50.121643	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	74254	dbgi_009820	canonical	dbgi_009820				Spiraea japonica ‘Shirobana’	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818140313	14.416558	50.12256	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	74255	dbgi_009879	canonical	dbgi_009879				Spiraea japonica ‘Shirobana’	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818140833	14.416558	50.12256	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	74256	dbgi_009911	canonical	dbgi_009911				Spiraea japonica ‘Shirobana’	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818141136	14.416558	50.12256	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	74257	dbgi_009837	canonical	dbgi_009837				Spiraea japonica ‘Shirobana’	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818141709	14.416558	50.12256	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	74258	dbgi_009858	canonical	dbgi_009858				Spiraea japonica ‘Shirobana’	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818142754	14.416558	50.12256	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76153	dbgi_009999	canonical	dbgi_009999				Tabernaemontana brahyantha	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260128155524	14.412076	50.121883	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76154	dbgi_010067	canonical	dbgi_010067				Tabernaemontana brahyantha	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260128155737	14.412076	50.121883	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76155	dbgi_010029	canonical	dbgi_010029				Tabernaemontana brahyantha	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260128155852	14.412076	50.121883	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76156	dbgi_010002	canonical	dbgi_010002	Anacardium occidentale			Anacardium occidentale	taxon_name	resolved_from_primary_taxon_field	taxon_name;name_proposition	taxon_name=Anacardium occidentale;name_proposition=Typhonium roxburghii	20260128161234	14.412154	50.121975	out_of_ch_range	taxon_unified_conflict
jbp	76157	dbgi_009950	canonical	dbgi_009950	Cyperus alternifolius			Cyperus alternifolius	taxon_name	resolved_from_primary_taxon_field	taxon_name;name_proposition	taxon_name=Cyperus alternifolius;name_proposition=Tabernaemontana brahyantha	20260128155959	14.412094	50.121906	out_of_ch_range	taxon_unified_conflict
jbp	76158	dbgi_009844	canonical	dbgi_009844	Cyperus alternifolius			Cyperus alternifolius	taxon_name	resolved_from_primary_taxon_field	taxon_name;name_proposition	taxon_name=Cyperus alternifolius;name_proposition=Tabernaemontana brahyantha	20260128160233	14.412094	50.121906	out_of_ch_range	taxon_unified_conflict
jbp	76159	dbgi_010024	canonical	dbgi_010024	Cyperus alternifolius			Cyperus alternifolius	taxon_name	resolved_from_primary_taxon_field	taxon_name;name_proposition	taxon_name=Cyperus alternifolius;name_proposition=Tabernaemontana brahyantha	20260128160405	14.412094	50.121906	out_of_ch_range	taxon_unified_conflict
jbp	76160	dbgi_010057	canonical	dbgi_010057	Oryza sativa			Oryza sativa	taxon_name	resolved_from_primary_taxon_field	taxon_name;name_proposition	taxon_name=Oryza sativa;name_proposition=Tabernaemontana brahyantha	20260128160512	14.412126	50.12193	out_of_ch_range	taxon_unified_conflict
jbp	76161	dbgi_010059	canonical	dbgi_010059	Oryza sativa			Oryza sativa	taxon_name	resolved_from_primary_taxon_field	taxon_name;name_proposition	taxon_name=Oryza sativa;name_proposition=Tabernaemontana brahyantha	20260128160713	14.412126	50.12193	out_of_ch_range	taxon_unified_conflict
jbp	76162	dbgi_009963	canonical	dbgi_009963	Oryza sativa			Oryza sativa	taxon_name	resolved_from_primary_taxon_field	taxon_name;name_proposition	taxon_name=Oryza sativa;name_proposition=Tabernaemontana brahyantha	20260128160802	14.412126	50.12193	out_of_ch_range	taxon_unified_conflict
jbp	76163	dbgi_010047	canonical	dbgi_010047				Typhonium roxburghii	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260128160901	14.412135	50.121956	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76164	dbgi_010078	canonical	dbgi_010078				Typhonium roxburghii	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260128161152	14.412135	50.121956	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76167	dbgi_009944	canonical	dbgi_009944				Toccoca sp.	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209091750	14.412012	50.12178	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76168	dbgi_009962	canonical	dbgi_009962				Toccoca sp.	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209092134	14.412012	50.12178	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76175	dbgi_009993	canonical	dbgi_009993				Pilea diversifolia	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209094024	14.412049	50.121838	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76176	dbgi_009919	canonical	dbgi_009919				Pilea diversifolia	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209094248	14.412049	50.121838	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76177	dbgi_009974	canonical	dbgi_009974				Amorphophallus verticillatus	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209094424	14.412055	50.121853	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76178	dbgi_009935	canonical	dbgi_009935				Amorphophallus verticillatus	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209094734	14.412055	50.121853	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76193	dbgi_009994	canonical	dbgi_009994				Capsicum eximium	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209110852	14.412096	50.121872	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76194	dbgi_010052	canonical	dbgi_010052				Capsicum eximium	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209111236	14.412096	50.121872	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76195	dbgi_010010	canonical	dbgi_010010				Capsicum eximium	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209111337	14.412096	50.121872	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76204	dbgi_010034	canonical	dbgi_010034				Psychotria abouabouensis	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209112653	14.412139	50.12193	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76205	dbgi_010055	canonical	dbgi_010055				Psychotria abouabouensis	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209112934	14.412139	50.12193	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76220	dbgi_009936	canonical	dbgi_009936				Cryptostegia grandifolia	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209114154	14.412041	50.121788	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76221	dbgi_009920	canonical	dbgi_009920				Cryptostegia grandifolia	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209114401	14.412041	50.121788	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76222	dbgi_009961	canonical	dbgi_009961				Cryptostegia grandifolia	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209114523	14.412041	50.121788	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76223	dbgi_009955	canonical	dbgi_009955				Beaucarnea olsonii	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209114639	14.412029	50.12178	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76224	dbgi_009931	canonical	dbgi_009931				Beaucarnea olsonii	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209114902	14.412029	50.12178	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76227	dbgi_009996	canonical	dbgi_009996				Terminalia synsepala	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209115312	14.414561	50.121872	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76228	dbgi_010035	canonical	dbgi_010035				Terminalia synsepala	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209115450	14.414561	50.121872	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76237	dbgi_009924	canonical	dbgi_009924				Zamia stricta	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260225100641	14.412183	50.121925	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76238	dbgi_010001	canonical	dbgi_010001				Zamia stricta	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260225101027	14.412183	50.121925	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
jbp	76239	dbgi_009918	canonical	dbgi_009918				Zamia stricta	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260225101425	14.412183	50.121925	out_of_ch_range	missing_primary_taxon_name_recovered_from_fallback
