project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	has_dried	has_extraction	has_aliquot	has_ms	dried_sample_container_ids	extraction_sample_container_ids	lineage_status
jbp	74177	dbgi_009877	canonical	dbgi_009877	Rumex aquaticus			20250814094637	14.411989	50.121628	out_of_ch_range	true	false	false	false	dbgi_009877		not_extracted
jbp	74178	dbgi_009892 00	other_noncanonical		Rumex aquaticus			20250814095305	14.411982	50.12162	out_of_ch_range	false	false	false	false			no_dried_link;not_extracted
jbp	74179	dbgi_009887	canonical	dbgi_009887	Rumex aquaticus			20250814095738	14.411989	50.121628	out_of_ch_range	true	false	false	false	dbgi_009887		not_extracted
jbp	74180	dbgi_009854	canonical	dbgi_009854				20250814101322	14.412845	50.121593	out_of_ch_range	true	false	false	false	dbgi_009854		not_extracted
jbp	74181	dbgi_009899	canonical	dbgi_009899	Caesalpinia bonduc			20250814091908	14.412362	50.121735	out_of_ch_range	true	false	false	false	dbgi_009899		not_extracted
jbp	74182	dbgi_009878	canonical	dbgi_009878				20250814102327	14.412848	50.12159	out_of_ch_range	true	false	false	false	dbgi_009878		not_extracted
jbp	74183	dbgi_009892	canonical	dbgi_009892	Rumex aquaticus			20250814095305	14.411982	50.12162	out_of_ch_range	true	false	false	false	dbgi_009892		not_extracted
jbp	74184	dbgi_009842	canonical	dbgi_009842	Consolida regalis			20250815152159	14.415398	50.118725	out_of_ch_range	true	false	false	false	dbgi_009842		not_extracted
jbp	74185	dbgi_009903	canonical	dbgi_009903	Consolida regalis			20250815152556	14.415398	50.118725	out_of_ch_range	true	false	false	false	dbgi_009903		not_extracted
jbp	74186	dbgi_009917	canonical	dbgi_009917	Caesalpinia spinosa			20250815155207	14.412406	50.121788	out_of_ch_range	true	false	false	false	dbgi_009917		not_extracted
jbp	74187	dbgi_009881	canonical	dbgi_009881	Artemisia afra			20250815155733	14.412386	50.12177	out_of_ch_range	true	false	false	false	dbgi_009881		not_extracted
jbp	74188	dbgi_009902	canonical	dbgi_009902	Caesalpinia pulcherrima			20250815162910	14.412434	50.121758	out_of_ch_range	true	false	false	false	dbgi_009902		not_extracted
jbp	74189	dbgi_009897	canonical	dbgi_009897	Caesalpinia pulcherrima			20250815163107	14.412434	50.121758	out_of_ch_range	true	false	false	false	dbgi_009897		not_extracted
jbp	74190	dbgi_009859	canonical	dbgi_009859	Caesalpinia gilliesii			20250815163323	14.412418	50.121735	out_of_ch_range	true	false	false	false	dbgi_009859		not_extracted
jbp	74191	dbgi_009849	canonical	dbgi_009849	Caesalpinia gilliesii			20250815163656	14.412418	50.121735	out_of_ch_range	true	true	false	false	dbgi_009849	dbgi_009849_01	no_aliquot;no_ms
jbp	74192	dbgi_009890	canonical	dbgi_009890				20250815164132	14.415659	50.120968	out_of_ch_range	true	false	false	false	dbgi_009890		not_extracted
jbp	74193	dbgi_009848	canonical	dbgi_009848				20250815164329	14.415659	50.120968	out_of_ch_range	true	true	false	false	dbgi_009848	dbgi_009848_01	no_aliquot;no_ms
jbp	74194	dbgi_009896	canonical	dbgi_009896	Thalictrum pubescens			20250815165058	14.416706	50.122204	out_of_ch_range	true	false	false	false	dbgi_009896		not_extracted
jbp	74195	dbgi_009838	canonical	dbgi_009838	Thalictrum pubescens			20250815165310	14.416706	50.122204	out_of_ch_range	true	false	false	false	dbgi_009838		not_extracted
jbp	74196	dbgi_009869	canonical	dbgi_009869	Artemisia alba			20250815170256	14.414897	50.11871	out_of_ch_range	true	false	false	false	dbgi_009869		not_extracted
jbp	74197	dbgi_009873	canonical	dbgi_009873	Artemisia alba			20250815170456	14.414897	50.11871	out_of_ch_range	true	false	false	false	dbgi_009873		not_extracted
jbp	74198	dbgi_009914	canonical	dbgi_009914	Artemisia rutifolia			20250815170937	14.41487	50.118687	out_of_ch_range	true	false	false	false	dbgi_009914		not_extracted
jbp	74199	dbgi_009882	canonical	dbgi_009882	Artemisia rutifolia			20250815171103	14.41487	50.118687	out_of_ch_range	true	false	false	false	dbgi_009882		not_extracted
jbp	74200	dbgi_009823	canonical	dbgi_009823				20250815171402	14.419965	50.123383	out_of_ch_range	true	false	false	false	dbgi_009823		not_extracted
jbp	74201	dbgi_009827	canonical	dbgi_009827				20250815171622	14.419965	50.123383	out_of_ch_range	true	false	false	false	dbgi_009827		not_extracted
jbp	74202	dbgi_009856	canonical	dbgi_009856	Aconitum carmichaelii			20250815171926	14.419545	50.123394	out_of_ch_range	true	true	false	false	dbgi_009856	dbgi_009856_01	no_aliquot;no_ms
jbp	74203	dbgi_009852	canonical	dbgi_009852	Aconitum carmichaelii			20250815172028	14.419545	50.123394	out_of_ch_range	true	false	false	false	dbgi_009852		not_extracted
jbp	74204	dbgi_009846	canonical	dbgi_009846				20250818094748	14.414391	50.117977	out_of_ch_range	true	false	false	false	dbgi_009846		not_extracted
jbp	74205	dbgi_009826	canonical	dbgi_009826				20250818095238	14.414391	50.117977	out_of_ch_range	true	false	false	false	dbgi_009826		not_extracted
jbp	74206	dbgi_009855	canonical	dbgi_009855	Artemisia frigida			20250818095801	14.414413	50.118004	out_of_ch_range	true	false	false	false	dbgi_009855		not_extracted
jbp	74207	dbgi_009821	canonical	dbgi_009821	Artemisia frigida			20250818100320	14.414415	50.118008	out_of_ch_range	true	false	false	false	dbgi_009821		not_extracted
jbp	74208	dbgi_009836	canonical	dbgi_009836	Artemisia pontica			20250818100636	14.414472	50.1187	out_of_ch_range	true	false	false	false	dbgi_009836		not_extracted
jbp	74209	dbgi_009866	canonical	dbgi_009866	Artemisia pontica			20250818100913	14.414472	50.1187	out_of_ch_range	true	false	false	false	dbgi_009866		not_extracted
jbp	74210	dbgi_009891	canonical	dbgi_009891				20250818101434	14.414206	50.11851	out_of_ch_range	true	false	false	false	dbgi_009891		not_extracted
jbp	74211	dbgi_009895	canonical	dbgi_009895	Artemisia alba			20250818101704	14.414206	50.11851	out_of_ch_range	true	false	false	false	dbgi_009895		not_extracted
