project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	suggested_latitude	suggested_longitude	issue
sbl_20004	68455	tp24_000007	canonical			Erythroxylum australe			7.1551256	46.793304	looks_swapped_ch_lat_lon	46.793304	7.1551256	coordinates_look_swapped_ch_lat_lon
sbl_20004	68456	tp24_000016	canonical			Plutella xylostella			7.155673	46.79285	looks_swapped_ch_lat_lon	46.79285	7.155673	coordinates_look_swapped_ch_lat_lon
sbl_20004	68457	tp24_000017	canonical			Biscutella laevigata			7.1556735	46.79285	looks_swapped_ch_lat_lon	46.79285	7.1556735	coordinates_look_swapped_ch_lat_lon
sbl_20004	68458	tp24_000019	canonical			Biscutella laevigata			7.1556745	46.79285	looks_swapped_ch_lat_lon	46.79285	7.1556745	coordinates_look_swapped_ch_lat_lon
sbl_20004	68459	tp24_000018	canonical			Biscutella laevigata			7.1556745	46.79285	looks_swapped_ch_lat_lon	46.79285	7.1556745	coordinates_look_swapped_ch_lat_lon
sbl_20004	68460	tp24_000020	canonical			Biscutella laevigata			7.1556745	46.79285	looks_swapped_ch_lat_lon	46.79285	7.1556745	coordinates_look_swapped_ch_lat_lon
sbl_20004	68461	tp24_000012	canonical			Biscutella laevigata			7.1556745	46.79285	looks_swapped_ch_lat_lon	46.79285	7.1556745	coordinates_look_swapped_ch_lat_lon
sbl_20004	68462	tp24_000015	canonical			Biscutella laevigata			7.1556745	46.79285	looks_swapped_ch_lat_lon	46.79285	7.1556745	coordinates_look_swapped_ch_lat_lon
sbl_20004	68463	tp24_000011	canonical			Biscutella laevigata			7.1556735	46.79285	looks_swapped_ch_lat_lon	46.79285	7.1556735	coordinates_look_swapped_ch_lat_lon
sbl_20004	68464	tp24_000013	canonical			Biscutella laevigata			7.1556745	46.79285	looks_swapped_ch_lat_lon	46.79285	7.1556745	coordinates_look_swapped_ch_lat_lon
sbl_20004	68465	tp24_000014	canonical			Biscutella laevigata			7.1556745	46.79285	looks_swapped_ch_lat_lon	46.79285	7.1556745	coordinates_look_swapped_ch_lat_lon
