project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	issue
kew-botanical-gardens	65636	dbgi_2	short_numeric_suffix	dbgi_000002	Passiflora			20251001122422	-0.29062262	51.481995	out_of_ch_range	coordinates_out_of_ch_range
sandbox	69942	dbgi_007553	canonical	dbgi_007553	Abies georgei		Abies georgei	20260314210934	14.420024	50.124043	out_of_ch_range	coordinates_out_of_ch_range
chemical_ecology	70835	chec_000187	canonical		Bellis perennis			20250502171618	4.935476	45.905846	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	74143	dbgi_003189	canonical	dbgi_003189	Acacia cardiophylla			20250814181848	-0.29314643	51.47376	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	74144	dbgi_009958	canonical	dbgi_009958	Abutilon pitcairnense			20250814214057	-0.29309487	51.475	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	74176	dbgi_009959	canonical	dbgi_009959	Acacia decora			20250814225820	-0.29313406	51.475388	out_of_ch_range	coordinates_out_of_ch_range
jbp	74177	dbgi_009877	canonical	dbgi_009877	Rumex aquaticus			20250814094637	14.411989	50.121628	out_of_ch_range	coordinates_out_of_ch_range
jbp	74178	dbgi_009892 00	other_noncanonical		Rumex aquaticus			20250814095305	14.411982	50.12162	out_of_ch_range	coordinates_out_of_ch_range
jbp	74179	dbgi_009887	canonical	dbgi_009887	Rumex aquaticus			20250814095738	14.411989	50.121628	out_of_ch_range	coordinates_out_of_ch_range
jbp	74180	dbgi_009854	canonical	dbgi_009854				20250814101322	14.412845	50.121593	out_of_ch_range	coordinates_out_of_ch_range
jbp	74181	dbgi_009899	canonical	dbgi_009899	Caesalpinia bonduc			20250814091908	14.412362	50.121735	out_of_ch_range	coordinates_out_of_ch_range
jbp	74182	dbgi_009878	canonical	dbgi_009878				20250814102327	14.412848	50.12159	out_of_ch_range	coordinates_out_of_ch_range
jbp	74183	dbgi_009892	canonical	dbgi_009892	Rumex aquaticus			20250814095305	14.411982	50.12162	out_of_ch_range	coordinates_out_of_ch_range
jbp	74184	dbgi_009842	canonical	dbgi_009842	Consolida regalis			20250815152159	14.415398	50.118725	out_of_ch_range	coordinates_out_of_ch_range
jbp	74185	dbgi_009903	canonical	dbgi_009903	Consolida regalis			20250815152556	14.415398	50.118725	out_of_ch_range	coordinates_out_of_ch_range
jbp	74186	dbgi_009917	canonical	dbgi_009917	Caesalpinia spinosa			20250815155207	14.412406	50.121788	out_of_ch_range	coordinates_out_of_ch_range
jbp	74187	dbgi_009881	canonical	dbgi_009881	Artemisia afra			20250815155733	14.412386	50.12177	out_of_ch_range	coordinates_out_of_ch_range
jbp	74188	dbgi_009902	canonical	dbgi_009902	Caesalpinia pulcherrima			20250815162910	14.412434	50.121758	out_of_ch_range	coordinates_out_of_ch_range
jbp	74189	dbgi_009897	canonical	dbgi_009897	Caesalpinia pulcherrima			20250815163107	14.412434	50.121758	out_of_ch_range	coordinates_out_of_ch_range
jbp	74190	dbgi_009859	canonical	dbgi_009859	Caesalpinia gilliesii			20250815163323	14.412418	50.121735	out_of_ch_range	coordinates_out_of_ch_range
jbp	74191	dbgi_009849	canonical	dbgi_009849	Caesalpinia gilliesii			20250815163656	14.412418	50.121735	out_of_ch_range	coordinates_out_of_ch_range
jbp	74192	dbgi_009890	canonical	dbgi_009890				20250815164132	14.415659	50.120968	out_of_ch_range	coordinates_out_of_ch_range
jbp	74193	dbgi_009848	canonical	dbgi_009848				20250815164329	14.415659	50.120968	out_of_ch_range	coordinates_out_of_ch_range
jbp	74194	dbgi_009896	canonical	dbgi_009896	Thalictrum pubescens			20250815165058	14.416706	50.122204	out_of_ch_range	coordinates_out_of_ch_range
jbp	74195	dbgi_009838	canonical	dbgi_009838	Thalictrum pubescens			20250815165310	14.416706	50.122204	out_of_ch_range	coordinates_out_of_ch_range
jbp	74196	dbgi_009869	canonical	dbgi_009869	Artemisia alba			20250815170256	14.414897	50.11871	out_of_ch_range	coordinates_out_of_ch_range
jbp	74197	dbgi_009873	canonical	dbgi_009873	Artemisia alba			20250815170456	14.414897	50.11871	out_of_ch_range	coordinates_out_of_ch_range
jbp	74198	dbgi_009914	canonical	dbgi_009914	Artemisia rutifolia			20250815170937	14.41487	50.118687	out_of_ch_range	coordinates_out_of_ch_range
jbp	74199	dbgi_009882	canonical	dbgi_009882	Artemisia rutifolia			20250815171103	14.41487	50.118687	out_of_ch_range	coordinates_out_of_ch_range
