field_data_id	sample_id	qfield_project	taxon_name	old_name_proposition	new_name_proposition
74350	drog_000301	droguier_jbn	Valeriana_officinalis_L	Equisetum arvense	
74351	drog_000056	droguier_jbn	Valeriana_officinalis_L	Equisetum arvense	
74352	drog_000147	droguier_jbn	Valeriana_officinalis_L	Equisetum arvense	
74353	drog_000122	droguier_jbn	Valeriana_officinalis_L	Equisetum arvense	
74354	drog_000388	droguier_jbn	Valeriana_officinalis_L	Equisetum arvense	
74355	drog_000231	droguier_jbn	Valeriana_officinalis_L	Equisetum arvense	
74356	drog_000277	droguier_jbn	Valeriana_officinalis_L	Equisetum arvense	
74357	drog_000088	droguier_jbn	Valeriana_officinalis_L	Equisetum arvense	
74358	drog_000169	droguier_jbn	Valeriana_officinalis_L	Equisetum arvense	
74359	drog_000198	droguier_jbn	Valeriana_officinalis_L	Equisetum arvense	
74369	drog_000513	droguier_jbn	Thymus_serpyllum_L	Mentha x piperita	
74370	drog_000578	droguier_jbn	Thymus_serpyllum_L	Mentha x piperita	
74371	drog_000558	droguier_jbn	Thymus_serpyllum_L	Mentha x piperita	
74372	drog_000396	droguier_jbn	Thymus_serpyllum_L	Mentha x piperita	
74373	drog_000413	droguier_jbn	Thymus_serpyllum_L	Mentha x piperita	
74374	drog_000463	droguier_jbn	Thymus_serpyllum_L	Mentha x piperita	
74375	drog_000405	droguier_jbn	Thymus_serpyllum_L	Mentha x piperita	
74376	drog_000415	droguier_jbn	Thymus_serpyllum_L	Mentha x piperita	
74412	drog_000417	droguier_jbn	Thymus_vulgaris_L	Senna alexandrina	
74413	drog_000327	droguier_jbn	Thymus_vulgaris_L	Senna alexandrina	
74414	drog_000348	droguier_jbn	Thymus_vulgaris_L	Senna alexandrina	
74415	drog_000374	droguier_jbn	Thymus_vulgaris_L	Senna alexandrina	
74416	drog_000569	droguier_jbn	Thymus_vulgaris_L	Senna alexandrina	
74417	drog_000406	droguier_jbn	Thymus_vulgaris_L	Senna alexandrina	
74418	drog_000547	droguier_jbn	Thymus_vulgaris_L	Senna alexandrina	
74419	drog_000420	droguier_jbn	Thymus_vulgaris_L	Senna alexandrina	
74420	drog_000545	droguier_jbn	Thymus_vulgaris_L	Senna alexandrina	
74421	drog_000422	droguier_jbn	Thymus_vulgaris_L	Senna alexandrina	
74422	drog_000561	droguier_jbn	Laurus_nobilis_L	Senna alexandrina	
74423	drog_000465	droguier_jbn	Laurus_nobilis_L	Senna alexandrina	
74424	drog_000317	droguier_jbn	Laurus_nobilis_L	Senna alexandrina	
74425	drog_000451	droguier_jbn	Laurus_nobilis_L	Senna alexandrina	
74426	drog_000548	droguier_jbn	Laurus_nobilis_L	Senna alexandrina	
74427	drog_000330	droguier_jbn	Laurus_nobilis_L	Senna alexandrina	
74428	drog_000349	droguier_jbn	Laurus_nobilis_L	Senna alexandrina	
74429	drog_000393	droguier_jbn	Laurus_nobilis_L	Senna alexandrina	
74430	drog_000344	droguier_jbn	Laurus_nobilis_L	Senna alexandrina	
74431	drog_000509	droguier_jbn	Laurus_nobilis_L	Senna alexandrina	
74444	drog_000333	droguier_jbn	Gentiana_lutea_L	Centaurium erythraea	
74445	drog_000372	droguier_jbn	Gentiana_lutea_L	Centaurium erythraea	
74446	drog_000364	droguier_jbn	Gentiana_lutea_L	Centaurium erythraea	
74447	drog_000361	droguier_jbn	Gentiana_lutea_L	Centaurium erythraea	
74448	drog_000334	droguier_jbn	Gentiana_lutea_L	Centaurium erythraea	
74449	drog_000383	droguier_jbn	Gentiana_lutea_L	Centaurium erythraea	
74450	drog_000307	droguier_jbn	Gentiana_lutea_L	Centaurium erythraea	
74451	drog_000363	droguier_jbn	Gentiana_lutea_L	Centaurium erythraea	
74452	drog_000564	droguier_jbn	Gentiana_lutea_L	Centaurium erythraea	
74453	drog_000392	droguier_jbn	Gentiana_lutea_L	Centaurium erythraea	
74454	drog_000403	droguier_jbn	Gentiana_lutea_L	Centaurium erythraea	
74471	drog_000411	droguier_jbn	Gentiana_lutea_L	Krameria lappacea	
74472	drog_000436	droguier_jbn	Juniperus_communis_L	Krameria lappacea	
74473	drog_000380	droguier_jbn	Juniperus_communis_L	Krameria lappacea	
74474	drog_000418	droguier_jbn	Juniperus_communis_L	Krameria lappacea	
