group_id	group_size	fingerprint	project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	date	latitude	longitude	coordinate_status
1	2	jbc|carex montana|20250625093007|7.113085|46.03262	jbc	72621	dbgi_48	short_numeric_suffix	dbgi_000048				Carex montana	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250625093007	7.1130853	46.03262	looks_swapped_ch_lat_lon
1	2	jbc|carex montana|20250625093007|7.113085|46.03262	jbc	72719	dbgi_104	short_numeric_suffix	dbgi_000104				Carex montana	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250625093007	7.1130853	46.03262	looks_swapped_ch_lat_lon
2	2	jbuf|tsuga canadensis (l.) carr.|20250410150414|7.155265|46.79312	jbuf	70078	dbgi_007573	canonical	dbgi_007573	Tsuga canadensis (L.) Carr.			Tsuga canadensis (L.) Carr.	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250410150414	7.155265	46.79312	looks_swapped_ch_lat_lon
2	2	jbuf|tsuga canadensis (l.) carr.|20250410150414|7.155265|46.79312	jbuf	70079	dbgi_007782	canonical	dbgi_007782	Tsuga canadensis (L.) Carr.			Tsuga canadensis (L.) Carr.	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250410150414	7.155265	46.79312	looks_swapped_ch_lat_lon
3	3	medicin_alps|bistorta vivipara|20250624113009|6.419257|45.039917	medicin_alps	71579	meda_000190o	other_noncanonical		Bistorta vivipara			Bistorta vivipara	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250624113009	6.4192567	45.039917	looks_swapped_ch_lat_lon
3	3	medicin_alps|bistorta vivipara|20250624113009|6.419257|45.039917	medicin_alps	71739	meda_274	short_numeric_suffix		Bistorta vivipara			Bistorta vivipara	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250624113009	6.4192567	45.039917	looks_swapped_ch_lat_lon
3	3	medicin_alps|bistorta vivipara|20250624113009|6.419257|45.039917	medicin_alps	71939	meda_434	short_numeric_suffix		Bistorta vivipara			Bistorta vivipara	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250624113009	6.4192567	45.039917	looks_swapped_ch_lat_lon
4	3	medicin_alps||20250624104718|6.419418|45.03983	medicin_alps	71568	meda_000179 lo	other_noncanonical							missing_all_taxon_information			20250624104718	6.4194183	45.03983	looks_swapped_ch_lat_lon
4	3	medicin_alps||20250624104718|6.419418|45.03983	medicin_alps	71728	meda_263	short_numeric_suffix							missing_all_taxon_information			20250624104718	6.4194183	45.03983	looks_swapped_ch_lat_lon
4	3	medicin_alps||20250624104718|6.419418|45.03983	medicin_alps	71928	meda_423	short_numeric_suffix							missing_all_taxon_information			20250624104718	6.4194183	45.03983	looks_swapped_ch_lat_lon
5	3	medicin_alps||20250624112612|6.419233|45.039906	medicin_alps	71578	meda_000189oo	other_noncanonical							missing_all_taxon_information			20250624112612	6.4192333	45.039906	looks_swapped_ch_lat_lon
5	3	medicin_alps||20250624112612|6.419233|45.039906	medicin_alps	71738	meda_273	short_numeric_suffix							missing_all_taxon_information			20250624112612	6.4192333	45.039906	looks_swapped_ch_lat_lon
5	3	medicin_alps||20250624112612|6.419233|45.039906	medicin_alps	71938	meda_433	short_numeric_suffix							missing_all_taxon_information			20250624112612	6.4192333	45.039906	looks_swapped_ch_lat_lon
