project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	issues
jbuf	65608	dbgi_001187	canonical	dbgi_001187		Lonicera xylosteum L.			7.1567926	46.79261	looks_swapped_ch_lat_lon	missing_date
jbuf	65609	dbgi_001178	canonical	dbgi_001178		Euonymus alatus Sieb.			7.1573157	46.792202	looks_swapped_ch_lat_lon	missing_date
jbuf	65610	dbgi_001177	canonical	dbgi_001177		Euonymus europaeus L.			7.1573076	46.792213	looks_swapped_ch_lat_lon	missing_date
jbuf	65611	dbgi_001185	canonical	dbgi_001185		Clematis heracleifolia DC.			7.1564727	46.79239	looks_swapped_ch_lat_lon	missing_date
jbuf	65612	dbgi_001188	canonical	dbgi_001188		Clematis recta L.			7.1564775	46.792377	looks_swapped_ch_lat_lon	missing_date
jbuf	65613	dbgi_001186	canonical	dbgi_001186		Clematis vitalba L.			7.156504	46.792355	looks_swapped_ch_lat_lon	missing_date
jbuf	65614	dbgi_001184	canonical	dbgi_001184		Lonicera periclymenum L.			7.156883	46.792603	looks_swapped_ch_lat_lon	missing_date
jbuf	65615	dbgi_001139	canonical	dbgi_001139		Lonicera caprifolium L.			7.156867	46.792603	looks_swapped_ch_lat_lon	missing_date
jbuf	65616	dbgi_001176	canonical	dbgi_001176		Lonicera tatarica L.			7.1568427	46.792606	looks_swapped_ch_lat_lon	missing_date
jbuf	65617	dbgi_001183	canonical	dbgi_001183		Lonicera kamtschatica (Sevast.) Pojark. 'Maistar'			7.1568065	46.792614	looks_swapped_ch_lat_lon	missing_date
jbuf	65618	dbgi_001157	canonical	dbgi_001157		Euonymus fortunei Hand.- Mazz. 'Coloratus'			7.155511	46.793415	looks_swapped_ch_lat_lon	missing_date
jbuf	65619	dbgi_001162	canonical	dbgi_001162		Clematis recta L.			7.156672	46.792995	looks_swapped_ch_lat_lon	missing_date
jbuf	65620	dbgi_001175	canonical	dbgi_001175		Clematis viticella L.			7.156714	46.792854	looks_swapped_ch_lat_lon	missing_date
jbuf	65621	dbgi_001182	canonical	dbgi_001182		Clematis alpina (L.) Mill.			7.1564693	46.79277	looks_swapped_ch_lat_lon	missing_date
jbuf	65622	dbgi_001166	canonical	dbgi_001166		Lonicera caerulea L.			7.1562123	46.79258	looks_swapped_ch_lat_lon	missing_date
jbuf	65623	dbgi_001158	canonical	dbgi_001158		Lonicera alpigena L.			7.1563687	46.792652	looks_swapped_ch_lat_lon	missing_date
jbuf	65624	dbgi_001174	canonical	dbgi_001174		Lonicera nigra L.			7.156427	46.792755	looks_swapped_ch_lat_lon	missing_date
jbuf	65625	dbgi_001156	canonical	dbgi_001156		Clematis alpina (L.) Mill.			7.1561465	46.792976	looks_swapped_ch_lat_lon	missing_date
jbuf	65626	dbgi_001169	canonical	dbgi_001169		Lonicera japonica Thunb. 'Halliana'			7.155334	46.793	looks_swapped_ch_lat_lon	missing_date
jbuf	65634	dbgi	other_noncanonical		Agrimonia eupatoria L.			20240625134458	7.157249	46.79255	looks_swapped_ch_lat_lon	sample_id_other_noncanonical
jbuf	65635	dbgi_1	short_numeric_suffix	dbgi_000001	Rubus idaeus L. 'Autumn Bliss'			20240625135158	7.157231	46.79254	looks_swapped_ch_lat_lon	sample_id_short_numeric_suffix
kew-botanical-gardens	65636	dbgi_2	short_numeric_suffix	dbgi_000002	Passiflora			20251001122422	-0.29062262	51.481995	out_of_ch_range	sample_id_short_numeric_suffix
jbuf	65637	dbgi_3	short_numeric_suffix	dbgi_000003	Rosa glauca Pourr.			20240625140558	7.1572824	46.79245	looks_swapped_ch_lat_lon	sample_id_short_numeric_suffix
jbuf	65638	dbgi_4	short_numeric_suffix	dbgi_000004	Stephanandra incisa (Thunb.) Zabel 'Crispa'			20240625141040	7.1573086	46.79241	looks_swapped_ch_lat_lon	sample_id_short_numeric_suffix
jbuf	65639	dbgi_5	short_numeric_suffix	dbgi_000005	Hyoscyamus niger L.			20240625141853	7.15671	46.792603	looks_swapped_ch_lat_lon	sample_id_short_numeric_suffix
jbuf	65640	dbgi_6	short_numeric_suffix	dbgi_000006	Petunia integrifolia (Hook.) Schinz et Thell.			20240625142337	7.1567	46.792587	looks_swapped_ch_lat_lon	sample_id_short_numeric_suffix
jbuf	65648	dbgi_003118	canonical	dbgi_003118		Clematis alpina (L.) Mill.			7.1564703	46.79277	looks_swapped_ch_lat_lon	missing_date
jbuf	65649	dbgi_003082	canonical	dbgi_003082		Rhododendron hirsutum L.			7.1564717	46.79278	looks_swapped_ch_lat_lon	missing_date
jbuf	65650	dbgi_003141	canonical	dbgi_003141		Ruscus aculeatus L.			7.156466	46.792767	looks_swapped_ch_lat_lon	missing_date
jbuf	65651	dbgi_003137	canonical	dbgi_003137		Polygonatum multiflorum (L.) All.			7.1564655	46.792767	looks_swapped_ch_lat_lon	missing_date
