backup_kind	field_data_id	target_field	old_value	new_value	directus_row_json
field_data_unified_taxon_update	65608	taxon_name_unified		Lonicera xylosteum L.	"{""id"": 65608, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65609	taxon_name_unified		Euonymus alatus Sieb.	"{""id"": 65609, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65610	taxon_name_unified		Euonymus europaeus L.	"{""id"": 65610, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65611	taxon_name_unified		Clematis heracleifolia DC.	"{""id"": 65611, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65612	taxon_name_unified		Clematis recta L.	"{""id"": 65612, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65613	taxon_name_unified		Clematis vitalba L.	"{""id"": 65613, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65614	taxon_name_unified		Lonicera periclymenum L.	"{""id"": 65614, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65615	taxon_name_unified		Lonicera caprifolium L.	"{""id"": 65615, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65616	taxon_name_unified		Lonicera tatarica L.	"{""id"": 65616, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65617	taxon_name_unified		Lonicera kamtschatica (Sevast.) Pojark. 'Maistar'	"{""id"": 65617, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65618	taxon_name_unified		Euonymus fortunei Hand.- Mazz. 'Coloratus'	"{""id"": 65618, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65619	taxon_name_unified		Clematis recta L.	"{""id"": 65619, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65620	taxon_name_unified		Clematis viticella L.	"{""id"": 65620, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65621	taxon_name_unified		Clematis alpina (L.) Mill.	"{""id"": 65621, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65622	taxon_name_unified		Lonicera caerulea L.	"{""id"": 65622, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65623	taxon_name_unified		Lonicera alpigena L.	"{""id"": 65623, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65624	taxon_name_unified		Lonicera nigra L.	"{""id"": 65624, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65625	taxon_name_unified		Clematis alpina (L.) Mill.	"{""id"": 65625, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65626	taxon_name_unified		Lonicera japonica Thunb. 'Halliana'	"{""id"": 65626, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65627	taxon_name_unified		Agrimonia eupatoria L.	"{""id"": 65627, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65628	taxon_name_unified		Rubus idaeus L. 'Autumn Bliss'	"{""id"": 65628, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65629	taxon_name_unified		Waldsteinia fragarioides Tratt.	"{""id"": 65629, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65630	taxon_name_unified		Rosa glauca Pourr.	"{""id"": 65630, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65631	taxon_name_unified		Stephanandra incisa (Thunb.) Zabel 'Crispa'	"{""id"": 65631, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65632	taxon_name_unified		Hyoscyamus niger L.	"{""id"": 65632, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65633	taxon_name_unified		Petunia integrifolia (Hook.) Schinz et Thell.	"{""id"": 65633, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65636	taxon_name_unified		Passiflora	"{""id"": 65636, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65641	taxon_name_unified		Papaver somniferum L.	"{""id"": 65641, ""taxon_name_unified"": null}"
