field_data_id	sample_id	project	target_field	current_value	new_value	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	skip_reason
65608	dbgi_001187	jbuf	taxon_name_unified		Lonicera xylosteum L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65609	dbgi_001178	jbuf	taxon_name_unified		Euonymus alatus Sieb.	sample_name	resolved_from_primary_taxon_field	sample_name		
65610	dbgi_001177	jbuf	taxon_name_unified		Euonymus europaeus L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65611	dbgi_001185	jbuf	taxon_name_unified		Clematis heracleifolia DC.	sample_name	resolved_from_primary_taxon_field	sample_name		
65612	dbgi_001188	jbuf	taxon_name_unified		Clematis recta L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65613	dbgi_001186	jbuf	taxon_name_unified		Clematis vitalba L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65614	dbgi_001184	jbuf	taxon_name_unified		Lonicera periclymenum L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65615	dbgi_001139	jbuf	taxon_name_unified		Lonicera caprifolium L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65616	dbgi_001176	jbuf	taxon_name_unified		Lonicera tatarica L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65617	dbgi_001183	jbuf	taxon_name_unified		Lonicera kamtschatica (Sevast.) Pojark. 'Maistar'	sample_name	resolved_from_primary_taxon_field	sample_name		
65618	dbgi_001157	jbuf	taxon_name_unified		Euonymus fortunei Hand.- Mazz. 'Coloratus'	sample_name	resolved_from_primary_taxon_field	sample_name		
65619	dbgi_001162	jbuf	taxon_name_unified		Clematis recta L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65620	dbgi_001175	jbuf	taxon_name_unified		Clematis viticella L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65621	dbgi_001182	jbuf	taxon_name_unified		Clematis alpina (L.) Mill.	sample_name	resolved_from_primary_taxon_field	sample_name		
65622	dbgi_001166	jbuf	taxon_name_unified		Lonicera caerulea L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65623	dbgi_001158	jbuf	taxon_name_unified		Lonicera alpigena L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65624	dbgi_001174	jbuf	taxon_name_unified		Lonicera nigra L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65625	dbgi_001156	jbuf	taxon_name_unified		Clematis alpina (L.) Mill.	sample_name	resolved_from_primary_taxon_field	sample_name		
65626	dbgi_001169	jbuf	taxon_name_unified		Lonicera japonica Thunb. 'Halliana'	sample_name	resolved_from_primary_taxon_field	sample_name		
65627	dbgi_003185	jbuf	taxon_name_unified		Agrimonia eupatoria L.	taxon_name	resolved_from_primary_taxon_field	taxon_name		
65628	dbgi_003155	jbuf	taxon_name_unified		Rubus idaeus L. 'Autumn Bliss'	taxon_name	resolved_from_primary_taxon_field	taxon_name		
