project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	has_dried	has_extraction	has_aliquot	has_ms	dried_sample_container_ids	extraction_sample_container_ids	lineage_status
jbuf	65608	dbgi_001187	canonical	dbgi_001187		Lonicera xylosteum L.			7.1567926	46.79261	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001187		not_extracted
jbuf	65609	dbgi_001178	canonical	dbgi_001178		Euonymus alatus Sieb.			7.1573157	46.792202	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001178		not_extracted
jbuf	65610	dbgi_001177	canonical	dbgi_001177		Euonymus europaeus L.			7.1573076	46.792213	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001177		not_extracted
jbuf	65611	dbgi_001185	canonical	dbgi_001185		Clematis heracleifolia DC.			7.1564727	46.79239	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001185		not_extracted
jbuf	65612	dbgi_001188	canonical	dbgi_001188		Clematis recta L.			7.1564775	46.792377	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001188		not_extracted
jbuf	65613	dbgi_001186	canonical	dbgi_001186		Clematis vitalba L.			7.156504	46.792355	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001186		not_extracted
jbuf	65614	dbgi_001184	canonical	dbgi_001184		Lonicera periclymenum L.			7.156883	46.792603	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001184		not_extracted
jbuf	65615	dbgi_001139	canonical	dbgi_001139		Lonicera caprifolium L.			7.156867	46.792603	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001139		not_extracted
jbuf	65616	dbgi_001176	canonical	dbgi_001176		Lonicera tatarica L.			7.1568427	46.792606	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001176		not_extracted
jbuf	65617	dbgi_001183	canonical	dbgi_001183		Lonicera kamtschatica (Sevast.) Pojark. 'Maistar'			7.1568065	46.792614	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001183		not_extracted
jbuf	65618	dbgi_001157	canonical	dbgi_001157		Euonymus fortunei Hand.- Mazz. 'Coloratus'			7.155511	46.793415	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001157		not_extracted
jbuf	65619	dbgi_001162	canonical	dbgi_001162		Clematis recta L.			7.156672	46.792995	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001162		not_extracted
jbuf	65620	dbgi_001175	canonical	dbgi_001175		Clematis viticella L.			7.156714	46.792854	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001175		not_extracted
jbuf	65621	dbgi_001182	canonical	dbgi_001182		Clematis alpina (L.) Mill.			7.1564693	46.79277	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001182		not_extracted
jbuf	65622	dbgi_001166	canonical	dbgi_001166		Lonicera caerulea L.			7.1562123	46.79258	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001166		not_extracted
jbuf	65623	dbgi_001158	canonical	dbgi_001158		Lonicera alpigena L.			7.1563687	46.792652	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001158		not_extracted
jbuf	65624	dbgi_001174	canonical	dbgi_001174		Lonicera nigra L.			7.156427	46.792755	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001174		not_extracted
jbuf	65625	dbgi_001156	canonical	dbgi_001156		Clematis alpina (L.) Mill.			7.1561465	46.792976	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001156		not_extracted
jbuf	65626	dbgi_001169	canonical	dbgi_001169		Lonicera japonica Thunb. 'Halliana'			7.155334	46.793	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001169		not_extracted
jbuf	65627	dbgi_003185	canonical	dbgi_003185	Agrimonia eupatoria L.			20240625134458	7.157249	46.79255	looks_swapped_ch_lat_lon	true	true	true	true	dbgi_003185	dbgi_003185_01	has_ms
jbuf	65628	dbgi_003155	canonical	dbgi_003155	Rubus idaeus L. 'Autumn Bliss'			20240625135158	7.157231	46.79254	looks_swapped_ch_lat_lon	true	true	true	true	dbgi_003155	dbgi_003155_01	has_ms
jbuf	65629	dbgi_003196	canonical	dbgi_003196	Waldsteinia fragarioides Tratt.			20240625135923	7.1572285	46.792458	looks_swapped_ch_lat_lon	true	true	true	true	dbgi_003196	dbgi_003196_01	has_ms
jbuf	65630	dbgi_003223	canonical	dbgi_003223	Rosa glauca Pourr.			20240625140558	7.1572824	46.79245	looks_swapped_ch_lat_lon	true	true	true	true	dbgi_003223	dbgi_003223_01	has_ms
jbuf	65631	dbgi_003101	canonical	dbgi_003101	Stephanandra incisa (Thunb.) Zabel 'Crispa'			20240625141040	7.1573086	46.79241	looks_swapped_ch_lat_lon	true	true	true	true	dbgi_003101	dbgi_003101_01	has_ms
jbuf	65632	dbgi_003214	canonical	dbgi_003214	Hyoscyamus niger L.			20240625141853	7.15671	46.792603	looks_swapped_ch_lat_lon	true	true	true	true	dbgi_003214	dbgi_003214_01;dbgi_003214_02	has_ms
jbuf	65633	dbgi_003180	canonical	dbgi_003180	Petunia integrifolia (Hook.) Schinz et Thell.			20240625142337	7.1567	46.792587	looks_swapped_ch_lat_lon	true	true	true	true	dbgi_003180	dbgi_003180_01	has_ms
jbuf	65634	dbgi	other_noncanonical		Agrimonia eupatoria L.			20240625134458	7.157249	46.79255	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbuf	65635	dbgi_1	short_numeric_suffix	dbgi_000001	Rubus idaeus L. 'Autumn Bliss'			20240625135158	7.157231	46.79254	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
kew-botanical-gardens	65636	dbgi_2	short_numeric_suffix	dbgi_000002	Passiflora			20251001122422	-0.29062262	51.481995	out_of_ch_range	false	false	false	false			no_dried_link;not_extracted
jbuf	65637	dbgi_3	short_numeric_suffix	dbgi_000003	Rosa glauca Pourr.			20240625140558	7.1572824	46.79245	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbuf	65638	dbgi_4	short_numeric_suffix	dbgi_000004	Stephanandra incisa (Thunb.) Zabel 'Crispa'			20240625141040	7.1573086	46.79241	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbuf	65639	dbgi_5	short_numeric_suffix	dbgi_000005	Hyoscyamus niger L.			20240625141853	7.15671	46.792603	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbuf	65640	dbgi_6	short_numeric_suffix	dbgi_000006	Petunia integrifolia (Hook.) Schinz et Thell.			20240625142337	7.1567	46.792587	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbuf	65641	dbgi_003140	canonical	dbgi_003140	Papaver somniferum L.			20240625134025	7.1564956	46.792496	looks_swapped_ch_lat_lon	true	true	true	true	dbgi_003140	dbgi_003140_01	has_ms
jbuf	65642	dbgi_003198	canonical	dbgi_003198	Corydalis flexuosa Franch.			20240625135055	7.1564803	46.79245	looks_swapped_ch_lat_lon	true	true	true	true	dbgi_003198	dbgi_003198_01;dbgi_003198_02	has_ms
jbuf	65643	dbgi_003179	canonical	dbgi_003179	Lamprocapnos spectabilis (L.) Fukuhara			20240625140019	7.156495	46.792465	looks_swapped_ch_lat_lon	true	true	true	true	dbgi_003179	dbgi_003179_01	has_ms
jbuf	65644	dbgi_003187	canonical	dbgi_003187	Glaucium flavum Crantz			20240625140737	7.156496	46.792477	looks_swapped_ch_lat_lon	true	true	true	true	dbgi_003187	dbgi_003187_01	has_ms
jbuf	65645	dbgi_003164	canonical	dbgi_003164	Glaucium flavum Crantz			20240625141250	7.1564975	46.79247	looks_swapped_ch_lat_lon	true	true	true	true	dbgi_003164	dbgi_003164_01	has_ms
jbuf	65646	dbgi_003154	canonical	dbgi_003154	Datura stramonium L. var. stramonium			20240625141826	7.156672	46.792538	looks_swapped_ch_lat_lon	true	true	true	true	dbgi_003154	dbgi_003154_01	has_ms
jbuf	65647	dbgi_003151	canonical	dbgi_003151	Lycopersicon esculentum Mill.			20240625142356	7.1565866	46.79255	looks_swapped_ch_lat_lon	true	true	true	true	dbgi_003151	dbgi_003151_01	has_ms
jbuf	65648	dbgi_003118	canonical	dbgi_003118		Clematis alpina (L.) Mill.			7.1564703	46.79277	looks_swapped_ch_lat_lon	true	true	true	false	dbgi_003118	dbgi_003118_01	no_ms
jbuf	65649	dbgi_003082	canonical	dbgi_003082		Rhododendron hirsutum L.			7.1564717	46.79278	looks_swapped_ch_lat_lon	true	true	true	false	dbgi_003082	dbgi_003082_01	no_ms
jbuf	65650	dbgi_003141	canonical	dbgi_003141		Ruscus aculeatus L.			7.156466	46.792767	looks_swapped_ch_lat_lon	true	true	true	true	dbgi_003141	dbgi_003141_01	has_ms
jbuf	65651	dbgi_003137	canonical	dbgi_003137		Polygonatum multiflorum (L.) All.			7.1564655	46.792767	looks_swapped_ch_lat_lon	true	true	true	false	dbgi_003137	dbgi_003137_01	no_ms
jbuf	65652	dbgi_003182	canonical	dbgi_003182		Ranunculus lanuginosus L.			7.1564717	46.792767	looks_swapped_ch_lat_lon	true	true	true	false	dbgi_003182	dbgi_003182_01	no_ms
jbuf	65653	dbgi_003106	canonical	dbgi_003106		Orobanche hederae Duby			7.1564736	46.792767	looks_swapped_ch_lat_lon	true	true	true	true	dbgi_003106	dbgi_003106_01	has_ms
