filename	sample_id	container_id	parent_sample_container	injection_volume	injection_volume_unit	injection_method	instrument_used	status	batch	skip_reason
20261603_Mazz_Sample_drog_000469_01	drog_000469	drog_000469_01	28417	1	18	54	5	published		
20261603_Mazz_Sample_drog_000327_01	drog_000327	drog_000327_01	28369	1	18	54	5	published		
20261603_Mazz_Sample_drog_000009_01	drog_000009	drog_000009_01	28526	1	18	54	5	published		
20261603_Mazz_Sample_drog_000059_01	drog_000059	drog_000059_01	28453	1	18	54	5	published		
20261603_Mazz_Sample_drog_000215_01	drog_000215	drog_000215_01	28452	1	18	54	5	published		
20261603_Mazz_Sample_drog_000139_01	drog_000139	drog_000139_01	28343	1	18	54	5	published		
20261603_Mazz_Sample_drog_000277_01	drog_000277	drog_000277_01	28402	1	18	54	5	published		
20261603_Mazz_Sample_drog_000271_01	drog_000271	drog_000271_01	28360	1	18	54	5	published		
20261603_Mazz_Sample_drog_000444_01	drog_000444	drog_000444_01	28451	1	18	54	5	published		
20261603_Mazz_Sample_drog_000184_01	drog_000184	drog_000184_01	28390	1	18	54	5	published		
20261603_Mazz_Sample_drog_000208_01	drog_000208	drog_000208_01	28423	1	18	54	5	published		
20261603_Mazz_Sample_drog_000127_01	drog_000127	drog_000127_01	28365	1	18	54	5	published		
20261603_Mazz_Sample_drog_000454_01	drog_000454	drog_000454_01	28409	1	18	54	5	published		
20261603_Mazz_Sample_drog_000159_01	drog_000159	drog_000159_01	28337	1	18	54	5	published		
20261603_Mazz_Sample_drog_000264_01	drog_000264	drog_000264_01	28422	1	18	54	5	published		
20261603_Mazz_Sample_drog_000389_01	drog_000389	drog_000389_01	28351	1	18	54	5	published		
20261603_Mazz_Sample_drog_000261_01	drog_000261	drog_000261_01	28332	1	18	54	5	published		
20261603_Mazz_Sample_drog_000529_01	drog_000529	drog_000529_01	28454	1	18	54	5	published		
20261603_Mazz_Sample_drog_000056_01	drog_000056	drog_000056_01	28404	1	18	54	5	published		
20261603_Mazz_Sample_drog_000197_01	drog_000197	drog_000197_01	28398	1	18	54	5	published		
20261603_Mazz_Sample_drog_000297_01	drog_000297	drog_000297_01	28432	1	18	54	5	published		
20261603_Mazz_Sample_drog_000132_01	drog_000132	drog_000132_01	28434	1	18	54	5	published		
20261603_Mazz_Sample_drog_000464_01	drog_000464	drog_000464_01	28345	1	18	54	5	published		
20261603_Mazz_Sample_drog_000411_01	drog_000411	drog_000411_01	28336	1	18	54	5	published		
20261603_Mazz_Sample_drog_000503_01	drog_000503	drog_000503_01	28394	1	18	54	5	published		
20261603_Mazz_Sample_drog_000195_01	drog_000195	drog_000195_01	28490	1	18	54	5	published		
20261603_Mazz_Sample_drog_000325_01	drog_000325	drog_000325_01	28474	1	18	54	5	published		
20261603_Mazz_Sample_drog_000174_01	drog_000174	drog_000174_01	28415	1	18	54	5	published		
20261603_Mazz_Sample_drog_000353_01	drog_000353	drog_000353_01	28459	1	18	54	5	published		
20261603_Mazz_Sample_drog_000198_01	drog_000198	drog_000198_01	28473	1	18	54	5	published		
20261603_Mazz_Sample_drog_000398_01	drog_000398	drog_000398_01	28412	1	18	54	5	published		
20261603_Mazz_Sample_drog_000544_01	drog_000544	drog_000544_01	28298	1	18	54	5	published		
20261603_Mazz_Sample_drog_000423_01	drog_000423	drog_000423_01	28311	1	18	54	5	published		
20261603_Mazz_Sample_drog_000463_01	drog_000463	drog_000463_01	28477	1	18	54	5	published		
20261603_Mazz_Sample_drog_000414_01	drog_000414	drog_000414_01	28323	1	18	54	5	published		
20261603_Mazz_Sample_drog_000157_01	drog_000157	drog_000157_01	28373	1	18	54	5	published		
20261603_Mazz_Sample_drog_000569_01	drog_000569	drog_000569_01	28487	1	18	54	5	published		
20261603_Mazz_Sample_drog_000346_01	drog_000346	drog_000346_01	28363	1	18	54	5	published		
20261603_Mazz_Sample_drog_000509_01	drog_000509	drog_000509_01	28356	1	18	54	5	published		
20261603_Mazz_Sample_drog_000428_01	drog_000428	drog_000428_01	28418	1	18	54	5	published		
20261603_Mazz_Sample_drog_000436_01	drog_000436	drog_000436_01	28327	1	18	54	5	published		
20261603_Mazz_Sample_drog_000138_01	drog_000138	drog_000138_01	28427	1	18	54	5	published		
20261603_Mazz_Sample_drog_000375_01	drog_000375	drog_000375_01	28392	1	18	54	5	published		
20261603_Mazz_Sample_drog_000082_01	drog_000082	drog_000082_01	28316	1	18	54	5	published		
20261603_Mazz_Sample_drog_000562_01	drog_000562	drog_000562_01	28488	1	18	54	5	published		
20261603_Mazz_Sample_drog_000528_01	drog_000528	drog_000528_01	28377	1	18	54	5	published		
20261603_Mazz_Sample_drog_000553_01	drog_000553	drog_000553_01	28481	1	18	54	5	published		
20261603_Mazz_Sample_drog_000577_01	drog_000577	drog_000577_01	28293	1	18	54	5	published		
20261603_Mazz_Sample_drog_000395_01	drog_000395	drog_000395_01	28358	1	18	54	5	published		
20261603_Mazz_Sample_drog_000154_01	drog_000154	drog_000154_01	28380	1	18	54	5	published		
20261603_Mazz_Sample_drog_000141_01	drog_000141	drog_000141_01	28420	1	18	54	5	published		
20261603_Mazz_Sample_drog_000067_01	drog_000067	drog_000067_01	28338	1	18	54	5	published		
20261603_Mazz_Sample_drog_000421_01	drog_000421	drog_000421_01	28362	1	18	54	5	published		
20261603_Mazz_Sample_drog_000343_01	drog_000343	drog_000343_01	28436	1	18	54	5	published		
20261603_Mazz_Sample_drog_000508_01	drog_000508	drog_000508_01	28312	1	18	54	5	published		
20261603_Mazz_Sample_drog_000272_01	drog_000272	drog_000272_01	28297	1	18	54	5	published		
20261603_Mazz_Sample_drog_000158_01	drog_000158	drog_000158_01	28324	1	18	54	5	published		
20261603_Mazz_Sample_drog_000283_01	drog_000283	drog_000283_01	28429	1	18	54	5	published		
20261603_Mazz_Sample_drog_000248_01	drog_000248	drog_000248_01	28399	1	18	54	5	published		
20261603_Mazz_Sample_drog_000323_01	drog_000323	drog_000323_01	28470	1	18	54	5	published		
20261603_Mazz_Sample_drog_000088_01	drog_000088	drog_000088_01	28300	1	18	54	5	published		
20261603_Mazz_Sample_drog_000216_01	drog_000216	drog_000216_01	28426	1	18	54	5	published		
20261603_Mazz_Sample_drog_000440_01	drog_000440	drog_000440_01	28347	1	18	54	5	published		
20261603_Mazz_Sample_drog_000555_01	drog_000555	drog_000555_01	28448	1	18	54	5	published		
20261603_Mazz_Sample_drog_000404_01	drog_000404	drog_000404_01	28357	1	18	54	5	published		
20261603_Mazz_Sample_drog_000301_01	drog_000301	drog_000301_01	28475	1	18	54	5	published		
20261603_Mazz_Sample_drog_000380_01	drog_000380	drog_000380_01	28468	1	18	54	5	published		
20261603_Mazz_Sample_drog_000406_01	drog_000406	drog_000406_01	28388	1	18	54	5	published		
20261603_Mazz_Sample_drog_000388_01	drog_000388	drog_000388_01	28334	1	18	54	5	published		
20261603_Mazz_Sample_drog_000063_01	drog_000063	drog_000063_01	28344	1	18	54	5	published		
20261603_Mazz_Sample_drog_000281_01	drog_000281	drog_000281_01	28400	1	18	54	5	published		
20261603_Mazz_Sample_drog_000549_01	drog_000549	drog_000549_01	28435	1	18	54	5	published		
20261603_Mazz_Sample_drog_000002_01	drog_000002	drog_000002_01	28491	1	18	54	5	published		
20261603_Mazz_Sample_drog_000580_01	drog_000580	drog_000580_01	28361	1	18	54	5	published		
20261603_Mazz_Sample_drog_000187_01	drog_000187	drog_000187_01	28355	1	18	54	5	published		
20261603_Mazz_Sample_drog_000166_01	drog_000166	drog_000166_01	28296	1	18	54	5	published		
20261603_Mazz_Sample_drog_000397_01	drog_000397	drog_000397_01	28401	1	18	54	5	published		
20261603_Mazz_Sample_drog_000010_01	drog_000010	drog_000010_01	28516	1	18	54	5	published		
20261603_Mazz_Sample_drog_000352_01	drog_000352	drog_000352_01	28441	1	18	54	5	published		
20261603_Mazz_Sample_drog_000102_01	drog_000102	drog_000102_01	28456	1	18	54	5	published		
20261603_Mazz_Sample_drog_000027_01	drog_000027	drog_000027_01	28503	1	18	54	5	published		
20261603_Mazz_Sample_drog_000420_01	drog_000420	drog_000420_01	28483	1	18	54	5	published		
20261603_Mazz_Sample_drog_000393_01	drog_000393	drog_000393_01	28463	1	18	54	5	published		
20261603_Mazz_Sample_drog_000094_01	drog_000094	drog_000094_01	28428	1	18	54	5	published		
20261603_Mazz_Sample_drog_000331_01	drog_000331	drog_000331_01	28442	1	18	54	5	published		
20261603_Mazz_Sample_drog_000144_01	drog_000144	drog_000144_01	28464	1	18	54	5	published		
20261603_Mazz_Sample_drog_000445_01	drog_000445	drog_000445_01	28403	1	18	54	5	published		
20261703_Mazz_Sample_drog_000369_01	drog_000369	drog_000369_01	28321	1	18	54	5	published		
20261703_Mazz_Sample_drog_000001_01	drog_000001	drog_000001_01	28495	1	18	54	5	published		
20261703_Mazz_Sample_drog_000035_01	drog_000035	drog_000035_01	28504	1	18	54	5	published		
20261703_Mazz_Sample_drog_000170_01	drog_000170	drog_000170_01	28326	1	18	54	5	published		
20261703_Mazz_Sample_drog_000020_01	drog_000020	drog_000020_01	28513	1	18	54	5	published		
20261703_Mazz_Sample_drog_000450_01	drog_000450	drog_000450_01	28313	1	18	54	5	published		
20261703_Mazz_Sample_drog_000024_01	drog_000024	drog_000024_01	28527	1	18	54	5	published		
20261703_Mazz_Sample_drog_000011_01	drog_000011	drog_000011_01	28505	1	18	54	5	published		
20261703_Mazz_Sample_drog_000548_01	drog_000548	drog_000548_01	28335	1	18	54	5	published		
20261703_Mazz_Sample_drog_000107_01	drog_000107	drog_000107_01	28319	1	18	54	5	published		
20261703_Mazz_Sample_drog_000015_01	drog_000015	drog_000015_01	28530	1	18	54	5	published		
20261703_Mazz_Sample_drog_000012_01	drog_000012	drog_000012_01	28510	1	18	54	5	published		
20261703_Mazz_Sample_drog_000052_01	drog_000052	drog_000052_01	28378	1	18	54	5	published		
20261703_Mazz_Sample_drog_000578_01	drog_000578	drog_000578_01	28364	1	18	54	5	published		
20261703_Mazz_Sample_drog_000018_01	drog_000018	drog_000018_01	28524	1	18	54	5	published		
20261703_Mazz_Sample_drog_000258_01	drog_000258	drog_000258_01	28424	1	18	54	5	published		
20261703_Mazz_Sample_drog_000408_01	drog_000408	drog_000408_01	28445	1	18	54	5	published		
20261703_Mazz_Sample_drog_000014_01	drog_000014	drog_000014_01	28515	1	18	54	5	published		
20261703_Mazz_Sample_drog_000276_01	drog_000276	drog_000276_01	28291	1	18	54	5	published		
20261703_Mazz_Sample_drog_000008_01	drog_000008	drog_000008_01	28506	1	18	54	5	published		
20261703_Mazz_Sample_drog_000383_01	drog_000383	drog_000383_01	28325	1	18	54	5	published		
20261703_Mazz_Sample_drog_000342_01	drog_000342	drog_000342_01	28307	1	18	54	5	published		
20261703_Mazz_Sample_drog_000354_01	drog_000354	drog_000354_01	28440	1	18	54	5	published		
20261703_Mazz_Sample_drog_000178_01	drog_000178	drog_000178_01	28413	1	18	54	5	published		
20261703_Mazz_Sample_drog_000461_01	drog_000461	drog_000461_01	28352	1	18	54	5	published		
20261703_Mazz_Sample_drog_000335_01	drog_000335	drog_000335_01	28368	1	18	54	5	published		
20261703_Mazz_Sample_drog_000147_01	drog_000147	drog_000147_01	28455	1	18	54	5	published		
20261703_Mazz_Sample_drog_000033_01	drog_000033	drog_000033_01	28518	1	18	54	5	published		
20261703_Mazz_Sample_drog_000348_01	drog_000348	drog_000348_01	28310	1	18	54	5	published		
20261703_Mazz_Sample_drog_000314_01	drog_000314	drog_000314_01	28292	1	18	54	5	published		
20261703_Mazz_Sample_drog_000003_01	drog_000003	drog_000003_01	28500	1	18	54	5	published		
20261703_Mazz_Sample_drog_000289_01	drog_000289	drog_000289_01	28331	1	18	54	5	published		
20261703_Mazz_Sample_drog_000537_01	drog_000537	drog_000537_01	28486	1	18	54	5	published		
20261703_Mazz_Sample_drog_000026_01	drog_000026	drog_000026_01	28492	1	18	54	5	published		
20261703_Mazz_Sample_drog_000090_01	drog_000090	drog_000090_01	28317	1	18	54	5	published		
20261703_Mazz_Sample_drog_000329_01	drog_000329	drog_000329_01	28478	1	18	54	5	published		
20261703_Mazz_Sample_drog_000031_01	drog_000031	drog_000031_01	28496	1	18	54	5	published		
20261703_Mazz_Sample_drog_000317_01	drog_000317	drog_000317_01	28370	1	18	54	5	published		
20261703_Mazz_Sample_drog_000400_01	drog_000400	drog_000400_01	28480	1	18	54	5	published		
20261703_Mazz_Sample_drog_000176_01	drog_000176	drog_000176_01	28305	1	18	54	5	published		
20261703_Mazz_Sample_drog_000054_01	drog_000054	drog_000054_01	28375	1	18	54	5	published		
20261703_Mazz_Sample_drog_000007_01	drog_000007	drog_000007_01	28529	1	18	54	5	published		
20261703_Mazz_Sample_drog_000036_01	drog_000036	drog_000036_01	28522	1	18	54	5	published		
20261703_Mazz_Sample_drog_000114_01	drog_000114	drog_000114_01	28462	1	18	54	5	published		
20261703_Mazz_Sample_drog_000013_01	drog_000013	drog_000013_01	28519	1	18	54	5	published		
20261703_Mazz_Sample_drog_000029_01	drog_000029	drog_000029_01	28523	1	18	54	5	published		
20261703_Mazz_Sample_drog_000210_01	drog_000210	drog_000210_01	28425	1	18	54	5	published		
20261703_Mazz_Sample_drog_000557_01	drog_000557	drog_000557_01	28322	1	18	54	5	published		
20261703_Mazz_Sample_drog_000182_01	drog_000182	drog_000182_01	28419	1	18	54	5	published		
20261703_Mazz_Sample_drog_000168_01	drog_000168	drog_000168_01	28387	1	18	54	5	published		
20261703_Mazz_Sample_drog_000313_01	drog_000313	drog_000313_01	28447	1	18	54	5	published		
20261703_Mazz_Sample_drog_000025_01	drog_000025	drog_000025_01	28528	1	18	54	5	published		
20261703_Mazz_Sample_drog_000038_01	drog_000038	drog_000038_01	28517	1	18	54	5	published		
20261703_Mazz_Sample_drog_000039_01	drog_000039	drog_000039_01	28508	1	18	54	5	published		
20261703_Mazz_Sample_drog_000539_01	drog_000539	drog_000539_01	28342	1	18	54	5	published		
20261703_Mazz_Sample_drog_000284_01	drog_000284	drog_000284_01	28397	1	18	54	5	published		
20261703_Mazz_Sample_drog_000222_01	drog_000222	drog_000222_01	28421	1	18	54	5	published		
20261703_Mazz_Sample_drog_000310_01	drog_000310	drog_000310_01	28295	1	18	54	5	published		
20261703_Mazz_Sample_drog_000547_01	drog_000547	drog_000547_01	28379	1	18	54	5	published		
20261703_Mazz_Sample_drog_000037_01	drog_000037	drog_000037_01	28514	1	18	54	5	published		
20261703_Mazz_Sample_drog_000358_01	drog_000358	drog_000358_01	28489	1	18	54	5	published		
20261703_Mazz_Sample_drog_000023_01	drog_000023	drog_000023_01	28509	1	18	54	5	published		
20261703_Mazz_Sample_drog_000030_01	drog_000030	drog_000030_01	28520	1	18	54	5	published		
20261703_Mazz_Sample_drog_000040_01	drog_000040	drog_000040_01	28501	1	18	54	5	published		
20261703_Mazz_Sample_drog_000206_01	drog_000206	drog_000206_01	28605	1	18	54	5	published		
20261703_Mazz_Sample_drog_000097_01	drog_000097	drog_000097_01	28536	1	18	54	5	published		
20261703_Mazz_Sample_drog_000410_01	drog_000410	drog_000410_01	28600	1	18	54	5	published		
