filename,injection,file_type,sample_id,container_id,Ionization.mode
20261603_Mazz_Sample_drog_000469_01,1,sample,drog_000469,drog_000469_01,positive
20261603_Mazz_Sample_drog_000327_01,1,sample,drog_000327,drog_000327_01,positive
20261603_Mazz_Sample_drog_000009_01,1,sample,drog_000009,drog_000009_01,positive
20261603_Mazz_Sample_drog_000059_01,1,sample,drog_000059,drog_000059_01,positive
20261603_Mazz_Sample_drog_000215_01,1,sample,drog_000215,drog_000215_01,positive
20261603_Mazz_Sample_drog_000139_01,1,sample,drog_000139,drog_000139_01,positive
20261603_Mazz_Sample_drog_000277_01,1,sample,drog_000277,drog_000277_01,positive
20261603_Mazz_Sample_drog_000271_01,1,sample,drog_000271,drog_000271_01,positive
20261603_Mazz_Sample_drog_000444_01,1,sample,drog_000444,drog_000444_01,positive
20261603_Mazz_Sample_drog_000184_01,1,sample,drog_000184,drog_000184_01,positive
20261603_Mazz_Sample_drog_000208_01,1,sample,drog_000208,drog_000208_01,positive
20261603_Mazz_Sample_drog_000127_01,1,sample,drog_000127,drog_000127_01,positive
20261603_Mazz_Sample_drog_000454_01,1,sample,drog_000454,drog_000454_01,positive
20261603_Mazz_Sample_drog_000159_01,1,sample,drog_000159,drog_000159_01,positive
20261603_Mazz_Sample_drog_000264_01,1,sample,drog_000264,drog_000264_01,positive
20261603_Mazz_Sample_drog_000389_01,1,sample,drog_000389,drog_000389_01,positive
20261603_Mazz_Sample_drog_000261_01,1,sample,drog_000261,drog_000261_01,positive
20261603_Mazz_Sample_drog_000529_01,1,sample,drog_000529,drog_000529_01,positive
20261603_Mazz_Sample_drog_000056_01,1,sample,drog_000056,drog_000056_01,positive
20261603_Mazz_Sample_drog_000197_01,1,sample,drog_000197,drog_000197_01,positive
20261603_Mazz_Sample_drog_000297_01,1,sample,drog_000297,drog_000297_01,positive
20261603_Mazz_Sample_drog_000132_01,1,sample,drog_000132,drog_000132_01,positive
20261603_Mazz_Sample_drog_000464_01,1,sample,drog_000464,drog_000464_01,positive
20261603_Mazz_Sample_drog_000411_01,1,sample,drog_000411,drog_000411_01,positive
20261603_Mazz_Sample_drog_000503_01,1,sample,drog_000503,drog_000503_01,positive
20261603_Mazz_Sample_drog_000195_01,1,sample,drog_000195,drog_000195_01,positive
20261603_Mazz_Sample_drog_000325_01,1,sample,drog_000325,drog_000325_01,positive
20261603_Mazz_Sample_drog_000174_01,1,sample,drog_000174,drog_000174_01,positive
20261603_Mazz_Sample_drog_000353_01,1,sample,drog_000353,drog_000353_01,positive
20261603_Mazz_Sample_drog_000198_01,1,sample,drog_000198,drog_000198_01,positive
20261603_Mazz_Sample_drog_000398_01,1,sample,drog_000398,drog_000398_01,positive
20261603_Mazz_Sample_drog_000544_01,1,sample,drog_000544,drog_000544_01,positive
20261603_Mazz_Sample_drog_000423_01,1,sample,drog_000423,drog_000423_01,positive
20261603_Mazz_Sample_drog_000463_01,1,sample,drog_000463,drog_000463_01,positive
20261603_Mazz_Sample_drog_000414_01,1,sample,drog_000414,drog_000414_01,positive
20261603_Mazz_Sample_drog_000157_01,1,sample,drog_000157,drog_000157_01,positive
20261603_Mazz_Sample_drog_000569_01,1,sample,drog_000569,drog_000569_01,positive
20261603_Mazz_Sample_drog_000346_01,1,sample,drog_000346,drog_000346_01,positive
20261603_Mazz_Sample_drog_000509_01,1,sample,drog_000509,drog_000509_01,positive
20261603_Mazz_Sample_drog_000428_01,1,sample,drog_000428,drog_000428_01,positive
20261603_Mazz_Sample_drog_000436_01,1,sample,drog_000436,drog_000436_01,positive
20261603_Mazz_Sample_drog_000138_01,1,sample,drog_000138,drog_000138_01,positive
20261603_Mazz_Sample_drog_000375_01,1,sample,drog_000375,drog_000375_01,positive
20261603_Mazz_Sample_drog_000082_01,1,sample,drog_000082,drog_000082_01,positive
20261603_Mazz_Sample_drog_000562_01,1,sample,drog_000562,drog_000562_01,positive
20261603_Mazz_Sample_drog_000528_01,1,sample,drog_000528,drog_000528_01,positive
20261603_Mazz_Sample_drog_000553_01,1,sample,drog_000553,drog_000553_01,positive
20261603_Mazz_Sample_drog_000577_01,1,sample,drog_000577,drog_000577_01,positive
20261603_Mazz_Sample_drog_000395_01,1,sample,drog_000395,drog_000395_01,positive
20261603_Mazz_Sample_drog_000154_01,1,sample,drog_000154,drog_000154_01,positive
20261603_Mazz_Sample_drog_000141_01,1,sample,drog_000141,drog_000141_01,positive
20261603_Mazz_Sample_drog_000067_01,1,sample,drog_000067,drog_000067_01,positive
20261603_Mazz_Sample_drog_000421_01,1,sample,drog_000421,drog_000421_01,positive
20261603_Mazz_Sample_drog_000343_01,1,sample,drog_000343,drog_000343_01,positive
20261603_Mazz_Sample_drog_000508_01,1,sample,drog_000508,drog_000508_01,positive
20261603_Mazz_Sample_drog_000272_01,1,sample,drog_000272,drog_000272_01,positive
20261603_Mazz_Sample_drog_000158_01,1,sample,drog_000158,drog_000158_01,positive
20261603_Mazz_Sample_drog_000283_01,1,sample,drog_000283,drog_000283_01,positive
20261603_Mazz_Sample_drog_000248_01,1,sample,drog_000248,drog_000248_01,positive
20261603_Mazz_Sample_drog_000323_01,1,sample,drog_000323,drog_000323_01,positive
20261603_Mazz_Sample_drog_000088_01,1,sample,drog_000088,drog_000088_01,positive
20261603_Mazz_Sample_drog_000216_01,1,sample,drog_000216,drog_000216_01,positive
20261603_Mazz_Sample_drog_000440_01,1,sample,drog_000440,drog_000440_01,positive
20261603_Mazz_Sample_drog_000555_01,1,sample,drog_000555,drog_000555_01,positive
20261603_Mazz_Sample_drog_000404_01,1,sample,drog_000404,drog_000404_01,positive
20261603_Mazz_Sample_drog_000301_01,1,sample,drog_000301,drog_000301_01,positive
20261603_Mazz_Sample_drog_000380_01,1,sample,drog_000380,drog_000380_01,positive
20261603_Mazz_Sample_drog_000406_01,1,sample,drog_000406,drog_000406_01,positive
20261603_Mazz_Sample_drog_000388_01,1,sample,drog_000388,drog_000388_01,positive
20261603_Mazz_Sample_drog_000063_01,1,sample,drog_000063,drog_000063_01,positive
20261603_Mazz_Sample_drog_000281_01,1,sample,drog_000281,drog_000281_01,positive
20261603_Mazz_Sample_drog_000549_01,1,sample,drog_000549,drog_000549_01,positive
20261603_Mazz_Sample_drog_000002_01,1,sample,drog_000002,drog_000002_01,positive
20261603_Mazz_Sample_drog_000580_01,1,sample,drog_000580,drog_000580_01,positive
20261603_Mazz_Sample_drog_000187_01,1,sample,drog_000187,drog_000187_01,positive
20261603_Mazz_Sample_drog_000166_01,1,sample,drog_000166,drog_000166_01,positive
20261603_Mazz_Sample_drog_000397_01,1,sample,drog_000397,drog_000397_01,positive
20261603_Mazz_Sample_drog_000010_01,1,sample,drog_000010,drog_000010_01,positive
20261603_Mazz_Sample_drog_000352_01,1,sample,drog_000352,drog_000352_01,positive
20261603_Mazz_Sample_drog_000102_01,1,sample,drog_000102,drog_000102_01,positive
20261603_Mazz_Sample_drog_000027_01,1,sample,drog_000027,drog_000027_01,positive
20261603_Mazz_Sample_drog_000420_01,1,sample,drog_000420,drog_000420_01,positive
20261603_Mazz_Sample_drog_000393_01,1,sample,drog_000393,drog_000393_01,positive
20261603_Mazz_Sample_drog_000094_01,1,sample,drog_000094,drog_000094_01,positive
20261603_Mazz_Sample_drog_000331_01,1,sample,drog_000331,drog_000331_01,positive
20261603_Mazz_Sample_drog_000144_01,1,sample,drog_000144,drog_000144_01,positive
20261603_Mazz_Sample_drog_000445_01,1,sample,drog_000445,drog_000445_01,positive
20261703_Mazz_Sample_drog_000369_01,1,sample,drog_000369,drog_000369_01,positive
20261703_Mazz_Sample_drog_000001_01,1,sample,drog_000001,drog_000001_01,positive
20261703_Mazz_Sample_drog_000035_01,1,sample,drog_000035,drog_000035_01,positive
20261703_Mazz_Sample_drog_000170_01,1,sample,drog_000170,drog_000170_01,positive
20261703_Mazz_Sample_drog_000020_01,1,sample,drog_000020,drog_000020_01,positive
20261703_Mazz_Sample_drog_000450_01,1,sample,drog_000450,drog_000450_01,positive
20261703_Mazz_Sample_drog_000024_01,1,sample,drog_000024,drog_000024_01,positive
20261703_Mazz_Sample_drog_000011_01,1,sample,drog_000011,drog_000011_01,positive
20261703_Mazz_Sample_drog_000548_01,1,sample,drog_000548,drog_000548_01,positive
20261703_Mazz_Sample_drog_000107_01,1,sample,drog_000107,drog_000107_01,positive
20261703_Mazz_Sample_drog_000015_01,1,sample,drog_000015,drog_000015_01,positive
20261703_Mazz_Sample_drog_000012_01,1,sample,drog_000012,drog_000012_01,positive
20261703_Mazz_Sample_drog_000052_01,1,sample,drog_000052,drog_000052_01,positive
20261703_Mazz_Sample_drog_000578_01,1,sample,drog_000578,drog_000578_01,positive
20261703_Mazz_Sample_drog_000018_01,1,sample,drog_000018,drog_000018_01,positive
20261703_Mazz_Sample_drog_000258_01,1,sample,drog_000258,drog_000258_01,positive
20261703_Mazz_Sample_drog_000408_01,1,sample,drog_000408,drog_000408_01,positive
20261703_Mazz_Sample_drog_000014_01,1,sample,drog_000014,drog_000014_01,positive
20261703_Mazz_Sample_drog_000276_01,1,sample,drog_000276,drog_000276_01,positive
20261703_Mazz_Sample_drog_000008_01,1,sample,drog_000008,drog_000008_01,positive
20261703_Mazz_Sample_drog_000383_01,1,sample,drog_000383,drog_000383_01,positive
20261703_Mazz_Sample_drog_000342_01,1,sample,drog_000342,drog_000342_01,positive
20261703_Mazz_Sample_drog_000354_01,1,sample,drog_000354,drog_000354_01,positive
20261703_Mazz_Sample_drog_000178_01,1,sample,drog_000178,drog_000178_01,positive
20261703_Mazz_Sample_drog_000461_01,1,sample,drog_000461,drog_000461_01,positive
20261703_Mazz_Sample_drog_000335_01,1,sample,drog_000335,drog_000335_01,positive
20261703_Mazz_Sample_drog_000147_01,1,sample,drog_000147,drog_000147_01,positive
20261703_Mazz_Sample_drog_000033_01,1,sample,drog_000033,drog_000033_01,positive
20261703_Mazz_Sample_drog_000348_01,1,sample,drog_000348,drog_000348_01,positive
20261703_Mazz_Sample_drog_000314_01,1,sample,drog_000314,drog_000314_01,positive
20261703_Mazz_Sample_drog_000003_01,1,sample,drog_000003,drog_000003_01,positive
20261703_Mazz_Sample_drog_000289_01,1,sample,drog_000289,drog_000289_01,positive
20261703_Mazz_Sample_drog_000537_01,1,sample,drog_000537,drog_000537_01,positive
20261703_Mazz_Sample_drog_000026_01,1,sample,drog_000026,drog_000026_01,positive
20261703_Mazz_Sample_drog_000090_01,1,sample,drog_000090,drog_000090_01,positive
20261703_Mazz_Sample_drog_000329_01,1,sample,drog_000329,drog_000329_01,positive
20261703_Mazz_Sample_drog_000031_01,1,sample,drog_000031,drog_000031_01,positive
20261703_Mazz_Sample_drog_000317_01,1,sample,drog_000317,drog_000317_01,positive
20261703_Mazz_Sample_drog_000400_01,1,sample,drog_000400,drog_000400_01,positive
20261703_Mazz_Sample_drog_000176_01,1,sample,drog_000176,drog_000176_01,positive
20261703_Mazz_Sample_drog_000054_01,1,sample,drog_000054,drog_000054_01,positive
20261703_Mazz_Sample_drog_000007_01,1,sample,drog_000007,drog_000007_01,positive
20261703_Mazz_Sample_drog_000036_01,1,sample,drog_000036,drog_000036_01,positive
20261703_Mazz_Sample_drog_000114_01,1,sample,drog_000114,drog_000114_01,positive
20261703_Mazz_Sample_drog_000013_01,1,sample,drog_000013,drog_000013_01,positive
20261703_Mazz_Sample_drog_000029_01,1,sample,drog_000029,drog_000029_01,positive
20261703_Mazz_Sample_drog_000210_01,1,sample,drog_000210,drog_000210_01,positive
20261703_Mazz_Sample_drog_000557_01,1,sample,drog_000557,drog_000557_01,positive
20261703_Mazz_Sample_drog_000182_01,1,sample,drog_000182,drog_000182_01,positive
20261703_Mazz_Sample_drog_000168_01,1,sample,drog_000168,drog_000168_01,positive
20261703_Mazz_Sample_drog_000313_01,1,sample,drog_000313,drog_000313_01,positive
20261703_Mazz_Sample_drog_000025_01,1,sample,drog_000025,drog_000025_01,positive
20261703_Mazz_Sample_drog_000038_01,1,sample,drog_000038,drog_000038_01,positive
20261703_Mazz_Sample_drog_000039_01,1,sample,drog_000039,drog_000039_01,positive
20261703_Mazz_Sample_drog_000539_01,1,sample,drog_000539,drog_000539_01,positive
20261703_Mazz_Sample_drog_000284_01,1,sample,drog_000284,drog_000284_01,positive
20261703_Mazz_Sample_drog_000222_01,1,sample,drog_000222,drog_000222_01,positive
20261703_Mazz_Sample_drog_000310_01,1,sample,drog_000310,drog_000310_01,positive
20261703_Mazz_Sample_drog_000547_01,1,sample,drog_000547,drog_000547_01,positive
20261703_Mazz_Sample_drog_000037_01,1,sample,drog_000037,drog_000037_01,positive
20261703_Mazz_Sample_drog_000358_01,1,sample,drog_000358,drog_000358_01,positive
20261703_Mazz_Sample_drog_000023_01,1,sample,drog_000023,drog_000023_01,positive
20261703_Mazz_Sample_drog_000030_01,1,sample,drog_000030,drog_000030_01,positive
20261703_Mazz_Sample_drog_000040_01,1,sample,drog_000040,drog_000040_01,positive
20261703_Mazz_Sample_drog_000206_01,1,sample,drog_000206,drog_000206_01,positive
20261703_Mazz_Sample_drog_000097_01,1,sample,drog_000097,drog_000097_01,positive
20261703_Mazz_Sample_drog_000410_01,1,sample,drog_000410,drog_000410_01,positive
20261703_Mazz_Sample_drog_000575_02,2,sample,drog_000575,drog_000575_01,positive
20261703_Mazz_Sample_drog_000384_01,1,sample,drog_000384,drog_000384_01,positive
