csv_row_number	filename	normalized_filename	file_type	injection	sample_id	container_id	csv_ionization_mode	ms_parent_level	is_sample_file	has_required_csv_identifiers	dried_material_present	dried_samples_data_id	original_sample_container_id	extraction_sample_container_present	extraction_data_id	extraction_sample_container_id	expected_extraction_container_id	aliquot_sample_container_present	aliquoting_data_id	aliquot_sample_container_id	target_ms_parent_container_id	existing_ms_data_id	ready_for_ms_data_import	status	reason
2	20261603_Mazz_Sample_drog_000469_01	20261603_Mazz_Sample_drog_000469_01	sample	1	drog_000469	drog_000469_01	positive	extraction	true	true	false			false				false				4480	false	already_imported	missing_dried_material;missing_extraction_sample_container;ms_data_already_exists
3	20261603_Mazz_Sample_drog_000327_01	20261603_Mazz_Sample_drog_000327_01	sample	1	drog_000327	drog_000327_01	positive	extraction	true	true	false			false				false				4481	false	already_imported	missing_dried_material;missing_extraction_sample_container;ms_data_already_exists
4	20261603_Mazz_Sample_drog_000009_01	20261603_Mazz_Sample_drog_000009_01	sample	1	drog_000009	drog_000009_01	positive	extraction	true	true	false			false				false				4482	false	already_imported	missing_dried_material;missing_extraction_sample_container;ms_data_already_exists
5	20261603_Mazz_Sample_drog_000059_01	20261603_Mazz_Sample_drog_000059_01	sample	1	drog_000059	drog_000059_01	positive	extraction	true	true	false			false				false				4483	false	already_imported	missing_dried_material;missing_extraction_sample_container;ms_data_already_exists
6	20261603_Mazz_Sample_drog_000215_01	20261603_Mazz_Sample_drog_000215_01	sample	1	drog_000215	drog_000215_01	positive	extraction	true	true	false			false				false				4484	false	already_imported	missing_dried_material;missing_extraction_sample_container;ms_data_already_exists
7	20261603_Mazz_Sample_drog_000139_01	20261603_Mazz_Sample_drog_000139_01	sample	1	drog_000139	drog_000139_01	positive	extraction	true	true	false			false				false				4485	false	already_imported	missing_dried_material;missing_extraction_sample_container;ms_data_already_exists
8	20261603_Mazz_Sample_drog_000277_01	20261603_Mazz_Sample_drog_000277_01	sample	1	drog_000277	drog_000277_01	positive	extraction	true	true	false			false				false				4486	false	already_imported	missing_dried_material;missing_extraction_sample_container;ms_data_already_exists
9	20261603_Mazz_Sample_drog_000271_01	20261603_Mazz_Sample_drog_000271_01	sample	1	drog_000271	drog_000271_01	positive	extraction	true	true	false			false				false				4487	false	already_imported	missing_dried_material;missing_extraction_sample_container;ms_data_already_exists
10	20261603_Mazz_Sample_drog_000444_01	20261603_Mazz_Sample_drog_000444_01	sample	1	drog_000444	drog_000444_01	positive	extraction	true	true	false			false				false				4488	false	already_imported	missing_dried_material;missing_extraction_sample_container;ms_data_already_exists
11	20261603_Mazz_Sample_drog_000184_01	20261603_Mazz_Sample_drog_000184_01	sample	1	drog_000184	drog_000184_01	positive	extraction	true	true	false			false				false				4489	false	already_imported	missing_dried_material;missing_extraction_sample_container;ms_data_already_exists
