filename,extension,localisation_in_sciex_os_project,rack,plate_position,comment,sample_id,latitude,x_coord,y_coord,date_updated,user_created,id,date_created,longitude,collector_fullname,observation_subject,inat_upload,is_wild,taxon_name,no_name_on_list,picture_panel,picture_general,picture_detail,picture_cut,picture_panel_label,collector_orcid,collector_inat,qfield_project,name_proposition,ipen,raw_date,geometry_type,geometry_coordinates,file_type,injection,container_id,ionization_mode,normalized_date,date_parse_status,filename_date_token
20261603_Mazz_Sample_drog_000469_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000469_01,1,A6,plate 1,drog_000469,,,,2026-07-21T12:11:45.737Z,053e0368-4ed8-4569-a070-81a22ad13957,74784,2026-01-29T15:12:56.827Z,,Emmanuel Defossez,Fruit,true,true,,true,DCIM/droguier_jbn/Vaccinium myrtillus_drog_000469_01.jpg,DCIM/droguier_jbn/Vaccinium myrtillus_drog_000485_02.jpg,DCIM/droguier_jbn/Vaccinium myrtillus_drog_000469_03.jpg,DCIM/droguier_jbn/Vaccinium myrtillus_drog_000469_04.jpg,DCIM/droguier_jbn/Vaccinium myrtillus_drog_000469_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,Vaccinium myrtillus,,20260126151855,,,sample,1,drog_000469_01,positive,2026-01-26T15:18:55+00:00,valid,20261603
20261603_Mazz_Sample_drog_000327_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000327_01,1,A7,plate 1,drog_000327,,,,2026-07-21T12:50:38.045Z,053e0368-4ed8-4569-a070-81a22ad13957,74413,2026-01-29T15:12:42.044Z,,Emmanuel Defossez,Fruit,true,false,Thymus_vulgaris_L,false,DCIM/droguier_jbn/Thymus_vulgaris_L_drog_000327_01.jpg,DCIM/droguier_jbn/Thymus_vulgaris_L_drog_000327_02.jpg,DCIM/droguier_jbn/Thymus_vulgaris_L_drog_000327_03.jpg,DCIM/droguier_jbn/Thymus_vulgaris_L_drog_000327_04.jpg,DCIM/droguier_jbn/Thymus_vulgaris_L_drog_000327_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,,,20260126110652,,,sample,1,drog_000327_01,positive,2026-01-26T11:06:52+00:00,valid,20261603
20261603_Mazz_Sample_drog_000009_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000009_01,1,A8,plate 1,drog_000009,6.934502,6.934502,47.000103,2026-07-21T12:11:40.667Z,053e0368-4ed8-4569-a070-81a22ad13957,74485,2026-01-29T15:12:44.586Z,47.000103,Emmanuel Defossez,Leaf,true,false,Melissa_officinalis_L,false,DCIM/droguier_jbn/Melissa_officinalis_L_drog_000009_01.jpg,DCIM/droguier_jbn/Melissa_officinalis_L_drog_000009_02.jpg,DCIM/droguier_jbn/Melissa_officinalis_L_drog_000009_03.jpg,DCIM/droguier_jbn/Melissa_officinalis_L_drog_000009_04.jpg,DCIM/droguier_jbn/Melissa_officinalis_L_drog_000009_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,,,20260112161133,Point,"[6.934502281928009,47.00010408041301]",sample,1,drog_000009_01,positive,2026-01-12T16:11:33+00:00,valid,20261603
20261603_Mazz_Sample_drog_000059_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000059_01,1,A9,plate 1,drog_000059,,,,2026-07-21T12:11:38.441Z,053e0368-4ed8-4569-a070-81a22ad13957,74340,2026-01-29T15:12:38.381Z,,Emmanuel Defossez,Leaf,false,true,,true,DCIM/droguier_jbn/Equisetum arvense_drog_000059_01.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000059_02.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000059_03.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000059_04.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000059_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,Equisetum arvense,,20260123093910,,,sample,1,drog_000059_01,positive,2026-01-23T09:39:10+00:00,valid,20261603
20261603_Mazz_Sample_drog_000215_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000215_01,1,A10,plate 1,drog_000215,,,,2026-07-21T12:11:38.469Z,053e0368-4ed8-4569-a070-81a22ad13957,74341,2026-01-29T15:12:38.453Z,,Emmanuel Defossez,Leaf,false,true,,true,DCIM/droguier_jbn/Equisetum arvense_drog_000215_01.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000215_02.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000215_03.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000215_04.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000215_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,Equisetum arvense,,20260123094336,,,sample,1,drog_000215_01,positive,2026-01-23T09:43:36+00:00,valid,20261603
20261603_Mazz_Sample_drog_000139_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000139_01,1,A11,plate 1,drog_000139,,,,2026-07-21T12:50:39.949Z,053e0368-4ed8-4569-a070-81a22ad13957,74720,2026-01-29T15:12:54.414Z,,Emmanuel Defossez,Flower,false,true,Achillea_millefolium_L,false,DCIM/droguier_jbn/Achillea_millefolium_L_drog_000139_01.jpg,DCIM/droguier_jbn/Achillea_millefolium_L_drog_000139_02.jpg,DCIM/droguier_jbn/Achillea_millefolium_L_drog_000139_03.jpg,DCIM/droguier_jbn/Achillea_millefolium_L_drog_000139_04.jpg,DCIM/droguier_jbn/Achillea_millefolium_L_drog_000139_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,,,20260121144736,,,sample,1,drog_000139_01,positive,2026-01-21T14:47:36+00:00,valid,20261603
20261603_Mazz_Sample_drog_000277_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000277_01,1,A12,plate 1,drog_000277,,,,2026-07-21T12:50:37.781Z,053e0368-4ed8-4569-a070-81a22ad13957,74356,2026-01-29T15:12:39.124Z,,Emmanuel Defossez,Root,false,true,Valeriana_officinalis_L,false,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000277_01.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000277_02.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000277_03.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000277_04.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000277_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,,,20260123110856,,,sample,1,drog_000277_01,positive,2026-01-23T11:08:56+00:00,valid,20261603
20261603_Mazz_Sample_drog_000271_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000271_01,1,B1,plate 1,drog_000271,,,,2026-07-21T12:50:40.133Z,053e0368-4ed8-4569-a070-81a22ad13957,74727,2026-01-29T15:12:54.681Z,,Emmanuel Defossez,Leaf,false,true,Achillea_millefolium_L,false,DCIM/droguier_jbn/Achillea_millefolium_L_drog_000271_01.jpg,DCIM/droguier_jbn/Achillea_millefolium_L_drog_000271_02.jpg,DCIM/droguier_jbn/Achillea_millefolium_L_drog_000271_03.jpg,DCIM/droguier_jbn/Achillea_millefolium_L_drog_000271_04.jpg,DCIM/droguier_jbn/Achillea_millefolium_L_drog_000271_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,,,20260121145841,,,sample,1,drog_000271_01,positive,2026-01-21T14:58:41+00:00,valid,20261603
20261603_Mazz_Sample_drog_000444_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000444_01,1,B2,plate 1,drog_000444,,,,2026-07-21T12:11:39.209Z,053e0368-4ed8-4569-a070-81a22ad13957,74389,2026-01-29T15:12:40.921Z,,Emmanuel Defossez,Leaf,true,false,,true,DCIM/droguier_jbn/Senna alexandrina_drog_000444_01.jpg,DCIM/droguier_jbn/Senna alexandrina_drog_000544_02.jpg,DCIM/droguier_jbn/Senna alexandrina_drog_000444_03.jpg,DCIM/droguier_jbn/Senna alexandrina_drog_000444_04.jpg,DCIM/droguier_jbn/Senna alexandrina_drog_000444_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,Senna alexandrina,,20260126094828,,,sample,1,drog_000444_01,positive,2026-01-26T09:48:28+00:00,valid,20261603
20261603_Mazz_Sample_drog_000184_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000184_01,1,B3,plate 1,drog_000184,,,,2026-07-21T12:11:38.210Z,053e0368-4ed8-4569-a070-81a22ad13957,74332,2026-01-29T15:12:37.938Z,,Emmanuel Defossez,Leaf,false,true,,true,DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000184_01.jpg,DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000184_02.jpg,DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000184_03.jpg,DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000184_04.jpg,DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000184_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,Arctostaphylos uva-ursi,,20260123091455,,,sample,1,drog_000184_01,positive,2026-01-23T09:14:55+00:00,valid,20261603
20261603_Mazz_Sample_drog_000208_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000208_01,1,B4,plate 1,drog_000208,,,,2026-07-21T12:11:45.099Z,053e0368-4ed8-4569-a070-81a22ad13957,74703,2026-01-29T15:12:52.997Z,,Emmanuel Defossez,Flower,false,true,,true,DCIM/droguier_jbn/Arnica montana_drog_000208_01.jpg,DCIM/droguier_jbn/Arnica montana_drog_000208_02.jpg,DCIM/droguier_jbn/Arnica montana_drog_000208_03.jpg,DCIM/droguier_jbn/Arnica montana_drog_000208_04.jpg,DCIM/droguier_jbn/Arnica montana_drog_000208_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,Arnica montana,,20260121140520,,,sample,1,drog_000208_01,positive,2026-01-21T14:05:20+00:00,valid,20261603
20261603_Mazz_Sample_drog_000127_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000127_01,1,B5,plate 1,drog_000127,,,,2026-07-21T12:50:39.563Z,053e0368-4ed8-4569-a070-81a22ad13957,74685,2026-01-29T15:12:51.540Z,,Emmanuel Defossez,Leaf,false,true,Plantago_lanceolata_L,false,DCIM/droguier_jbn/Plantago_lanceolata_L_drog_000127_01.jpg,DCIM/droguier_jbn/Plantago_lanceolata_L_drog_000127_02.jpg,DCIM/droguier_jbn/Plantago_lanceolata_L_drog_000127_03.jpg,DCIM/droguier_jbn/Plantago_lanceolata_L_drog_000127_04.jpg,DCIM/droguier_jbn/Plantago_lanceolata_L_drog_000127_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,,,20260121132544,,,sample,1,drog_000127_01,positive,2026-01-21T13:25:44+00:00,valid,20261603
20261603_Mazz_Sample_drog_000454_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000454_01,1,B6,plate 1,drog_000454,,,,2026-07-21T12:11:39.579Z,053e0368-4ed8-4569-a070-81a22ad13957,74404,2026-01-29T15:12:41.730Z,,Emmanuel Defossez,Fruit,true,false,,true,DCIM/droguier_jbn/Senna alexandrina_drog_000454_01.jpg,DCIM/droguier_jbn/Senna alexandrina_drog_000544_02.jpg,DCIM/droguier_jbn/Senna alexandrina_drog_000454_03.jpg,DCIM/droguier_jbn/Senna alexandrina_drog_000454_04.jpg,DCIM/droguier_jbn/Senna alexandrina_drog_000454_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,Senna alexandrina,,20260126105257,,,sample,1,drog_000454_01,positive,2026-01-26T10:52:57+00:00,valid,20261603
