filename,extension,localisation_in_sciex_os_project,sample_id,attribute_species,sample_type,user_created,id,date_created,collector_fullname,observation_subject,inat_upload,is_wild,species_name,no_name_on_list,picture_panel,picture_general,picture_detail,picture_cut,picture_panel_label,collector_orcid,collector_inat,qfield_project,raw_date,rack,plate_position,comment,genus,family,ncbi_taxonomy_id,ionization_mode,file_type,injection,container_id,normalized_date,date_parse_status,filename_date_token
20261803_Mazz_Sample_drog_000563_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261803_Mazz_Sample_drog_000563_01,drog_000563,Chondrus crispus,sample,053e0368-4ed8-4569-a070-81a22ad13957,74459,2026-01-29T15:12:43.561Z,Emmanuel Defossez,Leaf,true,false,Chondrus crispus stackhouse,true,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000563_01.jpg,DCIM/droguier_jbn/Gentiana_lutea_L_drog_000333_02.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000563_03.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000563_04.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000563_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:43.561Z,1,A3,plate 3,Chondrus,Gigartinaceae,2769,positive,sample,1,drog_000563_01,2026-01-29T15:12:43.561000+00:00,valid,20261803
20262023_Mazz_Sample_drog_000560_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20262023_Mazz_Sample_drog_000560_01,drog_000560,Chondrus crispus,sample,053e0368-4ed8-4569-a070-81a22ad13957,74460,2026-01-29T15:12:43.609Z,Emmanuel Defossez,Leaf,true,false,Chondrus crispus stackhouse,true,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000560_01.jpg,DCIM/droguier_jbn/Gentiana_lutea_L_drog_000333_02.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000560_03.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000560_04.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000560_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:43.609Z,,,,Chondrus,Gigartinaceae,2769,positive,sample,1,drog_000560_01,2026-01-29T15:12:43.609000+00:00,valid,20262023
20261803_Mazz_Sample_drog_000554_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261803_Mazz_Sample_drog_000554_01,drog_000554,Chondrus crispus,sample,053e0368-4ed8-4569-a070-81a22ad13957,74457,2026-01-29T15:12:43.481Z,Emmanuel Defossez,Leaf,true,false,Chondrus crispus stackhouse,true,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000554_01.jpg,DCIM/droguier_jbn/Gentiana_lutea_L_drog_000333_02.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000554_03.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000554_04.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000554_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:43.481Z,1,D7,plate 3,Chondrus,Gigartinaceae,2769,positive,sample,1,drog_000554_01,2026-01-29T15:12:43.481000+00:00,valid,20261803
20261603_Mazz_Sample_drog_000549_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000549_01,drog_000549,Chondrus crispus,sample,053e0368-4ed8-4569-a070-81a22ad13957,74458,2026-01-29T15:12:43.520Z,Emmanuel Defossez,Leaf,true,false,Chondrus crispus stackhouse,true,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000549_01.jpg,DCIM/droguier_jbn/Gentiana_lutea_L_drog_000333_02.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000549_03.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000549_04.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000549_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:43.520Z,1,G7,plate 1,Chondrus,Gigartinaceae,2769,positive,sample,1,drog_000549_01,2026-01-29T15:12:43.520000+00:00,valid,20261603
20261703_Mazz_Sample_drog_000533_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261703_Mazz_Sample_drog_000533_01,drog_000533,Chondrus crispus,sample,053e0368-4ed8-4569-a070-81a22ad13957,74456,2026-01-29T15:12:43.436Z,Emmanuel Defossez,Leaf,true,false,Chondrus crispus stackhouse,true,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000533_01.jpg,DCIM/droguier_jbn/Gentiana_lutea_L_drog_000333_02.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000533_03.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000533_04.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000533_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:43.436Z,2,H1,plate 2,Chondrus,Gigartinaceae,2769,positive,sample,1,drog_000533_01,2026-01-29T15:12:43.436000+00:00,valid,20261703
20262023_Mazz_Sample_drog_000483_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20262023_Mazz_Sample_drog_000483_01,drog_000483,Chondrus crispus,sample,053e0368-4ed8-4569-a070-81a22ad13957,74462,2026-01-29T15:12:43.694Z,Emmanuel Defossez,Leaf,true,false,Chondrus crispus stackhouse,true,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000483_01.jpg,DCIM/droguier_jbn/Gentiana_lutea_L_drog_000333_02.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000483_03.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000483_04.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000483_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:43.694Z,,,,Chondrus,Gigartinaceae,2769,positive,sample,1,drog_000483_01,2026-01-29T15:12:43.694000+00:00,valid,20262023
20261803_Mazz_Sample_drog_000437_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261803_Mazz_Sample_drog_000437_01,drog_000437,Chondrus crispus,sample,053e0368-4ed8-4569-a070-81a22ad13957,74461,2026-01-29T15:12:43.659Z,Emmanuel Defossez,Leaf,true,false,Chondrus crispus stackhouse,true,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000437_01.jpg,DCIM/droguier_jbn/Gentiana_lutea_L_drog_000333_02.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000437_03.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000437_04.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000437_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:43.659Z,1,C5,plate 3,Chondrus,Gigartinaceae,2769,positive,sample,1,drog_000437_01,2026-01-29T15:12:43.659000+00:00,valid,20261803
20262103_Mazz_Sample_drog_000399_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20262103_Mazz_Sample_drog_000399_01,drog_000399,Chondrus crispus,sample,053e0368-4ed8-4569-a070-81a22ad13957,74455,2026-01-29T15:12:43.393Z,Emmanuel Defossez,Leaf,true,false,Chondrus crispus stackhouse,true,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000399_01.jpg,DCIM/droguier_jbn/Gentiana_lutea_L_drog_000333_02.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000399_03.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000399_04.jpg,DCIM/droguier_jbn/Chondrus crispus stackhouse_drog_000399_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:43.393Z,,,,Chondrus,Gigartinaceae,2769,positive,sample,1,drog_000399_01,2026-01-29T15:12:43.393000+00:00,valid,20262103
20261603_Mazz_Sample_drog_000388_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000388_01,drog_000388,Equisetum arvensevaleriana,sample,053e0368-4ed8-4569-a070-81a22ad13957,74354,2026-01-29T15:12:39.038Z,Emmanuel Defossez,Root,false,true,Equisetum arvenseValeriana_officinalis_L,false,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000388_01.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000388_02.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000388_03.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000388_04.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000388_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:39.038Z,1,G4,plate 1,Equisetum,Equisetaceae,3257,positive,sample,1,drog_000388_01,2026-01-29T15:12:39.038000+00:00,valid,20261603
20261603_Mazz_Sample_drog_000301_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000301_01,drog_000301,Equisetum arvensevaleriana,sample,053e0368-4ed8-4569-a070-81a22ad13957,74350,2026-01-29T15:12:38.865Z,Emmanuel Defossez,Root,false,true,Equisetum arvenseValeriana_officinalis_L,false,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000301_01.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000301_02.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000301_03.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000301_04.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000301_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:38.865Z,1,G1,plate 1,Equisetum,Equisetaceae,3257,positive,sample,1,drog_000301_01,2026-01-29T15:12:38.865000+00:00,valid,20261603
