duplicate_fingerprint_group_id	duplicate_group_size	duplicate_id_class	sample_id_class	field_data_id	sample_id	qfield_project	taxon_name	sample_name	date	latitude	longitude	latitude_longitude_looks_swapped	collector_fullname	date_created	date_updated
			canonical	70440	dbgi_008797	jbc	Arctostaphylos uva-ursi		20250520164158	7.112391	46.032616	true	Alexandra Slotte	2025-05-28T10:01:35.757Z	2025-12-28T17:06:01.118Z
			canonical	70441	dbgi_008778	jbc	Rhododendron ferrugineum		20250520165017	7.1122475	46.0326	true	Alexandra Slotte	2025-05-28T10:01:35.782Z	2025-12-28T16:44:23.150Z
			canonical	70442	dbgi_008774	jbc	Gentiana lutea		20250520170403	7.112305	46.032562	true	Alexandra Slotte	2025-05-28T10:01:35.806Z	2025-12-28T16:44:23.655Z
			canonical	70443	dbgi_008540	jbc	Rhodiola heterodonta		20250520171151	7.112281	46.032562	true	Alexandra Slotte	2025-05-28T10:01:35.831Z	2025-12-28T16:44:24.259Z
			canonical	70444	dbgi_007157	jbc	Iris sibirica		20250520163421	7.112423	46.032604	true	Emilie Lab	2025-05-28T10:01:35.855Z	2025-12-28T16:44:24.772Z
			canonical	70445	dbgi_006948	jbc	Potentilla ambigua		20250520164247	7.112436	46.032604	true	Emilie Lab	2025-05-28T10:01:35.878Z	2025-12-28T16:44:25.371Z
			canonical	70446	dbgi_008802	jbc	Laserpitum silero		20250520164754	7.1123466	46.032604	true	Emilie Lab	2025-05-28T10:01:35.902Z	2025-12-28T16:44:26.001Z
			canonical	70447	dbgi_008819	jbc	Rhododendron hisurtum		20250520165125	7.112341	46.03261	true	Emilie Lab	2025-05-28T10:01:35.926Z	2025-12-28T16:44:26.617Z
			canonical	70448	dbgi_008702	jbc	Allium cernuuml		20250520165453	7.112317	46.03261	true	Emilie Lab	2025-05-28T10:01:35.950Z	2025-12-28T16:44:27.231Z
			canonical	70449	dbgi_008775	jbc	Erysium ochroleucum.		20250520170109	7.112304	46.0326	true	Emilie Lab	2025-05-28T10:01:35.973Z	2025-12-28T16:44:27.854Z
			canonical	70450	dbgi_008779	jbc	Teucrium chamaedrys		20250520170724	7.1123047	46.032608	true	Edouard Brülhart	2025-05-28T10:01:35.997Z	2025-08-14T14:02:37.155Z
			canonical	70451	dbgi_008457	jbc	Gentiana angustifolia		20250520171044	7.1122947	46.032604	true	Emilie Lab	2025-05-28T10:01:36.020Z	2025-12-28T16:44:28.463Z
			canonical	70452	dbgi_008627	jbc	Sedum telephiu		20250520171601	7.112287	46.032597	true	Emilie Lab	2025-05-28T10:01:36.044Z	2025-12-28T16:44:28.985Z
			canonical	70453	dbgi_008539	jbc	Potentilla thuringiaca		20250520172539	7.1122856	46.032604	true	Emilie Lab	2025-05-28T10:01:36.067Z	2025-12-28T16:44:35.415Z
			canonical	70454	dbgi_008805	jbc	Erysimum ochroleucum		20250520172850	7.112289	46.032593	true	Emilie Lab	2025-05-28T10:01:36.090Z	2025-12-28T16:44:35.865Z
