group_id	group_size	taxon_name	date	latitude_rounded	longitude_rounded	field_data_id	sample_id	collector_fullname	date_created	date_updated
1	2	rhododendron brachyanthum	20250625084052	7.113073	46.032623	72614	dbgi_008728	Mazzarine Laboureau	2025-08-12T11:52:06.110Z	2025-12-28T16:50:53.722Z
1	2	rhododendron brachyanthum	20250625084052	7.113073	46.032623	72712	dbgi_97	Mazzarine Laboureau	2025-08-12T11:52:09.338Z	2025-08-14T14:03:03.376Z
2	2	paeonia mascula	20250625084138	7.11309	46.032585	72525	dbgi_006886	Émilie Lab	2025-08-12T11:52:03.096Z	2025-12-28T16:50:31.167Z
2	2	paeonia mascula	20250625084138	7.11309	46.032585	72664	dbgi_49	Émilie Lab	2025-08-12T11:52:07.778Z	2025-08-14T14:03:01.923Z
3	2	juniperus chinensis	20250625084401	7.113108	46.03258	72526	dbgi_006789	Émilie Lab	2025-08-12T11:52:03.128Z	2025-12-28T16:50:31.781Z
3	2	juniperus chinensis	20250625084401	7.113108	46.03258	72665	dbgi_50	Émilie Lab	2025-08-12T11:52:07.805Z	2025-08-14T14:03:01.949Z
4	2	omphalodes verna	20250625084410	7.113065	46.032623	72615	dbgi_008748	Mazzarine Laboureau	2025-08-12T11:52:06.138Z	2025-12-28T16:50:54.173Z
4	2	omphalodes verna	20250625084410	7.113065	46.032623	72713	dbgi_98	Mazzarine Laboureau	2025-08-12T11:52:09.370Z	2025-08-14T14:03:03.413Z
5	2	centaurea montana	20250625084553	7.113162	46.03259	72527	dbgi_006806	Émilie Lab	2025-08-12T11:52:03.155Z	2025-12-28T16:50:32.222Z
5	2	centaurea montana	20250625084553	7.113162	46.03259	72666	dbgi_51	Émilie Lab	2025-08-12T11:52:07.842Z	2025-08-14T14:03:01.978Z
6	2	androsaceae sarmentosa	20250625084610	7.11307	46.032616	72616	dbgi_008642	Mazzarine Laboureau	2025-08-12T11:52:06.170Z	2025-12-28T16:50:54.626Z
6	2	androsaceae sarmentosa	20250625084610	7.11307	46.032616	72714	dbgi_99	Mazzarine Laboureau	2025-08-12T11:52:09.404Z	2025-08-14T14:03:03.453Z
7	2	gymnocarpium dryopteris	20250625084828	7.113147	46.032635	72528	dbgi_008679	Émilie Lab	2025-08-12T11:52:03.186Z	2025-12-28T16:50:32.673Z
7	2	gymnocarpium dryopteris	20250625084828	7.113147	46.032635	72667	dbgi_52	Émilie Lab	2025-08-12T11:52:07.870Z	2025-08-14T14:03:02.002Z
8	2	anemone sylvestris	20250625084943	7.113078	46.032627	72617	dbgi_008753	Mazzarine Laboureau	2025-08-12T11:52:06.200Z	2025-12-28T16:50:55.070Z
8	2	anemone sylvestris	20250625084943	7.113078	46.032627	72715	dbgi_100	Mazzarine Laboureau	2025-08-12T11:52:09.438Z	2025-08-14T14:03:03.490Z
9	2	linum flavum	20250625085005	7.113162	46.03265	72529	dbgi_006792	Émilie Lab	2025-08-12T11:52:03.215Z	2025-12-28T16:50:33.121Z
9	2	linum flavum	20250625085005	7.113162	46.03265	72668	dbgi_53	Émilie Lab	2025-08-12T11:52:07.899Z	2025-08-14T14:03:02.028Z
10	2	euphorbia chamecyparissia	20250625085140	7.11308	46.03263	72618	dbgi_008738	Mazzarine Laboureau	2025-08-12T11:52:06.234Z	2025-12-28T16:50:55.655Z
10	2	euphorbia chamecyparissia	20250625085140	7.11308	46.03263	72716	dbgi_101	Mazzarine Laboureau	2025-08-12T11:52:09.474Z	2025-08-14T14:03:03.531Z
11	2	anthyllis montana	20250625085229	7.113125	46.032654	72530	dbgi_006877	Émilie Lab	2025-08-12T11:52:03.245Z	2025-12-28T16:50:33.626Z
11	2	anthyllis montana	20250625085229	7.113125	46.032654	72669	dbgi_54	Émilie Lab	2025-08-12T11:52:07.931Z	2025-08-14T14:03:02.052Z
12	2	dianthus subacaulis	20250625085752	7.113112	46.03263	72531	dbgi_006980	Émilie Lab	2025-08-12T11:52:03.272Z	2025-12-28T16:50:34.138Z
12	2	dianthus subacaulis	20250625085752	7.113112	46.03263	72670	dbgi_55	Émilie Lab	2025-08-12T11:52:07.962Z	2025-08-14T14:03:02.080Z
13	3	rhododendron violaceum	20250625090000	7.113113	46.03264	72532	dbgi_007037	Émilie Lab	2025-08-12T11:52:03.303Z	2025-12-28T16:50:34.659Z
13	3	rhododendron violaceum	20250625090000	7.113113	46.03264	72573	dbgi_7	Émilie Lab	2025-08-12T11:52:04.836Z	2025-08-14T14:02:58.996Z
13	3	rhododendron violaceum	20250625090000	7.113113	46.03264	72671	dbgi_56	Émilie Lab	2025-08-12T11:52:07.993Z	2025-08-14T14:03:02.103Z
14	3	oxalis valdiviensis	20250625090203	7.113112	46.032654	72533	dbgi_008683	Émilie Lab	2025-08-12T11:52:03.334Z	2025-12-28T16:50:35.160Z
14	3	oxalis valdiviensis	20250625090203	7.113112	46.032654	72574	dbgi_8	Émilie Lab	2025-08-12T11:52:04.874Z	2025-08-14T14:02:59.029Z
14	3	oxalis valdiviensis	20250625090203	7.113112	46.032654	72672	dbgi_57	Émilie Lab	2025-08-12T11:52:08.022Z	2025-08-14T14:03:02.128Z
15	2	euphorbia dulcis	20250625090337	7.113082	46.032623	72619	dbgi_008736	Mazzarine Laboureau	2025-08-12T11:52:06.269Z	2025-12-28T16:50:56.108Z
15	2	euphorbia dulcis	20250625090337	7.113082	46.032623	72717	dbgi_102	Mazzarine Laboureau	2025-08-12T11:52:09.511Z	2025-08-14T14:03:03.568Z
16	3	olearia haastii	20250625090629	7.113133	46.032642	72534	dbgi_008450	Émilie Lab	2025-08-12T11:52:03.362Z	2025-08-14T14:02:57.529Z
16	3	olearia haastii	20250625090629	7.113133	46.032642	72575	dbgi_9	Émilie Lab	2025-08-12T11:52:04.903Z	2025-08-14T14:02:59.061Z
16	3	olearia haastii	20250625090629	7.113133	46.032642	72673	dbgi_58	Émilie Lab	2025-08-12T11:52:08.061Z	2025-08-14T14:03:02.152Z
17	3	rhododendron lepidotum	20250625091237	7.113162	46.032646	72535	dbgi_008460	Émilie Lab	2025-08-12T11:52:03.396Z	2025-12-28T16:50:35.620Z
17	3	rhododendron lepidotum	20250625091237	7.113162	46.032646	72576	dbgi_10	Émilie Lab	2025-08-12T11:52:04.935Z	2025-08-14T14:02:59.094Z
17	3	rhododendron lepidotum	20250625091237	7.113162	46.032646	72674	dbgi_59	Émilie Lab	2025-08-12T11:52:08.092Z	2025-08-14T14:03:02.179Z
18	2	anemone nemorosa	20250625092736	7.113088	46.03263	72620	dbgi_008516	Mazzarine Laboureau	2025-08-12T11:52:06.303Z	2025-12-28T16:50:56.561Z
18	2	anemone nemorosa	20250625092736	7.113088	46.03263	72718	dbgi_103	Mazzarine Laboureau	2025-08-12T11:52:09.546Z	2025-08-14T14:03:03.607Z
19	3	rhododendron insigne	20250625093120	7.11316	46.032627	72536	dbgi_008560	Émilie Lab	2025-08-12T11:52:03.424Z	2025-12-28T16:50:36.072Z
19	3	rhododendron insigne	20250625093120	7.11316	46.032627	72577	dbgi_11	Émilie Lab	2025-08-12T11:52:04.964Z	2025-08-14T14:02:59.125Z
19	3	rhododendron insigne	20250625093120	7.11316	46.032627	72675	dbgi_60	Émilie Lab	2025-08-12T11:52:08.128Z	2025-08-14T14:03:02.203Z
20	2	arenaria montana	20250625093307	7.113089	46.032623	72622	dbgi_008499	Mazzarine Laboureau	2025-08-12T11:52:06.374Z	2025-12-28T16:50:57.022Z
20	2	arenaria montana	20250625093307	7.113089	46.032623	72720	dbgi_105	Mazzarine Laboureau	2025-08-12T11:52:09.615Z	2025-08-14T14:03:03.683Z
21	3	rhododendron hyppophaeoides	20250625093355	7.113205	46.03265	72537	dbgi_008398	Émilie Lab	2025-08-12T11:52:03.456Z	2025-12-28T16:50:36.609Z
21	3	rhododendron hyppophaeoides	20250625093355	7.113205	46.03265	72578	dbgi_12	Émilie Lab	2025-08-12T11:52:04.992Z	2025-08-14T14:02:59.159Z
21	3	rhododendron hyppophaeoides	20250625093355	7.113205	46.03265	72676	dbgi_61	Émilie Lab	2025-08-12T11:52:08.157Z	2025-08-14T14:03:02.229Z
22	3	chamaecytisus aggregatus	20250625093702	7.11319	46.032642	72538	dbgi_008474	Émilie Lab	2025-08-12T11:52:03.486Z	2025-12-28T16:50:37.112Z
22	3	chamaecytisus aggregatus	20250625093702	7.11319	46.032642	72579	dbgi_13	Émilie Lab	2025-08-12T11:52:05.030Z	2025-08-14T14:02:59.190Z
22	3	chamaecytisus aggregatus	20250625093702	7.11319	46.032642	72677	dbgi_62	Émilie Lab	2025-08-12T11:52:08.189Z	2025-08-14T14:03:02.254Z
23	2	picea abies	20250625094008	7.11306	46.03262	72625	dbgi_008466	Mazzarine Laboureau	2025-08-12T11:52:06.471Z	2025-12-28T16:50:58.709Z
