field_data_id	sample_id	canonical_field_data_ids	canonical_sample_ids	rationale
72573	dbgi_7	72532	dbgi_007037	nonstandard row has one canonical row with same taxon/date/rounded location
72574	dbgi_8	72533	dbgi_008683	nonstandard row has one canonical row with same taxon/date/rounded location
72575	dbgi_9	72534	dbgi_008450	nonstandard row has one canonical row with same taxon/date/rounded location
72576	dbgi_10	72535	dbgi_008460	nonstandard row has one canonical row with same taxon/date/rounded location
72577	dbgi_11	72536	dbgi_008560	nonstandard row has one canonical row with same taxon/date/rounded location
72578	dbgi_12	72537	dbgi_008398	nonstandard row has one canonical row with same taxon/date/rounded location
72579	dbgi_13	72538	dbgi_008474	nonstandard row has one canonical row with same taxon/date/rounded location
72580	dbgi_14	72539	dbgi_008512	nonstandard row has one canonical row with same taxon/date/rounded location
72581	dbgi_15	72540	dbgi_008433	nonstandard row has one canonical row with same taxon/date/rounded location
72582	dbgi_16	72541	dbgi_008476	nonstandard row has one canonical row with same taxon/date/rounded location
72583	dbgi_17	72542	dbgi_008415	nonstandard row has one canonical row with same taxon/date/rounded location
72584	dbgi_18	72543	dbgi_008517	nonstandard row has one canonical row with same taxon/date/rounded location
72585	dbgi_19	72544	dbgi_008465	nonstandard row has one canonical row with same taxon/date/rounded location
72586	dbgi_20	72545	dbgi_008399	nonstandard row has one canonical row with same taxon/date/rounded location
72587	dbgi_21	72546	dbgi_008448	nonstandard row has one canonical row with same taxon/date/rounded location
72588	dbgi_22	72547	dbgi_008587	nonstandard row has one canonical row with same taxon/date/rounded location
72590	dbgi_24	72549	dbgi_008401	nonstandard row has one canonical row with same taxon/date/rounded location
72591	dbgi_25	72550	dbgi_008414	nonstandard row has one canonical row with same taxon/date/rounded location
72592	dbgi_26	72551	dbgi_008436	nonstandard row has one canonical row with same taxon/date/rounded location
72593	dbgi_27	72552	dbgi_008430	nonstandard row has one canonical row with same taxon/date/rounded location
72594	dbgi_28	72553	dbgi_008378	nonstandard row has one canonical row with same taxon/date/rounded location
72595	dbgi_29	72554	dbgi_008489	nonstandard row has one canonical row with same taxon/date/rounded location
72596	dbgi_30	72555	dbgi_008408	nonstandard row has one canonical row with same taxon/date/rounded location
72597	dbgi_31	72556	dbgi_008442	nonstandard row has one canonical row with same taxon/date/rounded location
72598	dbgi_32	72557	dbgi_008650	nonstandard row has one canonical row with same taxon/date/rounded location
72599	dbgi_33	72558	dbgi_008464	nonstandard row has one canonical row with same taxon/date/rounded location
72600	dbgi_34	72559	dbgi_008423	nonstandard row has one canonical row with same taxon/date/rounded location
72601	dbgi_35	72560	dbgi_008640	nonstandard row has one canonical row with same taxon/date/rounded location
72602	dbgi_36	72561	dbgi_008754	nonstandard row has one canonical row with same taxon/date/rounded location
72603	dbgi_37	72562	dbgi_008647	nonstandard row has one canonical row with same taxon/date/rounded location
72604	dbgi_38	72563	dbgi_008637	nonstandard row has one canonical row with same taxon/date/rounded location
72605	dbgi_39	72564	dbgi_008527	nonstandard row has one canonical row with same taxon/date/rounded location
72606	dbgi_40	72565	dbgi_008646	nonstandard row has one canonical row with same taxon/date/rounded location
