status	nonstandard_field_data_id	nonstandard_sample_id	nonstandard_taxon_name	date	latitude_rounded	longitude_rounded	canonical_match_count	canonical_field_data_ids	canonical_sample_ids	canonical_taxon_names
strict_taxon_date_location	72573	dbgi_7	Rhododendron violaceum	20250625090000	7.113113	46.03264	1	72532	dbgi_007037	Rhododendron violaceum
strict_taxon_date_location	72574	dbgi_8	Oxalis valdiviensis	20250625090203	7.113112	46.032654	1	72533	dbgi_008683	Oxalis valdiviensis
strict_taxon_date_location	72575	dbgi_9	Olearia haastii	20250625090629	7.113133	46.032642	1	72534	dbgi_008450	Olearia haastii
strict_taxon_date_location	72576	dbgi_10	Rhododendron lepidotum	20250625091237	7.113162	46.032646	1	72535	dbgi_008460	Rhododendron lepidotum
strict_taxon_date_location	72577	dbgi_11	Rhododendron insigne	20250625093120	7.11316	46.032627	1	72536	dbgi_008560	Rhododendron insigne
strict_taxon_date_location	72578	dbgi_12	Rhododendron hyppophaeoides	20250625093355	7.113205	46.03265	1	72537	dbgi_008398	Rhododendron hyppophaeoides
strict_taxon_date_location	72579	dbgi_13	Chamaecytisus aggregatus	20250625093702	7.11319	46.032642	1	72538	dbgi_008474	Chamaecytisus aggregatus
strict_taxon_date_location	72580	dbgi_14	Rhododendron keleticum	20250625094138	7.113055	46.032673	1	72539	dbgi_008512	Rhododendron keleticum
strict_taxon_date_location	72581	dbgi_15	Salix rotundifolia	20250625094313	7.113077	46.032677	1	72540	dbgi_008433	Salix rotundifolia
strict_taxon_date_location	72582	dbgi_16	Wulfenia carinthiaca	20250625094543	7.113052	46.032684	1	72541	dbgi_008476	Wulfenia carinthiaca
strict_taxon_date_location	72583	dbgi_17	Asarum europaeum	20250625094708	7.113073	46.032673	1	72542	dbgi_008415	Asarum europaeum
strict_taxon_date_location	72584	dbgi_18	Rhodothamnus chamaecistus	20250625094830	7.113061	46.03266	1	72543	dbgi_008517	Rhodothamnus chamaecistus
strict_taxon_date_location	72585	dbgi_19	Campanula rhomboidalis	20250625095047	7.113035	46.032677	1	72544	dbgi_008465	Campanula rhomboidalis
