confidence	rationale	nonstandard_field_data_id	nonstandard_sample_id	canonical_field_data_ids	canonical_sample_ids	taxon_name	date	latitude_rounded	longitude_rounded	canonical_taxon_names
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	72589	dbgi_23	72548	dbgi_008422		20250625100221	7.113046	46.032677	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	72611	dbgi_45	72570	dbgi_008386		20250625113133	7.11348	46.03264	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	72687	dbgi_72	72548	dbgi_008422		20250625100221	7.113046	46.032677	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	72709	dbgi_94	72570	dbgi_008386		20250625113133	7.11348	46.03264	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	72721	dbgi_106	72623	dbgi_008484		20250625093423	7.113093	46.032623	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	72722	dbgi_107	72624	dbgi_008479		20250625093736	7.113092	46.03262	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	72742	dbgi_127	72644	dbgi_008582		20250625104818	7.113232	46.03257	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	72747	dbgi_132	72649	dbgi_008515		20250625110240	7.113254	46.03257	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	72749	dbgi_134	72651	dbgi_008491		20250625110952	7.113352	46.03261	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	72753	dbgi_138	72655	dbgi_008561		20250625112705	7.113324	46.0326	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	72808	dbgi_158	72775	dbgi_008608		20250707143232	7.113301	46.032642	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	72813	dbgi_163	72780	dbgi_008469		20250707144359	7.113251	46.03261	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73043	dbgi_197	72988	dbgi_006686		20250715090257	7.113402	46.032673	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73048	dbgi_202	72993	dbgi_006656		20250715091648	7.113373	46.032745	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73049	dbgi_203	72994	dbgi_006670		20250715091919	7.113394	46.03276	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73051	dbgi_205	72996	dbgi_006681		20250715092516	7.113348	46.032734	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73052	dbgi_206	72997	dbgi_006683		20250715092745	7.113337	46.032745	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73055	dbgi_209	73000	dbgi_006675		20250715093654	7.113338	46.03276	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73056	dbgi_210	73001	dbgi_006678		20250715094018	7.113326	46.032734	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73058	dbgi_212	73003	dbgi_006682		20250715094350	7.113327	46.032726	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73064	dbgi_218	73009	dbgi_006685		20250715095827	7.113328	46.032745	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73067	dbgi_221	73012	dbgi_006744		20250715101449	7.113327	46.03275	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73068	dbgi_222	73013	dbgi_006716		20250715101810	7.113307	46.032757	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73070	dbgi_224	73015	dbgi_006758		20250715102327	7.113308	46.03277	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73071	dbgi_225	73016	dbgi_008668		20250715102612	7.113289	46.03276	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73080	dbgi_234	73025	dbgi_006736		20250715104921	7.11331	46.032772	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73084	dbgi_238	73029	dbgi_006819		20250715110253	7.113306	46.032787	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73147	dbgi_252	72988	dbgi_006686		20250715090257	7.113402	46.032673	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73152	dbgi_257	72993	dbgi_006656		20250715091648	7.113373	46.032745	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73153	dbgi_258	72994	dbgi_006670		20250715091919	7.113394	46.03276	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73155	dbgi_260	72996	dbgi_006681		20250715092516	7.113348	46.032734	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73156	dbgi_261	72997	dbgi_006683		20250715092745	7.113337	46.032745	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73159	dbgi_264	73000	dbgi_006675		20250715093654	7.113338	46.03276	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73160	dbgi_265	73001	dbgi_006678		20250715094018	7.113326	46.032734	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73162	dbgi_267	73003	dbgi_006682		20250715094350	7.113327	46.032726	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73168	dbgi_273	73009	dbgi_006685		20250715095827	7.113328	46.032745	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73171	dbgi_276	73012	dbgi_006744		20250715101449	7.113327	46.03275	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73172	dbgi_277	73013	dbgi_006716		20250715101810	7.113307	46.032757	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73174	dbgi_279	73015	dbgi_006758		20250715102327	7.113308	46.03277	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73175	dbgi_280	73016	dbgi_008668		20250715102612	7.113289	46.03276	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73184	dbgi_289	73025	dbgi_006736		20250715104921	7.11331	46.032772	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73188	dbgi_293	73029	dbgi_006819		20250715110253	7.113306	46.032787	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73213	dbgi_318	73109	dbgi_006596		20250715094307	7.113241	46.032734	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73214	dbgi_319	73110	dbgi_006740		20250715094618	7.113209	46.03276	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73221	dbgi_326	73117	dbgi_008550		20250715101416	7.113182	46.032715	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73228	dbgi_333	73124	dbgi_007078		20250715105102	7.113421	46.03276	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73232	dbgi_337	73128	dbgi_007042		20250715105855	7.113397	46.032772	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73233	dbgi_338	73129	dbgi_007045		20250715110057	7.113349	46.032776	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73272	dbgi_356	72988	dbgi_006686		20250715090257	7.113402	46.032673	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73277	dbgi_361	72993	dbgi_006656		20250715091648	7.113373	46.032745	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73278	dbgi_362	72994	dbgi_006670		20250715091919	7.113394	46.03276	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73280	dbgi_364	72996	dbgi_006681		20250715092516	7.113348	46.032734	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73281	dbgi_365	72997	dbgi_006683		20250715092745	7.113337	46.032745	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73284	dbgi_368	73000	dbgi_006675		20250715093654	7.113338	46.03276	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73285	dbgi_369	73001	dbgi_006678		20250715094018	7.113326	46.032734	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73287	dbgi_371	73003	dbgi_006682		20250715094350	7.113327	46.032726	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73293	dbgi_377	73009	dbgi_006685		20250715095827	7.113328	46.032745	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73296	dbgi_380	73012	dbgi_006744		20250715101449	7.113327	46.03275	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73297	dbgi_381	73013	dbgi_006716		20250715101810	7.113307	46.032757	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73299	dbgi_383	73015	dbgi_006758		20250715102327	7.113308	46.03277	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73300	dbgi_384	73016	dbgi_008668		20250715102612	7.113289	46.03276	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73309	dbgi_393	73025	dbgi_006736		20250715104921	7.11331	46.032772	
medium	nonstandard row lacks/has different taxon but has one canonical row with same date/rounded location	73313	dbgi_397	73029	dbgi_006819		20250715110253	7.113306	46.032787	
