confidence	rationale	nonstandard_field_data_id	nonstandard_sample_id	canonical_field_data_ids	canonical_sample_ids	taxon_name	date	latitude_rounded	longitude_rounded	canonical_taxon_names
high	nonstandard row has one canonical row with same taxon/date/rounded location	72573	dbgi_7	72532	dbgi_007037	rhododendron violaceum	20250625090000	7.113113	46.03264	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72574	dbgi_8	72533	dbgi_008683	oxalis valdiviensis	20250625090203	7.113112	46.032654	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72575	dbgi_9	72534	dbgi_008450	olearia haastii	20250625090629	7.113133	46.032642	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72576	dbgi_10	72535	dbgi_008460	rhododendron lepidotum	20250625091237	7.113162	46.032646	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72577	dbgi_11	72536	dbgi_008560	rhododendron insigne	20250625093120	7.11316	46.032627	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72578	dbgi_12	72537	dbgi_008398	rhododendron hyppophaeoides	20250625093355	7.113205	46.03265	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72579	dbgi_13	72538	dbgi_008474	chamaecytisus aggregatus	20250625093702	7.11319	46.032642	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72580	dbgi_14	72539	dbgi_008512	rhododendron keleticum	20250625094138	7.113055	46.032673	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72581	dbgi_15	72540	dbgi_008433	salix rotundifolia	20250625094313	7.113077	46.032677	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72582	dbgi_16	72541	dbgi_008476	wulfenia carinthiaca	20250625094543	7.113052	46.032684	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72583	dbgi_17	72542	dbgi_008415	asarum europaeum	20250625094708	7.113073	46.032673	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72584	dbgi_18	72543	dbgi_008517	rhodothamnus chamaecistus	20250625094830	7.113061	46.03266	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72585	dbgi_19	72544	dbgi_008465	campanula rhomboidalis	20250625095047	7.113035	46.032677	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72586	dbgi_20	72545	dbgi_008399	sedum lydium	20250625095313	7.113059	46.03267	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72587	dbgi_21	72546	dbgi_008448	arum maculatum	20250625095625	7.11304	46.03267	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72588	dbgi_22	72547	dbgi_008587	bulbinella hookeri	20250625095923	7.113079	46.03268	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72590	dbgi_24	72549	dbgi_008401	cypripedium reginae	20250625100431	7.113039	46.032684	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72591	dbgi_25	72550	dbgi_008414	rhododendron carolinianum	20250625100636	7.113057	46.032677	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72592	dbgi_26	72551	dbgi_008436	blechnum spicant	20250625100907	7.113082	46.03267	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72593	dbgi_27	72552	dbgi_008430	ribes spicatum	20250625103340	7.113192	46.032578	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72594	dbgi_28	72553	dbgi_008378	penstemon ovatus	20250625103604	7.113191	46.03257	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72595	dbgi_29	72554	dbgi_008489	tsuga canadensis	20250625103817	7.113307	46.032593	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72596	dbgi_30	72555	dbgi_008408	anthennaria canadensis	20250625104139	7.11333	46.032585	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72597	dbgi_31	72556	dbgi_008442	taxus baccata	20250625104344	7.11334	46.032578	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72598	dbgi_32	72557	dbgi_008650	genista radiata	20250625104603	7.113218	46.032543	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72599	dbgi_33	72558	dbgi_008464	asphodelus albus	20250625104735	7.113292	46.03255	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72600	dbgi_34	72559	dbgi_008423	colutea arborescens	20250625105340	7.113236	46.032578	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72601	dbgi_35	72560	dbgi_008640	dianthus subacaulis	20250625110513	7.113278	46.032574	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72602	dbgi_36	72561	dbgi_008754	lithospermum intermedium	20250625110811	7.11329	46.032623	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72603	dbgi_37	72562	dbgi_008647	dianthus plumarius	20250625111046	7.113257	46.032593	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72604	dbgi_38	72563	dbgi_008637	helichrysum graveolens	20250625111454	7.113254	46.032593	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72605	dbgi_39	72564	dbgi_008527	eriogonum umbellatum	20250625111723	7.113238	46.032597	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72606	dbgi_40	72565	dbgi_008646	micromeria dalmatica	20250625111909	7.113258	46.0326	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72607	dbgi_41	72566	dbgi_008645	globularia bisnagarica	20250625112113	7.113287	46.032608	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72608	dbgi_42	72567	dbgi_008486	dryas octopetala	20250625112303	7.113337	46.03261	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72609	dbgi_43	72568	dbgi_008763	convallaria majalis	20250625112837	7.113485	46.032635	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72610	dbgi_44	72569	dbgi_008395	colchicum autumnale	20250625113005	7.113473	46.03267	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72612	dbgi_46	72571	dbgi_008419	aegopodium podagraria	20250625113405	7.113481	46.032627	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72613	dbgi_47	72572	dbgi_008602	gentiana lutea	20250625113741	7.113484	46.032665	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72664	dbgi_49	72525	dbgi_006886	paeonia mascula	20250625084138	7.11309	46.032585	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72665	dbgi_50	72526	dbgi_006789	juniperus chinensis	20250625084401	7.113108	46.03258	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72666	dbgi_51	72527	dbgi_006806	centaurea montana	20250625084553	7.113162	46.03259	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72667	dbgi_52	72528	dbgi_008679	gymnocarpium dryopteris	20250625084828	7.113147	46.032635	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72668	dbgi_53	72529	dbgi_006792	linum flavum	20250625085005	7.113162	46.03265	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72669	dbgi_54	72530	dbgi_006877	anthyllis montana	20250625085229	7.113125	46.032654	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72670	dbgi_55	72531	dbgi_006980	dianthus subacaulis	20250625085752	7.113112	46.03263	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72671	dbgi_56	72532	dbgi_007037	rhododendron violaceum	20250625090000	7.113113	46.03264	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72672	dbgi_57	72533	dbgi_008683	oxalis valdiviensis	20250625090203	7.113112	46.032654	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72673	dbgi_58	72534	dbgi_008450	olearia haastii	20250625090629	7.113133	46.032642	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72674	dbgi_59	72535	dbgi_008460	rhododendron lepidotum	20250625091237	7.113162	46.032646	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72675	dbgi_60	72536	dbgi_008560	rhododendron insigne	20250625093120	7.11316	46.032627	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72676	dbgi_61	72537	dbgi_008398	rhododendron hyppophaeoides	20250625093355	7.113205	46.03265	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72677	dbgi_62	72538	dbgi_008474	chamaecytisus aggregatus	20250625093702	7.11319	46.032642	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72678	dbgi_63	72539	dbgi_008512	rhododendron keleticum	20250625094138	7.113055	46.032673	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72679	dbgi_64	72540	dbgi_008433	salix rotundifolia	20250625094313	7.113077	46.032677	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72680	dbgi_65	72541	dbgi_008476	wulfenia carinthiaca	20250625094543	7.113052	46.032684	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72681	dbgi_66	72542	dbgi_008415	asarum europaeum	20250625094708	7.113073	46.032673	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72682	dbgi_67	72543	dbgi_008517	rhodothamnus chamaecistus	20250625094830	7.113061	46.03266	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72683	dbgi_68	72544	dbgi_008465	campanula rhomboidalis	20250625095047	7.113035	46.032677	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72684	dbgi_69	72545	dbgi_008399	sedum lydium	20250625095313	7.113059	46.03267	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72685	dbgi_70	72546	dbgi_008448	arum maculatum	20250625095625	7.11304	46.03267	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72686	dbgi_71	72547	dbgi_008587	bulbinella hookeri	20250625095923	7.113079	46.03268	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72688	dbgi_73	72549	dbgi_008401	cypripedium reginae	20250625100431	7.113039	46.032684	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72689	dbgi_74	72550	dbgi_008414	rhododendron carolinianum	20250625100636	7.113057	46.032677	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72690	dbgi_75	72551	dbgi_008436	blechnum spicant	20250625100907	7.113082	46.03267	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72691	dbgi_76	72552	dbgi_008430	ribes spicatum	20250625103340	7.113192	46.032578	
