issue	id	sample_id	sample_name	taxon_name	date	latitude	longitude	collector_fullname	date_created
invalid_sample_id	72573	dbgi_7		Rhododendron violaceum	20250625090000	7.1131134	46.03264	Émilie Lab	2025-08-12T11:52:04.836Z
invalid_sample_id	72574	dbgi_8		Oxalis valdiviensis	20250625090203	7.113112	46.032654	Émilie Lab	2025-08-12T11:52:04.874Z
invalid_sample_id	72575	dbgi_9		Olearia haastii	20250625090629	7.113133	46.032642	Émilie Lab	2025-08-12T11:52:04.903Z
invalid_sample_id	72576	dbgi_10		Rhododendron lepidotum	20250625091237	7.1131625	46.032646	Émilie Lab	2025-08-12T11:52:04.935Z
invalid_sample_id	72577	dbgi_11		Rhododendron insigne	20250625093120	7.1131597	46.032627	Émilie Lab	2025-08-12T11:52:04.964Z
invalid_sample_id	72578	dbgi_12		Rhododendron hyppophaeoides	20250625093355	7.1132054	46.03265	Émilie Lab	2025-08-12T11:52:04.992Z
invalid_sample_id	72579	dbgi_13		Chamaecytisus aggregatus	20250625093702	7.11319	46.032642	Émilie Lab	2025-08-12T11:52:05.030Z
invalid_sample_id	72580	dbgi_14		Rhododendron keleticum	20250625094138	7.1130548	46.032673	Émilie Lab	2025-08-12T11:52:05.057Z
invalid_sample_id	72581	dbgi_15		Salix rotundifolia	20250625094313	7.1130767	46.032677	Émilie Lab	2025-08-12T11:52:05.090Z
invalid_sample_id	72582	dbgi_16		Wulfenia carinthiaca	20250625094543	7.1130524	46.032684	Émilie Lab	2025-08-12T11:52:05.121Z
invalid_sample_id	72583	dbgi_17		Asarum europaeum	20250625094708	7.1130733	46.032673	Émilie Lab	2025-08-12T11:52:05.154Z
invalid_sample_id	72584	dbgi_18		Rhodothamnus chamaecistus	20250625094830	7.1130614	46.03266	Émilie Lab	2025-08-12T11:52:05.187Z
invalid_sample_id	72585	dbgi_19		Campanula rhomboidalis	20250625095047	7.1130347	46.032677	Émilie Lab	2025-08-12T11:52:05.214Z
invalid_sample_id	72586	dbgi_20		Sedum lydium	20250625095313	7.113059	46.03267	Émilie Lab	2025-08-12T11:52:05.246Z
invalid_sample_id	72587	dbgi_21		Arum maculatum	20250625095625	7.1130404	46.03267	Émilie Lab	2025-08-12T11:52:05.281Z
invalid_sample_id	72588	dbgi_22		Bulbinella hookeri	20250625095923	7.113079	46.03268	Émilie Lab	2025-08-12T11:52:05.314Z
invalid_sample_id	72589	dbgi_23			20250625100221	7.1130457	46.032677	Émilie Lab	2025-08-12T11:52:05.341Z
invalid_sample_id	72590	dbgi_24		Cypripedium reginae	20250625100431	7.1130385	46.032684	Émilie Lab	2025-08-12T11:52:05.371Z
invalid_sample_id	72591	dbgi_25		Rhododendron carolinianum	20250625100636	7.1130567	46.032677	Émilie Lab	2025-08-12T11:52:05.402Z
invalid_sample_id	72592	dbgi_26		Blechnum spicant	20250625100907	7.1130824	46.03267	Émilie Lab	2025-08-12T11:52:05.432Z
invalid_sample_id	72593	dbgi_27		Ribes spicatum	20250625103340	7.113192	46.032578	Émilie Lab	2025-08-12T11:52:05.463Z
invalid_sample_id	72594	dbgi_28		Penstemon ovatus	20250625103604	7.1131907	46.03257	Émilie Lab	2025-08-12T11:52:05.490Z
invalid_sample_id	72595	dbgi_29		Tsuga canadensis	20250625103817	7.1133065	46.032593	Émilie Lab	2025-08-12T11:52:05.519Z
invalid_sample_id	72596	dbgi_30		Anthennaria canadensis	20250625104139	7.1133304	46.032585	Émilie Lab	2025-08-12T11:52:05.553Z
invalid_sample_id	72597	dbgi_31		Taxus baccata	20250625104344	7.11334	46.032578	Émilie Lab	2025-08-12T11:52:05.587Z
invalid_sample_id	72598	dbgi_32		Genista radiata	20250625104603	7.113218	46.032543	Émilie Lab	2025-08-12T11:52:05.617Z
invalid_sample_id	72599	dbgi_33		Asphodelus albus	20250625104735	7.1132917	46.03255	Émilie Lab	2025-08-12T11:52:05.644Z
invalid_sample_id	72600	dbgi_34		Colutea arborescens	20250625105340	7.113236	46.032578	Émilie Lab	2025-08-12T11:52:05.680Z
invalid_sample_id	72601	dbgi_35		Dianthus subacaulis	20250625110513	7.113278	46.032574	Émilie Lab	2025-08-12T11:52:05.709Z
invalid_sample_id	72602	dbgi_36		Lithospermum intermedium	20250625110811	7.11329	46.032623	Émilie Lab	2025-08-12T11:52:05.735Z
invalid_sample_id	72603	dbgi_37		Dianthus plumarius	20250625111046	7.1132565	46.032593	Émilie Lab	2025-08-12T11:52:05.764Z
invalid_sample_id	72604	dbgi_38		Helichrysum graveolens	20250625111454	7.113254	46.032593	Émilie Lab	2025-08-12T11:52:05.794Z
invalid_sample_id	72605	dbgi_39		Eriogonum umbellatum	20250625111723	7.1132383	46.032597	Émilie Lab	2025-08-12T11:52:05.830Z
