jbc_sample_id	canonical_candidate	candidate_count	candidate_projects	candidate_field_data_ids
dbgi_7	dbgi_000007	1	jbuf	66881
dbgi_8	dbgi_000008	1	jbuf	66847
dbgi_9	dbgi_000009	1	jbuf	66841
dbgi_10	dbgi_000010	1	jbuf	66896
dbgi_11	dbgi_000011	1	jbuf	66865
dbgi_12	dbgi_000012	1	jbuf	66869
dbgi_13	dbgi_000013	1	jbuf	66882
dbgi_14	dbgi_000014	1	jbuf	66834
dbgi_15	dbgi_000015	1	jbuf	66843
dbgi_16	dbgi_000016	1	jbuf	66903
dbgi_17	dbgi_000017	1	jbuf	66873
dbgi_18	dbgi_000018	1	jbuf	66854
dbgi_19	dbgi_000019	1	jbuf	66898
dbgi_20	dbgi_000020	1	jbuf	66879
dbgi_21	dbgi_000021	1	jbuf	66894
dbgi_22	dbgi_000022	1	jbuf	66886
dbgi_23	dbgi_000023	1	jbuf	66884
dbgi_24	dbgi_000024	1	jbuf	66877
dbgi_25	dbgi_000025	1	jbuf	66830
dbgi_26	dbgi_000026	1	jbuf	66905
dbgi_27	dbgi_000027	1	jbuf	66901
dbgi_28	dbgi_000028	1	jbuf	66891
dbgi_29	dbgi_000029	1	jbuf	66836
dbgi_30	dbgi_000030	1	jbuf	66875
dbgi_31	dbgi_000031	1	jbuf	66849
dbgi_32	dbgi_000032	1	jbuf	66840
dbgi_33	dbgi_000033	1	jbuf	66900
dbgi_34	dbgi_000034	1	jbuf	66944
dbgi_35	dbgi_000035	1	jbuf	66893
dbgi_36	dbgi_000036	1	jbuf	66947
dbgi_37	dbgi_000037	1	jbuf	66948
dbgi_38	dbgi_000038	1	jbuf	66949
dbgi_39	dbgi_000039	1	jbuf	66950
dbgi_40	dbgi_000040	1	jbuf	66867
dbgi_41	dbgi_000041	1	jbuf	66928
dbgi_42	dbgi_000042	1	jbuf	66908
dbgi_43	dbgi_000043	1	jbuf	66860
dbgi_44	dbgi_000044	1	jbuf	66925
dbgi_45	dbgi_000045	1	jbuf	66932
dbgi_46	dbgi_000046	1	jbuf	66915
dbgi_47	dbgi_000047	1	jbuf	66917
dbgi_48	dbgi_000048	1	jbuf	66831
dbgi_49	dbgi_000049	1	jbuf	66899
dbgi_50	dbgi_000050	1	jbuf	66887
dbgi_51	dbgi_000051	1	jbuf	66866
dbgi_52	dbgi_000052	1	jbuf	66862
dbgi_53	dbgi_000053	1	jbuf	66864
dbgi_54	dbgi_000054	1	jbuf	66927
dbgi_55	dbgi_000055	1	jbuf	66861
dbgi_56	dbgi_000056	1	jbuf	66850
dbgi_57	dbgi_000057	1	jbuf	66874
dbgi_58	dbgi_000058	1	jbuf	66935
dbgi_59	dbgi_000059	1	jbuf	66930
dbgi_60	dbgi_000060	1	jbuf	66921
dbgi_61	dbgi_000061	1	jbuf	66907
dbgi_62	dbgi_000062	1	jbuf	66936
dbgi_63	dbgi_000063	1	jbuf	66878
dbgi_64	dbgi_000064	1	jbuf	66931
dbgi_65	dbgi_000065	1	jbuf	66848
dbgi_66	dbgi_000066	1	jbuf	66839
dbgi_67	dbgi_000067	1	jbuf	66837
dbgi_68	dbgi_000068	1	jbuf	66916
dbgi_69	dbgi_000069	1	jbuf	66912
dbgi_70	dbgi_000070	1	jbuf	66943
dbgi_71	dbgi_000071	1	jbuf	66911
dbgi_72	dbgi_000072	1	jbuf	66919
dbgi_73	dbgi_000073	1	jbuf	66920
dbgi_74	dbgi_000074	1	jbuf	66926
dbgi_75	dbgi_000075	1	jbuf	66856
dbgi_76	dbgi_000076	1	jbuf	66895
dbgi_77	dbgi_000077	1	jbuf	66938
dbgi_78	dbgi_000078	1	jbuf	66929
dbgi_79	dbgi_000079	1	jbuf	66939
dbgi_80	dbgi_000080	1	jbuf	66853
dbgi_81	dbgi_000081	1	jbuf	66910
dbgi_82	dbgi_000082	1	jbuf	66858
dbgi_83	dbgi_000083	1	jbuf	66906
dbgi_84	dbgi_000084	1	jbuf	66933
dbgi_85	dbgi_000085	1	jbuf	66844
dbgi_86	dbgi_000086	1	jbuf	66835
dbgi_87	dbgi_000087	1	jbuf	66872
dbgi_88	dbgi_000088	1	jbuf	66892
dbgi_89	dbgi_000089	1	jbuf	66897
dbgi_90	dbgi_000090	1	jbuf	66883
dbgi_91	dbgi_000091	1	jbuf	66833
dbgi_92	dbgi_000092	1	jbuf	66902
dbgi_93	dbgi_000093	1	jbuf	66846
dbgi_94	dbgi_000094	1	jbuf	66940
dbgi_95	dbgi_000095	1	jbuf	66913
dbgi_96	dbgi_000096	1	jbuf	66904
dbgi_97	dbgi_000097	1	jbuf	66880
dbgi_98	dbgi_000098	1	jbuf	66870
dbgi_99	dbgi_000099	1	jbuf	66941
dbgi_100	dbgi_000100	1	jbuf	66914
dbgi_101	dbgi_000101	1	jbuf	66855
dbgi_102	dbgi_000102	1	jbuf	66842
dbgi_103	dbgi_000103	1	jbuf	66868
dbgi_104	dbgi_000104	1	jbuf	66934
dbgi_105	dbgi_000105	1	jbuf	66885
dbgi_106	dbgi_000106	1	jbuf	66876
dbgi_107	dbgi_000107	1	jbuf	66863
dbgi_108	dbgi_000108	1	jbuf	66857
dbgi_109	dbgi_000109	1	jbuf	66942
dbgi_110	dbgi_000110	1	jbuf	66918
dbgi_111	dbgi_000111	1	jbuf	66923
dbgi_112	dbgi_000112	1	jbuf	66946
dbgi_113	dbgi_000113	1	jbuf	66945
dbgi_114	dbgi_000114	1	jbuf	66888
dbgi_115	dbgi_000115	1	jbuf	66909
dbgi_116	dbgi_000116	1	jbuf	66924
dbgi_117	dbgi_000117	1	jbuf	66952
dbgi_118	dbgi_000118	1	jbuf	66859
dbgi_119	dbgi_000119	1	jbuf	66890
dbgi_120	dbgi_000120	1	jbuf	66937
dbgi_121	dbgi_000121	1	jbuf	66852
dbgi_122	dbgi_000122	1	jbuf	66922
dbgi_123	dbgi_000123	1	jbuf	66951
dbgi_124	dbgi_000124	1	jbuf	66953
dbgi_125	dbgi_000125	1	jbuf	66954
dbgi_126	dbgi_000126	1	jbuf	67037
dbgi_127	dbgi_000127	1	jbuf	67032
dbgi_128	dbgi_000128	1	jbuf	67026
dbgi_129	dbgi_000129	1	jbuf	67046
dbgi_379	dbgi_000379	1	jbuf	66043
dbgi_380	dbgi_000380	1	jbuf	65920
dbgi_381	dbgi_000381	1	jbuf	65915
dbgi_382	dbgi_000382	1	jbuf	65932
dbgi_383	dbgi_000383	1	jbuf	65923
dbgi_384	dbgi_000384	1	jbuf	65989
dbgi_385	dbgi_000385	1	jbuf	66017
dbgi_386	dbgi_000386	1	jbuf	65911
dbgi_387	dbgi_000387	1	jbuf	65943
dbgi_388	dbgi_000388	1	jbuf	66015
dbgi_389	dbgi_000389	1	jbuf	65941
dbgi_390	dbgi_000390	1	jbuf	65878
dbgi_391	dbgi_000391	1	jbuf	65895
dbgi_392	dbgi_000392	1	jbuf	66004
dbgi_393	dbgi_000393	1	jbuf	65927
dbgi_394	dbgi_000394	1	jbuf	65933
dbgi_395	dbgi_000395	1	jbuf	65936
dbgi_396	dbgi_000396	1	jbuf	65969
dbgi_397	dbgi_000397	1	jbuf	65997
dbgi_398	dbgi_000398	1	jbuf	66002
dbgi_399	dbgi_000399	1	jbuf	65961
dbgi_400	dbgi_000400	1	jbuf	65985
dbgi_401	dbgi_000401	1	jbuf	65979
dbgi_402	dbgi_000402	1	jbuf	65944
dbgi_403	dbgi_000403	1	jbuf	65922
dbgi_404	dbgi_000404	1	jbuf	65946
dbgi_405	dbgi_000405	1	jbuf	65931
dbgi_406	dbgi_000406	1	jbuf	65909
dbgi_407	dbgi_000407	1	jbuf	66008
dbgi_408	dbgi_000408	1	jbuf	66001
dbgi_409	dbgi_000409	1	jbuf	66007
dbgi_410	dbgi_000410	1	jbuf	65903
dbgi_411	dbgi_000411	1	jbuf	65965
dbgi_412	dbgi_000412	1	jbuf	65925
dbgi_413	dbgi_000413	1	jbuf	65948
dbgi_414	dbgi_000414	1	jbuf	65959
dbgi_415	dbgi_000415	1	jbuf	65973
dbgi_416	dbgi_000416	1	jbuf	66021
dbgi_417	dbgi_000417	1	jbuf	66003
dbgi_418	dbgi_000418	1	jbuf	66011
dbgi_419	dbgi_000419	1	jbuf	66006
dbgi_420	dbgi_000420	1	jbuf	65957
dbgi_421	dbgi_000421	1	jbuf	65972
dbgi_422	dbgi_000422	1	jbuf	65962
dbgi_423	dbgi_000423	1	jbuf	65967
dbgi_424	dbgi_000424	1	jbuf	65938
dbgi_425	dbgi_000425	1	jbuf	65906
dbgi_426	dbgi_000426	1	jbuf	65912
dbgi_427	dbgi_000427	1	jbuf	65954
dbgi_428	dbgi_000428	1	jbuf	65898
dbgi_429	dbgi_000429	1	jbuf	66012
dbgi_430	dbgi_000430	1	jbuf	65902
dbgi_431	dbgi_000431	1	jbuf	65983
dbgi_432	dbgi_000432	1	jbuf	65960
dbgi_433	dbgi_000433	1	jbuf	66010
dbgi_434	dbgi_000434	1	jbuf	65907
dbgi_435	dbgi_000435	1	jbuf	65998
dbgi_436	dbgi_000436	1	jbuf	65993
dbgi_437	dbgi_000437	1	jbuf	65894
