qfield_project	sample_id	ms_filename	ms_data_id	ms_parent_container_id	resolution_path	resolution_status	injection_method	taxon_name_unified	taxon_name	sample_name
bioblitz_vinesch	vine_000082	20250804_114035_CVOL_20250319_PMA_C18_DDA_neg_vine_000082_01_01	3024	vine_000082_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Berberis vulgaris	Berberis vulgaris	
bioblitz_vinesch	vine_000082	20250804_114035_CVOL_20250319_PMA_C18_DDA_pos_vine_000082_01_01	3023	vine_000082_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Berberis vulgaris	Berberis vulgaris	
bioblitz_vinesch	vine_000086	20250804_114035_CVOL_20250319_PMA_C18_DDA_neg_vine_000086_01_02	2888	vine_000086_01_02	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Berberis vulgaris	Berberis vulgaris	
bioblitz_vinesch	vine_000086	20250804_114035_CVOL_20250319_PMA_C18_DDA_pos_vine_000086_01_02	2887	vine_000086_01_02	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Berberis vulgaris	Berberis vulgaris	
bioblitz_vinesch	vine_000091	20250804_114035_CVOL_20250319_PMA_C18_DDA_neg_vine_000091_01_01	2990	vine_000091_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Stachys recta	Stachys recta	
bioblitz_vinesch	vine_000091	20250804_114035_CVOL_20250319_PMA_C18_DDA_pos_vine_000091_01_01	2989	vine_000091_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Stachys recta	Stachys recta	
bioblitz_vinesch	vine_000092	202504301430_CVOL_vine_000092_01_01	1892	vine_000092_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Coleoptera	Coleoptera	
bioblitz_vinesch	vine_000092	202504301443_CVOL_vine_000092_01_01	1899	vine_000092_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Coleoptera	Coleoptera	
bioblitz_vinesch	vine_000094	20250804_114035_CVOL_20250319_PMA_C18_DDA_neg_vine_000094_01_01	3010	vine_000094_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Angiospermae	Angiospermae	
bioblitz_vinesch	vine_000094	20250804_114035_CVOL_20250319_PMA_C18_DDA_pos_vine_000094_01_01	3009	vine_000094_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Angiospermae	Angiospermae	
bioblitz_vinesch	vine_000097	20250804_114035_CVOL_20250319_PMA_C18_DDA_neg_vine_000097_01_01	3020	vine_000097_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Orthoptera	Orthoptera	
bioblitz_vinesch	vine_000097	20250804_114035_CVOL_20250319_PMA_C18_DDA_pos_vine_000097_01_01	3019	vine_000097_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Orthoptera	Orthoptera	
bioblitz_vinesch	vine_000101	20250807_133921_CVOL_20250319_PMA_C18_DDA_neg_vine_000101_01_01	3118	vine_000101_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Fungi	Fungi	
bioblitz_vinesch	vine_000101	20250807_133921_CVOL_20250319_PMA_C18_DDA_pos_vine_000101_01_01	3117	vine_000101_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Fungi	Fungi	
bioblitz_vinesch	vine_000105	20250807_133921_CVOL_20250319_PMA_C18_DDA_neg_vine_000105_01_01	3070	vine_000105_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Angiospermae	Angiospermae	
bioblitz_vinesch	vine_000105	20250807_133921_CVOL_20250319_PMA_C18_DDA_pos_vine_000105_01_01	3069	vine_000105_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Angiospermae	Angiospermae	
bioblitz_vinesch	vine_000106	20250804_114035_CVOL_20250319_PMA_C18_DDA_neg_vine_000106_01_01	3018	vine_000106_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Equisetum	Equisetum	
bioblitz_vinesch	vine_000106	20250804_114035_CVOL_20250319_PMA_C18_DDA_pos_vine_000106_01_01	3017	vine_000106_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Equisetum	Equisetum	
bioblitz_vinesch	vine_000108	20250804_114035_CVOL_20250319_PMA_C18_DDA_neg_vine_000108_01_01	2932	vine_000108_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Angiospermae	Angiospermae	
bioblitz_vinesch	vine_000108	20250804_114035_CVOL_20250319_PMA_C18_DDA_pos_vine_000108_01_01	2931	vine_000108_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Angiospermae	Angiospermae	
bioblitz_vinesch	vine_000126	20250804_114035_CVOL_20250319_PMA_C18_DDA_neg_vine_000126_01_01	2928	vine_000126_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Petrosedum montanum	Petrosedum montanum	
bioblitz_vinesch	vine_000126	20250804_114035_CVOL_20250319_PMA_C18_DDA_pos_vine_000126_01_01	2927	vine_000126_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Petrosedum montanum	Petrosedum montanum	
bioblitz_vinesch	vine_000129	20250804_114035_CVOL_20250319_PMA_C18_DDA_neg_vine_000129_01_02	2930	vine_000129_01_02	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Angiospermae	Angiospermae	
bioblitz_vinesch	vine_000129	20250804_114035_CVOL_20250319_PMA_C18_DDA_pos_vine_000129_01_02	2929	vine_000129_01_02	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Angiospermae	Angiospermae	
bioblitz_vinesch	vine_000132	20250804_114035_CVOL_20250319_PMA_C18_DDA_neg_vine_000132_01_01	3014	vine_000132_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Suillus granulatus	Suillus granulatus	
bioblitz_vinesch	vine_000132	20250804_114035_CVOL_20250319_PMA_C18_DDA_pos_vine_000132_01_01	3013	vine_000132_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Suillus granulatus	Suillus granulatus	
bioblitz_vinesch	vine_000136	20250807_133921_CVOL_20250319_PMA_C18_DDA_neg_vine_000136_01_01	3190	vine_000136_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Allium oleraceum	Allium oleraceum	
bioblitz_vinesch	vine_000136	20250807_133921_CVOL_20250319_PMA_C18_DDA_pos_vine_000136_01_01	3189	vine_000136_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Allium oleraceum	Allium oleraceum	
bioblitz_vinesch	vine_000137	20250807_133921_CVOL_20250319_PMA_C18_DDA_neg_vine_000137_01_01	3194	vine_000137_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Tragopogon dubius	Tragopogon dubius	
bioblitz_vinesch	vine_000137	20250807_133921_CVOL_20250319_PMA_C18_DDA_pos_vine_000137_01_01	3193	vine_000137_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Tragopogon dubius	Tragopogon dubius	
bioblitz_vinesch	vine_000147	20250611_140952_HC_20250319_PMA_C18_DDA_neg_vine_000147_01_01	2548	vine_000147_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Vitis vinifera	Vitis vinifera	
bioblitz_vinesch	vine_000147	20250611_140952_HC_20250319_PMA_C18_DDA_pos_vine_000147_01_01	2547	vine_000147_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Vitis vinifera	Vitis vinifera	
bioblitz_vinesch	vine_000151	20250804_114035_CVOL_20250319_PMA_C18_DDA_neg_vine_000151_01_01	3000	vine_000151_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Angiospermae	Angiospermae	
bioblitz_vinesch	vine_000151	20250804_114035_CVOL_20250319_PMA_C18_DDA_pos_vine_000151_01_01	2999	vine_000151_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Angiospermae	Angiospermae	
bioblitz_vinesch	vine_000158	202504301430_CVOL_vine_000158_01_01	1863	vine_000158_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Clematis	Clematis	
bioblitz_vinesch	vine_000158	202504301443_CVOL_vine_000158_01_01	1900	vine_000158_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Clematis	Clematis	
bioblitz_vinesch	vine_000161	20250807_133921_CVOL_20250319_PMA_C18_DDA_neg_vine_000161_01_01	3094	vine_000161_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Angiospermae	Angiospermae	
bioblitz_vinesch	vine_000161	20250807_133921_CVOL_20250319_PMA_C18_DDA_pos_vine_000161_01_01	3093	vine_000161_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Angiospermae	Angiospermae	
bioblitz_vinesch	vine_000163	202504301430_CVOL_vine_000163_01_01	1874	vine_000163_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Diptera	Diptera	
bioblitz_vinesch	vine_000163	202504301443_CVOL_vine_000163_01_01	1901	vine_000163_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Diptera	Diptera	
bioblitz_vinesch	vine_000164	20250804_114035_CVOL_20250319_PMA_C18_DDA_neg_vine_000164_01_01	2944	vine_000164_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Plantae	Plantae	
bioblitz_vinesch	vine_000164	20250804_114035_CVOL_20250319_PMA_C18_DDA_pos_vine_000164_01_01	2943	vine_000164_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Plantae	Plantae	
