qfield_project	sample_id	ms_filename	ms_data_id	ms_parent_container_id	resolution_path	resolution_status	injection_method	taxon_name_unified	taxon_name	sample_name
champex_gradient	grad_000001	20260903_Mazz_Sample_grad_000001_01	5479	grad_000001_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Achillea millefolium	Achillea millefolium	
champex_gradient	grad_000002	20261003_Mazz_Sample_grad_000002_01	5624	grad_000002_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Juniperus communis	Juniperus communis	
champex_gradient	grad_000003	20261003_Mazz_Sample_grad_000003_01	5617	grad_000003_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Larix decidua	Larix decidua	
champex_gradient	grad_000004	20260903_Mazz_Sample_grad_000004_01	5542	grad_000004_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Thymus sepyllum	Thymus sepyllum	
champex_gradient	grad_000005	20261103_Mazz_Sample_grad_000005_01	5712	grad_000005_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Larix decidua	Larix decidua	
champex_gradient	grad_000006	20260903_Mazz_Sample_grad_000006_01	5482	grad_000006_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Arnica montana	Arnica montana	
champex_gradient	grad_000007	20261203_Mazz_Sample_grad_000007_01	5806	grad_000007_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Geranium robertiarum	Geranium robertiarum	
champex_gradient	grad_000008	20261103_Mazz_Sample_grad_000008_01	5686	grad_000008_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Rhododendron ferrugineum	Rhododendron ferrugineum	
champex_gradient	grad_000010	20260903_Mazz_Sample_grad_000010_01	5496	grad_000010_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Trifolium pratense	Trifolium pratense	
champex_gradient	grad_000012	20260903_Mazz_Sample_grad_000012_01	5511	grad_000012_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Leontodon hispidus	Leontodon hispidus	
champex_gradient	grad_000015	20261003_Mazz_Sample_grad_000015_01	5638	grad_000015_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Campanula barbata	Campanula barbata	
champex_gradient	grad_000016	20261103_Mazz_Sample_grad_000016_01	5649	grad_000016_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Epilobium angustifolium	Epilobium angustifolium	
champex_gradient	grad_000018	20260903_Mazz_Sample_grad_000018_01	5523	grad_000018_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Rhododendron ferrugineum	Rhododendron ferrugineum	
champex_gradient	grad_000019	20261203_Mazz_Sample_grad_000019_01	5783	grad_000019_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Sedum album	Sedum album	
champex_gradient	grad_000020	20261203_Mazz_Sample_grad_000020_01	5780	grad_000020_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Sedum album	Sedum album	
champex_gradient	grad_000021	20260903_Mazz_Sample_grad_000021_01	5506	grad_000021_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Anthoxanthum odoratum	Anthoxanthum odoratum	
champex_gradient	grad_000022	20260903_Mazz_Sample_grad_000022_01	5498	grad_000022_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Sempervivum montanum	Sempervivum montanum	
champex_gradient	grad_000023	20261303_Mazz_Sample_grad_000023_01	5846	grad_000023_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Sempervivum montanum	Sempervivum montanum	
champex_gradient	grad_000024	20261203_Mazz_Sample_grad_000024_01	5748	grad_000024_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Gentiana acaulis	Gentiana acaulis	
champex_gradient	grad_000025	20261103_Mazz_Sample_grad_000025_01	5668	grad_000025_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Vaccinium vitis idaea	Vaccinium vitis idaea	
champex_gradient	grad_000026	20260903_Mazz_Sample_grad_000026_01	5492	grad_000026_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Geranium purpureum	Geranium purpureum	
champex_gradient	grad_000027	20261103_Mazz_Sample_grad_000027_01	5642	grad_000027_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Cynanchica aristata	Cynanchica aristata	
champex_gradient	grad_000029	20261003_Mazz_Sample_grad_000029_01	5585	grad_000029_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Gentiana acaulis	Gentiana acaulis	
champex_gradient	grad_000030	20261103_Mazz_Sample_grad_000030_01	5715	grad_000030_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Geranium robertiarum	Geranium robertiarum	
champex_gradient	grad_000031	20260903_Mazz_Sample_grad_000031_01	5493	grad_000031_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Trifolium pratense	Trifolium pratense	
champex_gradient	grad_000033	20261103_Mazz_Sample_grad_000033_01	5701	grad_000033_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Pulsatilla alpina	Pulsatilla alpina	
champex_gradient	grad_000034	20260903_Mazz_Sample_grad_000034_01	5480	grad_000034_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Arnica montana	Arnica montana	
champex_gradient	grad_000037	20261003_Mazz_Sample_grad_000037_01	5601	grad_000037_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Campanula barbata	Campanula barbata	
champex_gradient	grad_000040	20261303_Mazz_Sample_grad_000040_01	5833	grad_000040_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Rhododendron ferrugineum	Rhododendron ferrugineum	
champex_gradient	grad_000041	20261203_Mazz_Sample_grad_000041_01	5735	grad_000041_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Cornus sanguinea	Cornus sanguinea	
champex_gradient	grad_000042	20261203_Mazz_Sample_grad_000042_01	5773	grad_000042_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Sempervirum tectorum	Sempervirum tectorum	
champex_gradient	grad_000043	20261103_Mazz_Sample_grad_000043_01	5702	grad_000043_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Leucanthemopsis alpina	Leucanthemopsis alpina	
champex_gradient	grad_000044	20260903_Mazz_Sample_grad_000044_01	5485	grad_000044_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Trifolium pratense	Trifolium pratense	
