qfield_project	sample_id	ms_filename	ms_data_id	ms_parent_container_id	resolution_path	resolution_status	injection_method	taxon_name_unified	taxon_name	sample_name
heloise_bachelor_FiBL	fibl_000001	202405171439_HC_fibl_000001_01_01	1333	fibl_000001_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_ELON_pos	Cynara		Cynara
heloise_bachelor_FiBL	fibl_000001	202405171521_CVOL_fibl_000001_01_01	1459	fibl_000001_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_neg	Cynara		Cynara
heloise_bachelor_FiBL	fibl_000002	202405171439_HC_fibl_000002_01_01	1334	fibl_000002_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_ELON_pos	Unknown		Unknown
heloise_bachelor_FiBL	fibl_000002	202405171521_CVOL_fibl_000002_01_01	1460	fibl_000002_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_neg	Unknown		Unknown
heloise_bachelor_FiBL	fibl_000003	202405171439_HC_fibl_000003_01_01	1335	fibl_000003_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_ELON_pos	Solanum tuberosum		Solanum tuberosum
heloise_bachelor_FiBL	fibl_000003	202405171521_CVOL_fibl_000003_01_01	1461	fibl_000003_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_neg	Solanum tuberosum		Solanum tuberosum
heloise_bachelor_FiBL	fibl_000004	202405171439_HC_fibl_000004_01_01	1336	fibl_000004_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_ELON_pos	Poaceae		Poaceae
heloise_bachelor_FiBL	fibl_000004	202405171521_CVOL_fibl_000004_01_01	1462	fibl_000004_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_neg	Poaceae		Poaceae
heloise_bachelor_FiBL	fibl_000005	202405171439_HC_fibl_000005_01_01	1337	fibl_000005_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_ELON_pos	Mixte		Mixte
heloise_bachelor_FiBL	fibl_000005	202405171521_CVOL_fibl_000005_01_01	1463	fibl_000005_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_neg	Mixte		Mixte
heloise_bachelor_FiBL	fibl_000006	202405171439_HC_fibl_000006_01_01	1338	fibl_000006_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_ELON_pos	Solanum tuberosum		Solanum tuberosum
