qfield_project	sample_id	ms_filename	ms_data_id	ms_parent_container_id	resolution_path	resolution_status	injection_method	taxon_name_unified	taxon_name	sample_name
jbc	dbgi_001368	20262605_dbgi_001368_01	4415	dbgi_001368_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Vaccinium myrtillus	Vaccinium myrtillus	
jbc	dbgi_001575	20262605_dbgi_001575_01	4358	dbgi_001575_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Vaccinium vitis-idaea	Vaccinium vitis-idaea	
jbc	dbgi_004122	20262605_dbgi_004122_01	4376	dbgi_004122_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Anthoxanthum odoratum	Anthoxanthum odoratum	
jbc	dbgi_004163	20262605_dbgi_004163_01	4393	dbgi_004163_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Larix decidua	Larix decidua	
jbc	dbgi_004270	20262605_dbgi_004270_01	4412	dbgi_004270_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Salix helvetica	Salix helvetica	
jbc	dbgi_004287	20262605_dbgi_004287_01	4395	dbgi_004287_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Salix retusa	Salix retusa	
jbc	dbgi_004288	20262605_dbgi_004288_01	4366	dbgi_004288_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Prenanthes purpurea	Prenanthes purpurea	
jbc	dbgi_004291	20262605_dbgi_004291_01	4442	dbgi_004291_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Scabiosa lucida	Scabiosa lucida	
jbc	dbgi_006603	20262605_dbgi_006603_01	4424	dbgi_006603_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Sedum rupestre	Sedum rupestre	
jbc	dbgi_006607	20262605_dbgi_006607_01	4446	dbgi_006607_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Thymus serpyllum	Thymus serpyllum	
jbc	dbgi_006624	20262605_dbgi_006624_01	4356	dbgi_006624_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Leontodon hispidus	Leontodon hispidus	
jbc	dbgi_006626	20262605_dbgi_006626_01	4417	dbgi_006626_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Arrhenatherum elatius	Arrhenatherum elatius	
jbc	dbgi_006628	20262605_dbgi_006628_01	4409	dbgi_006628_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Ranunculus acris	Ranunculus acris	
jbc	dbgi_006630	20262605_dbgi_006630_01	4364	dbgi_006630_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Thymus serpyllum	Thymus serpyllum	
jbc	dbgi_006633	20262605_dbgi_006633_01	4388	dbgi_006633_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Sali hastata	Sali hastata	
jbc	dbgi_006648	20262605_dbgi_006648_01	4426	dbgi_006648_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Cornus sanguinea	Cornus sanguinea	
jbc	dbgi_006655	20262605_dbgi_006655_01	4386	dbgi_006655_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Glechoma hederacea	Glechoma hederacea	
jbc	dbgi_006663	20262605_dbgi_006663_01	4422	dbgi_006663_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Plantago lanceolata	Plantago lanceolata	
jbc	dbgi_006689	20262605_dbgi_006689_01	4354	dbgi_006689_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Aegopodium podagraria	Aegopodium podagraria	
jbc	dbgi_006704	20262605_dbgi_006704_01	4357	dbgi_006704_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Achillea millefolium	Achillea millefolium	
jbc	dbgi_006708	20262605_dbgi_006708_01	4379	dbgi_006708_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Gentiana purpurea	Gentiana purpurea	
jbc	dbgi_006718	20262605_dbgi_006718_01	4392	dbgi_006718_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Hieracium murorum	Hieracium murorum	
jbc	dbgi_006723	20262605_dbgi_006723_01	4389	dbgi_006723_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Achillea millefolium	Achillea millefolium	
jbc	dbgi_006755	20262605_dbgi_006755_01	4369	dbgi_006755_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Lapsana communis	Lapsana communis	
jbc	dbgi_006767	20262605_dbgi_006767_01	4384	dbgi_006767_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Salix retusa	Salix retusa	
jbc	dbgi_006788	20262605_dbgi_006788_01	4367	dbgi_006788_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Carlina acaulis	Carlina acaulis	
jbc	dbgi_006797	20262605_dbgi_006797_01	4378	dbgi_006797_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Saxifraga apiculata	Saxifraga apiculata	
jbc	dbgi_006811	20262605_dbgi_006811_01	4410	dbgi_006811_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Juniperus communis	Juniperus communis	
jbc	dbgi_006863	20262605_dbgi_006863_01	4374	dbgi_006863_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Cornus sanguinea	Cornus sanguinea	
jbc	dbgi_006878	20262605_dbgi_006878_01	4454	dbgi_006878_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Hieracium murorum	Hieracium murorum	
jbc	dbgi_006884	20262605_dbgi_006884_01	4368	dbgi_006884_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Thymus serpyllum	Thymus serpyllum	
jbc	dbgi_006887	20262605_dbgi_006887_01	4407	dbgi_006887_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Sempervivum tectorum	Sempervivum tectorum	
jbc	dbgi_006900	20262605_dbgi_006900_01	4399	dbgi_006900_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Acer campestre	Acer campestre	
jbc	dbgi_006936	20262605_dbgi_006936_01	4397	dbgi_006936_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Pinus cembra	Pinus cembra	
jbc	dbgi_007046	20262605_dbgi_007046_01	4371	dbgi_007046_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Dryas octopetala	Dryas octopetala	
jbc	dbgi_007048	20262605_dbgi_007048_01	4427	dbgi_007048_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Sorbus aucuparia	Sorbus aucuparia	
jbc	dbgi_007053	20262605_dbgi_007053_01	4449	dbgi_007053_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Vaccinium vitis-idaea	Vaccinium vitis-idaea	
jbc	dbgi_007054	20262605_dbgi_007054_01	4396	dbgi_007054_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Arnica montana	Arnica montana	
jbc	dbgi_007055	20262605_dbgi_007055_01	4413	dbgi_007055_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Sempervivum tectorum	Sempervivum tectorum	
jbc	dbgi_007061	20262605_dbgi_007061_01	4451	dbgi_007061_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Iris missouriensis	Iris missouriensis	
jbc	dbgi_007080	20262605_dbgi_007080_01	4440	dbgi_007080_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Campanula barbata	Campanula barbata	
jbc	dbgi_007126	20262605_dbgi_007126_01	4435	dbgi_007126_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Saxifraga paniculata	Saxifraga paniculata	
jbc	dbgi_007170	20262605_dbgi_007170_01	4363	dbgi_007170_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Carlina acaulis	Carlina acaulis	
jbc	dbgi_008380	20260903_Mazz_Sample_dbgi_008380_01	4479	dbgi_008380_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Sedum reflexum	Sedum reflexum	
jbc	dbgi_008384	20262605_dbgi_008384_01	4431	dbgi_008384_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Astrantia major	Astrantia major	
jbc	dbgi_008391	20261003_Mazz_Sample_dbgi_008391_01	4474	dbgi_008391_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Achillea millefolium	Achillea millefolium	
jbc	dbgi_008409	20261003_Mazz_Sample_dbgi_008409_01	4473	dbgi_008409_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Arctostaphylos uva-ursi	Arctostaphylos uva-ursi	
jbc	dbgi_008409	20262605_dbgi_008409_02_01	4403	dbgi_008409_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Arctostaphylos uva-ursi	Arctostaphylos uva-ursi	
jbc	dbgi_008411	20261003_Mazz_Sample_dbgi_008411_01	4472	dbgi_008411_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Thymus pulegioides	Thymus pulegioides	
