qfield_project	sample_id	ms_filename	ms_data_id	ms_parent_container_id	resolution_path	resolution_status	injection_method	taxon_name_unified	taxon_name	sample_name
jbn	dbgi_001938	250410_ML_Metabo_DDA_sample_555_nr8	4016	dbgi_001938_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Coronilla	Coronilla	
jbn	dbgi_001941	250407_ML_Metabo_DDA_sample_286_nr8	3770	dbgi_001941_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Salix	Salix	
jbn	dbgi_001943	250409_ML_Metabo_DDA_sample_468_nr8	3938	dbgi_001943_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Verbascum_nigrum_L	Verbascum_nigrum_L	
jbn	dbgi_001946	250404_ML_Metabo_DDA_sample_189_nr8	3675	dbgi_001946_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Calendula_officinalis_L	Calendula_officinalis_L	
jbn	dbgi_001947	250410_ML_Metabo_DDA_sample_493_nr8	3962	dbgi_001947_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Bryonia	Bryonia	
jbn	dbgi_001951	250409_ML_Metabo_DDA_sample_470_nr8	3940	dbgi_001951_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Frangula_alnus_MilL	Frangula_alnus_MilL	
jbn	dbgi_001953	250403_ML_Metabo_DDA_sample_86_nr8	3635	dbgi_001953_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Rosa x damascena		
jbn	dbgi_001956	250404_ML_Metabo_DDA_sample_249_nr8	3731	dbgi_001956_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Daucus_carota_L	Daucus_carota_L	
jbn	dbgi_001957	250414_ML_Metabo_DDA_sample_732_nr8	4175	dbgi_001957_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Filipendula_ulmaria_L_Maxim	Filipendula_ulmaria_L_Maxim	
jbn	dbgi_001959	250404_ML_Metabo_DDA_sample_177_nr8	3663	dbgi_001959_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Rosa x bornoniana		
jbn	dbgi_001960	250403_ML_Metabo_DDA_sample_127_nr8	3599	dbgi_001960_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Heracleum_sphondylium_L	Heracleum_sphondylium_L	
jbn	dbgi_001961	250409_ML_Metabo_DDA_sample_431_nr8	3904	dbgi_001961_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Capsicum_annuum_L	Capsicum_annuum_L	
jbn	dbgi_001963	250403_ML_Metabo_DDA_sample_132_nr8	3604	dbgi_001963_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Achillea_millefolium_L	Achillea_millefolium_L	
jbn	dbgi_001964	250407_ML_Metabo_DDA_sample_321_nr8	3805	dbgi_001964_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Carum_carvi_L	Carum_carvi_L	
jbn	dbgi_001966	250416_ML_Metabo_DDA_sample_879_nr8	4318	dbgi_001966_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Galium_lucidum_AlL	Galium_lucidum_AlL	
jbn	dbgi_001968	250407_ML_Metabo_DDA_sample_293_nr8	3777	dbgi_001968_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Ferula_assa_foetida_L	Ferula_assa_foetida_L	
jbn	dbgi_001971	250403_ML_Metabo_DDA_sample_149_nr8	3620	dbgi_001971_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Silene_vallesia_L	Silene_vallesia_L	
jbn	dbgi_001972	250407_ML_Metabo_DDA_sample_319_nr8	3803	dbgi_001972_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Tamus_communis_L	Tamus_communis_L	
jbn	dbgi_001974	250408_ML_Metabo_DDA_sample_365_nr8	3847	dbgi_001974_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Calluna_vulgaris_L_Hull	Calluna_vulgaris_L_Hull	
jbn	dbgi_001975	250410_ML_Metabo_DDA_sample_557_nr8	4018	dbgi_001975_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Fragaria_vesca_L	Fragaria_vesca_L	
jbn	dbgi_001978	250408_ML_Metabo_DDA_sample_384_nr8	3863	dbgi_001978_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Rosa_canina_L	Rosa_canina_L	
jbn	dbgi_001980	250403_ML_Metabo_DDA_sample_99_nr8	3645	dbgi_001980_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Primula_veris_L	Primula_veris_L	
jbn	dbgi_001981	250410_ML_Metabo_DDA_sample_544_nr8	4007	dbgi_001981_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Cucumis	Cucumis	
jbn	dbgi_001982	250411_ML_Metabo_DDA_sample_608_nr8	4064	dbgi_001982_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Hieracium_murorum_auct	Hieracium_murorum_auct	
jbn	dbgi_001983	250409_ML_Metabo_DDA_sample_452_nr8	3922	dbgi_001983_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Rubus	Rubus	
jbn	dbgi_001984	250408_ML_Metabo_DDA_sample_400_nr8	3877	dbgi_001984_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Atropa_bella_donna_L	Atropa_bella_donna_L	
jbn	dbgi_001985	250410_ML_Metabo_DDA_sample_499_nr8	3968	dbgi_001985_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Cornus_mas_L	Cornus_mas_L	
jbn	dbgi_001987	250410_ML_Metabo_DDA_sample_512_nr8	3977	dbgi_001987_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Papaver_somniferum_L	Papaver_somniferum_L	
jbn	dbgi_001988	250417_ML_Metabo_DDA_sample_890_nr8	4329	dbgi_001988_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Allium sativum		
jbn	dbgi_001991	250408_ML_Metabo_DDA_sample_373_nr8	3855	dbgi_001991_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Lonicera_xylosteum_L	Lonicera_xylosteum_L	
jbn	dbgi_001992	250403_ML_Metabo_DDA_sample_105_nr8	3577	dbgi_001992_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Salvia_officinalis_L	Salvia_officinalis_L	
jbn	dbgi_001993	250408_ML_Metabo_DDA_sample_353_nr8	3836	dbgi_001993_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos			
jbn	dbgi_001994	250408_ML_Metabo_DDA_sample_372_nr8	3854	dbgi_001994_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Galium_verum_L	Galium_verum_L	
jbn	dbgi_001995	250411_ML_Metabo_DDA_sample_649_nr8	4100	dbgi_001995_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Solanum	Solanum	
