qfield_project	sample_id	ms_filename	ms_data_id	ms_parent_container_id	resolution_path	resolution_status	injection_method	taxon_name_unified	taxon_name	sample_name
jbp	dbgi_009918	20260427_144110_KK_general_ms2_pos_dbgi_009918_01_01	3455	dbgi_009918_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Zamia stricta		
jbp	dbgi_009922	20260427_144110_KK_general_ms2_pos_dbgi_009922_02_01	3482	dbgi_009922_02_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Afrocarpus gaussenii	Afrocarpus gaussenii	
jbp	dbgi_009924	20260427_115339_KK_general_ms2_pos_dbgi_009924_01_01	3440	dbgi_009924_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Zamia stricta		
jbp	dbgi_009939	20260427_115339_KK_general_ms2_pos_dbgi_009939_01_01	3435	dbgi_009939_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Persicaria odorata	Persicaria odorata	
jbp	dbgi_009940	20260427_144110_KK_general_ms2_pos_dbgi_009940_01_01	3444	dbgi_009940_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Pavonia candida		
jbp	dbgi_009942	20260427_144110_KK_general_ms2_pos_dbgi_009942_01_01	3474	dbgi_009942_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Brunfelsia grandiflora	Brunfelsia grandiflora	
jbp	dbgi_009943	20260427_144110_KK_general_ms2_pos_dbgi_009943_01_01	3489	dbgi_009943_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Persicaria odorata	Persicaria odorata	
jbp	dbgi_009948	20260427_144110_KK_general_ms2_pos_dbgi_009948_01_01	3446	dbgi_009948_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos		Erica arborea	
jbp	dbgi_009964	20260427_144110_KK_general_ms2_pos_dbgi_009964_02_01	3447	dbgi_009964_02_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Iris x norrisii	Iris x norrisii	
jbp	dbgi_009967	20260427_144110_KK_general_ms2_pos_dbgi_009967_01_01	3477	dbgi_009967_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Fragaria chiloensis	Fragaria chiloensis	
jbp	dbgi_009968	20260427_144110_KK_general_ms2_pos_dbgi_009968_01_01	3445	dbgi_009968_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Afrocarpus gaussenii	Afrocarpus gaussenii	
jbp	dbgi_009976	20260427_144110_KK_general_ms2_pos_dbgi_009976_01_01	3449	dbgi_009976_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Fragaria chiloensis	Fragaria chiloensis	
jbp	dbgi_009978	20260427_144110_KK_general_ms2_pos_dbgi_009978_01_01	3494	dbgi_009978_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Plectranthus scaposus	Plectranthus scaposus	
jbp	dbgi_009979	20260427_144110_KK_general_ms2_pos_dbgi_009979_01_01	3473	dbgi_009979_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Camellia sinensis	Camellia sinensis	
jbp	dbgi_009981	20260427_144110_KK_general_ms2_pos_dbgi_009981_01_01	3488	dbgi_009981_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Camellia sinensis	Camellia sinensis	
jbp	dbgi_009982	20260427_144110_KK_general_ms2_pos_dbgi_009982_01_01	3481	dbgi_009982_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Brunfelsia grandiflora	Brunfelsia grandiflora	
jbp	dbgi_009985	20260427_115339_KK_general_ms2_pos_dbgi_009985_01_01	3433	dbgi_009985_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Salvinia molesta		
jbp	dbgi_009997	20260427_144110_KK_general_ms2_pos_dbgi_009997_01_01	3487	dbgi_009997_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Drimys winteri	Drimys winteri	
jbp	dbgi_010006	20260427_144110_KK_general_ms2_pos_dbgi_010006_01_01	3475	dbgi_010006_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Anthurium dombeyanum	Anthurium dombeyanum	
jbp	dbgi_010015	20260427_122536_KK_general_ms2_pos_dbgi_010015_01_01	3441	dbgi_010015_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Pavonia candida		
