qfield_project	sample_id	ms_filename	ms_data_id	ms_parent_container_id	resolution_path	resolution_status	injection_method	taxon_name_unified	taxon_name	sample_name
jbuf	dbgi_000518	20250721_110658_CVOL_20250319_PMA_C18_DDA_pos_dbgi_000518_01_01	2589	dbgi_000518_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Cimicifuga foetida L.		Cimicifuga foetida L.
jbuf	dbgi_000518	20250721_111756_CVOL_20250319_PMA_C18_DDA_neg_dbgi_000518_01_01	2670	dbgi_000518_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Cimicifuga foetida L.		Cimicifuga foetida L.
jbuf	dbgi_000545	20250721_110658_CVOL_20250319_PMA_C18_DDA_pos_dbgi_000545_01_01	2601	dbgi_000545_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Sorghum saccharatum convar. technicum (Koern.) Tzvelev		Sorghum saccharatum convar. technicum (Koern.) Tzvelev
jbuf	dbgi_000545	20250721_111756_CVOL_20250319_PMA_C18_DDA_neg_dbgi_000545_01_01	2682	dbgi_000545_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Sorghum saccharatum convar. technicum (Koern.) Tzvelev		Sorghum saccharatum convar. technicum (Koern.) Tzvelev
jbuf	dbgi_000960	20250721_110658_CVOL_20250319_PMA_C18_DDA_pos_dbgi_000960_01_01	2566	dbgi_000960_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Arundo donax L.		Arundo donax L.
jbuf	dbgi_000960	20250721_111756_CVOL_20250319_PMA_C18_DDA_neg_dbgi_000960_01_01	2647	dbgi_000960_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Arundo donax L.		Arundo donax L.
jbuf	dbgi_000975	20250724_103036_CVOL_20250319_PMA_C18_DDA_neg_dbgi_000975_01_01	2734	dbgi_000975_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Bromus hordeaceus L. s.l.		Bromus hordeaceus L. s.l.
jbuf	dbgi_000975	20250724_103036_CVOL_20250319_PMA_C18_DDA_pos_dbgi_000975_01_01	2733	dbgi_000975_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Bromus hordeaceus L. s.l.		Bromus hordeaceus L. s.l.
jbuf	dbgi_001040	20250721_110658_CVOL_20250319_PMA_C18_DDA_pos_dbgi_001040_01_01	2632	dbgi_001040_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	aaunknown		aaunknown
jbuf	dbgi_001040	20250721_111756_CVOL_20250319_PMA_C18_DDA_neg_dbgi_001040_01_01	2713	dbgi_001040_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	aaunknown		aaunknown
jbuf	dbgi_001042	20250611_140952_HC_20250319_PMA_C18_DDA_neg_dbgi_001042_01_01	2472	dbgi_001042_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Avena sativa L.		Avena sativa L.
jbuf	dbgi_001042	20250611_140952_HC_20250319_PMA_C18_DDA_pos_dbgi_001042_01_01	2471	dbgi_001042_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Avena sativa L.		Avena sativa L.
jbuf	dbgi_001043	202405241509_EB_dbgi_001043_01_01	1575	dbgi_001043_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_ELON_pos	Aconitum variegatum L.		Aconitum variegatum L.
jbuf	dbgi_001043	202405241518_EB_dbgi_001043_01_01	1656	dbgi_001043_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_neg	Aconitum variegatum L.		Aconitum variegatum L.
jbuf	dbgi_001046	20250611_140952_HC_20250319_PMA_C18_DDA_neg_dbgi_001046_01_01	2484	dbgi_001046_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Hepatica nobilis Schreb.		Hepatica nobilis Schreb.
jbuf	dbgi_001046	20250611_140952_HC_20250319_PMA_C18_DDA_pos_dbgi_001046_01_01	2483	dbgi_001046_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Hepatica nobilis Schreb.		Hepatica nobilis Schreb.
jbuf	dbgi_001047	20250611_140952_HC_20250319_PMA_C18_DDA_neg_dbgi_001047_01_01	2428	dbgi_001047_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Bromus sterilis L.		Bromus sterilis L.
jbuf	dbgi_001047	20250611_140952_HC_20250319_PMA_C18_DDA_pos_dbgi_001047_01_01	2427	dbgi_001047_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Bromus sterilis L.		Bromus sterilis L.
jbuf	dbgi_001048	20250611_140952_HC_20250319_PMA_C18_DDA_neg_dbgi_001048_01_01	2448	dbgi_001048_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Aconitum carmichaelii Debeaux		Aconitum carmichaelii Debeaux
jbuf	dbgi_001048	20250611_140952_HC_20250319_PMA_C18_DDA_pos_dbgi_001048_01_01	2447	dbgi_001048_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Aconitum carmichaelii Debeaux		Aconitum carmichaelii Debeaux
jbuf	dbgi_001050	20250611_140952_HC_20250319_PMA_C18_DDA_neg_dbgi_001050_01_01	2464	dbgi_001050_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Anemone canadensis L.		Anemone canadensis L.
jbuf	dbgi_001050	20250611_140952_HC_20250319_PMA_C18_DDA_pos_dbgi_001050_01_01	2463	dbgi_001050_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Anemone canadensis L.		Anemone canadensis L.
jbuf	dbgi_001051	20250724_103036_CVOL_20250319_PMA_C18_DDA_neg_dbgi_001051_01_01	2760	dbgi_001051_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Ranunculus acris subsp. friesianus (Jord.) Syme		Ranunculus acris subsp. friesianus (Jord.) Syme
jbuf	dbgi_001051	20250724_103036_CVOL_20250319_PMA_C18_DDA_pos_dbgi_001051_01_01	2759	dbgi_001051_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Ranunculus acris subsp. friesianus (Jord.) Syme		Ranunculus acris subsp. friesianus (Jord.) Syme
jbuf	dbgi_001055	20250724_103036_CVOL_20250319_PMA_C18_DDA_neg_dbgi_001055_01_01	2730	dbgi_001055_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Avena nuda L.		Avena nuda L.
jbuf	dbgi_001055	20250724_103036_CVOL_20250319_PMA_C18_DDA_pos_dbgi_001055_01_01	2729	dbgi_001055_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Avena nuda L.		Avena nuda L.
jbuf	dbgi_001056	20250611_140952_HC_20250319_PMA_C18_DDA_neg_dbgi_001056_01_01	2430	dbgi_001056_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Delphinium vestitum Royle		Delphinium vestitum Royle
jbuf	dbgi_001056	20250611_140952_HC_20250319_PMA_C18_DDA_pos_dbgi_001056_01_01	2429	dbgi_001056_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Delphinium vestitum Royle		Delphinium vestitum Royle
jbuf	dbgi_001058	20250611_140952_HC_20250319_PMA_C18_DDA_neg_dbgi_001058_01_01	2426	dbgi_001058_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Clematis florida Thunb.		Clematis florida Thunb.
jbuf	dbgi_001058	20250611_140952_HC_20250319_PMA_C18_DDA_pos_dbgi_001058_01_01	2425	dbgi_001058_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Clematis florida Thunb.		Clematis florida Thunb.
jbuf	dbgi_001113	20250724_103036_CVOL_20250319_PMA_C18_DDA_neg_dbgi_001113_01_01	2738	dbgi_001113_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Elymus caninus (L.) L.		Elymus caninus (L.) L.
