qfield_project	sample_id	ms_filename	ms_data_id	ms_parent_container_id	resolution_path	resolution_status	injection_method	taxon_name_unified	taxon_name	sample_name
sbl_20004	tp24_000004	202504241032_PMA_tp24_000004_01_01	1789	tp24_000004_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Solanum tuberosum	Solanum tuberosum	
sbl_20004	tp24_000004	202504241048_PMA_tp24_000004_01_01	1798	tp24_000004_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Solanum tuberosum	Solanum tuberosum	
sbl_20004	tp24_000006	202404241731_EB_tp24_000006_01_01	824	tp24_000006_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_ELON_pos	Plutella xylostella		Plutella xylostella
sbl_20004	tp24_000007	202404241731_EB_tp24_000007_01_01	825	tp24_000007_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_ELON_pos	Erythroxylum australe		Erythroxylum australe
sbl_20004	tp24_000007	202404241731_EB_tp24_000007_02_02	826	tp24_000007_02_02	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_ELON_pos	Erythroxylum australe		Erythroxylum australe
sbl_20004	tp24_000008	202504241032_PMA_tp24_000008_01_01	1791	tp24_000008_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Solanum tuberosum	Solanum tuberosum	
sbl_20004	tp24_000008	202504241048_PMA_tp24_000008_01_01	1799	tp24_000008_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Solanum tuberosum	Solanum tuberosum	
sbl_20004	tp24_000011	202404241731_EB_tp24_000011_01_01	827	tp24_000011_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_ELON_pos	Biscutella laevigata		Biscutella laevigata
sbl_20004	tp24_000012	202404241731_EB_tp24_000012_01_01	828	tp24_000012_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_ELON_pos	Biscutella laevigata		Biscutella laevigata
sbl_20004	tp24_000013	202404241731_EB_tp24_000013_01_01	829	tp24_000013_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_ELON_pos	Biscutella laevigata		Biscutella laevigata
sbl_20004	tp24_000014	202404241731_EB_tp24_000014_01_01	830	tp24_000014_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_ELON_pos	Biscutella laevigata		Biscutella laevigata
sbl_20004	tp24_000015	202404241731_EB_tp24_000015_01_01	831	tp24_000015_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_ELON_pos	Biscutella laevigata		Biscutella laevigata
sbl_20004	tp24_000016	202404241731_EB_tp24_000016_01_01	832	tp24_000016_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_ELON_pos	Plutella xylostella		Plutella xylostella
sbl_20004	tp24_000017	202404241731_EB_tp24_000017_01_01	833	tp24_000017_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_ELON_pos	Biscutella laevigata		Biscutella laevigata
sbl_20004	tp24_000018	202404241731_EB_tp24_000018_01_01	834	tp24_000018_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_ELON_pos	Biscutella laevigata		Biscutella laevigata
sbl_20004	tp24_000019	202404241731_EB_tp24_000019_01_01	835	tp24_000019_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_ELON_pos	Biscutella laevigata		Biscutella laevigata
sbl_20004	tp24_000020	202404241731_EB_tp24_000020_01_01	836	tp24_000020_01_01	aliquot_to_extraction_to_original_sample	resolved	100mm_C18_15min_DDA_ELON_pos	Biscutella laevigata		Biscutella laevigata
sbl_20004	tp24_000021	202504241032_PMA_tp24_000021_01_01	1784	tp24_000021_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Solanum tuberosum	Solanum tuberosum	
sbl_20004	tp24_000021	202504241048_PMA_tp24_000021_01_01	1800	tp24_000021_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Solanum tuberosum	Solanum tuberosum	
sbl_20004	tp24_000022	202504241032_PMA_tp24_000022_01_01	1782	tp24_000022_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Solanum tuberosum	Solanum tuberosum	
sbl_20004	tp24_000022	202504241048_PMA_tp24_000022_01_01	1801	tp24_000022_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Solanum tuberosum	Solanum tuberosum	
sbl_20004	tp24_000023	202504241032_PMA_tp24_000023_01_01	1786	tp24_000023_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Solanum tuberosum	Solanum tuberosum	
sbl_20004	tp24_000023	202504241048_PMA_tp24_000023_01_01	1802	tp24_000023_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Solanum tuberosum	Solanum tuberosum	
sbl_20004	tp24_000024	202504241032_PMA_tp24_000024_03_01	1796	tp24_000024_03_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Solanum tuberosum	Solanum tuberosum	
sbl_20004	tp24_000024	202504241048_PMA_tp24_000024_03_01	1803	tp24_000024_03_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Solanum tuberosum	Solanum tuberosum	
sbl_20004	tp24_000026	202504241032_PMA_tp24_000026_01_01	1783	tp24_000026_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Solanum tuberosum	Solanum tuberosum	
sbl_20004	tp24_000026	202504241048_PMA_tp24_000026_01_01	1804	tp24_000026_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Solanum tuberosum	Solanum tuberosum	
sbl_20004	tp24_000027	202504241032_PMA_tp24_000027_01_01	1793	tp24_000027_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Solanum tuberosum	Solanum tuberosum	
sbl_20004	tp24_000027	202504241048_PMA_tp24_000027_01_01	1805	tp24_000027_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Solanum tuberosum	Solanum tuberosum	
sbl_20004	tp24_000028	202504241032_PMA_tp24_000028_01_01	1792	tp24_000028_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Solanum tuberosum	Solanum tuberosum	
sbl_20004	tp24_000028	202504241048_PMA_tp24_000028_01_01	1806	tp24_000028_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Solanum tuberosum	Solanum tuberosum	
sbl_20004	tp24_000029	202504241032_PMA_tp24_000029_01_01	1794	tp24_000029_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Solanum tuberosum	Solanum tuberosum	
sbl_20004	tp24_000029	202504241032_PMA_tp24_000029_01_02	1795	tp24_000029_01_02	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Solanum tuberosum	Solanum tuberosum	
sbl_20004	tp24_000029	202504241048_PMA_tp24_000029_01_01	1807	tp24_000029_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Solanum tuberosum	Solanum tuberosum	
sbl_20004	tp24_000029	202504241048_PMA_tp24_000029_01_02	1808	tp24_000029_01_02	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Solanum tuberosum	Solanum tuberosum	
sbl_20004	tp24_000031	202504241032_PMA_tp24_000031_01_01	1788	tp24_000031_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Trichoderma sp.	Trichoderma sp.	
sbl_20004	tp24_000031	202504241048_PMA_tp24_000031_01_01	1809	tp24_000031_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Trichoderma sp.	Trichoderma sp.	
sbl_20004	tp24_000032	202504241032_PMA_tp24_000032_01_01	1785	tp24_000032_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	PDA medium	PDA medium	
sbl_20004	tp24_000032	202504241048_PMA_tp24_000032_01_01	1810	tp24_000032_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	PDA medium	PDA medium	
sbl_20004	tp24_000033	202504241032_PMA_tp24_000033_01_01	1787	tp24_000033_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Trichoderma sp.	Trichoderma sp.	
sbl_20004	tp24_000033	202504241048_PMA_tp24_000033_01_01	1811	tp24_000033_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Trichoderma sp.	Trichoderma sp.	
sbl_20004	tp24_000035	202504241032_PMA_tp24_000035_01_01	1790	tp24_000035_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_pos	Solanum tuberosum	Solanum tuberosum	
sbl_20004	tp24_000035	202504241048_PMA_tp24_000035_01_01	1812	tp24_000035_01_01	aliquot_to_extraction_to_original_sample	resolved	20250319_PMA_C18_DDA_neg	Solanum tuberosum	Solanum tuberosum	
