qfield_project	sample_id	ms_filename	ms_data_id	ms_parent_container_id	resolution_path	resolution_status	injection_method	taxon_name_unified	taxon_name	sample_name
		20240307_EB_dbgi_batch_blk_000005_01	162	blk_000005_01	aliquot_to_extraction_to_original_sample	unresolved	100mm_C18_15min_DDA_ELON_pos			
		20240328_EB_dbgi_batch_blk_000005_01_100mm_C18_15min_DDA_neg	324	blk_000005_01	aliquot_to_extraction_to_original_sample	unresolved	100mm_C18_15min_DDA_neg			
		20240405_EB_dbgi_001825_01_01_100mm_C18_15min_DDA_ELON_pos	333	dbgi_001825_01_01	aliquot_to_extraction_to_original_sample	unresolved	100mm_C18_15min_DDA_ELON_pos			
		20240405_EB_dbgi_batch_blk_000006_01_100mm_C18_15min_DDA_ELON_pos	485	blk_000006_01	aliquot_to_extraction_to_original_sample	unresolved	100mm_C18_15min_DDA_ELON_pos			
		20240405_EB_dbgi_batch_blk_000007_01_100mm_C18_15min_DDA_ELON_pos	486	blk_000007_01	aliquot_to_extraction_to_original_sample	unresolved	100mm_C18_15min_DDA_ELON_pos			
		202404101527_EB_dbgi_001825_01_01	495	dbgi_001825_01_01	aliquot_to_extraction_to_original_sample	unresolved	100mm_C18_15min_DDA_neg			
		202404101527_EB_dbgi_batch_blk_000006_01	647	blk_000006_01	aliquot_to_extraction_to_original_sample	unresolved	100mm_C18_15min_DDA_neg			
		202404101527_EB_dbgi_batch_blk_000007_01	648	blk_000007_01	aliquot_to_extraction_to_original_sample	unresolved	100mm_C18_15min_DDA_neg			
		202404191203_HC_dbgi_batch_blk_000008_01	810	blk_000008_01	aliquot_to_extraction_to_original_sample	unresolved	100mm_C18_15min_DDA_ELON_pos			
		202404251608_EB_dbgi_batch_blk_000008_01	998	blk_000008_01	aliquot_to_extraction_to_original_sample	unresolved	100mm_C18_15min_DDA_neg			
		202405081555_EB_dbgi_001790_01_01	1009	dbgi_001790_01_01	aliquot_to_extraction_to_original_sample	unresolved	100mm_C18_15min_DDA_ELON_pos			
		202405081555_EB_dbgi_001813_01_01	1014	dbgi_001813_01_01	aliquot_to_extraction_to_original_sample	unresolved	100mm_C18_15min_DDA_ELON_pos			
		202405081555_EB_dbgi_001839_01_01	1025	dbgi_001839_01_01	aliquot_to_extraction_to_original_sample	unresolved	100mm_C18_15min_DDA_ELON_pos			
		202405081555_EB_dbgi_001840_01_01	1026	dbgi_001840_01_01	aliquot_to_extraction_to_original_sample	unresolved	100mm_C18_15min_DDA_ELON_pos			
		202405081555_EB_dbgi_batch_blk_000001_01	1157	blk_000001_01	aliquot_to_extraction_to_original_sample	unresolved	100mm_C18_15min_DDA_ELON_pos			
		202405081555_EB_dbgi_batch_blk_000002_01	1158	blk_000002_01	aliquot_to_extraction_to_original_sample	unresolved	100mm_C18_15min_DDA_ELON_pos			
		202405081555_EB_dbgi_batch_blk_000003_01	1159	blk_000003_01	aliquot_to_extraction_to_original_sample	unresolved	100mm_C18_15min_DDA_ELON_pos			
		202405081555_EB_dbgi_batch_blk_000004_01	1160	blk_000004_01	aliquot_to_extraction_to_original_sample	unresolved	100mm_C18_15min_DDA_ELON_pos			
