original_sample_id	ms_container_id	extraction_container_id	original_sample_container_id	qfield_project	field_collector_fullname	field_taxon_name	field_latitude	field_longitude	field_comment_eco	field_weather	field_sample_name	field_geometry_coordinates	field_date	extraction_dried_weight	extraction_solvent_volume	extraction_dried_weight_unit_symbol	extraction_solvent_volume_unit_symbol	extraction_method_method_name	aliquot_aliquot_volume	aliquot_volume_unit_symbol	ms_filename	ms_injection_volume	ms_injection_volume_unit_symbol	ms_injection_method_method_name	ms_instrument_instrument_id	ms_instrument_model_instrument_model	ms_instrument_location_room_name	watcher_exact_filename_match	profile_mode	profiled_positive	profiled_negative	profiled_any	metadata_lineage_row_count	resolved_taxon_input_name	resolved_taxon_canonical	resolved_taxon_id	resolved_taxon_scientific_name	resolved_taxon_matched_name	resolved_taxon_current_name	resolved_taxon_synonym	resolved_taxon_source_id	resolved_taxon_source_title	resolved_taxon_kind	resolved_taxon_sort_score	resolved_taxon_match_type	resolved_taxon_edit_distance	resolved_taxon_classification_path	resolved_taxon_kingdom	resolved_taxon_phylum	resolved_taxon_class	resolved_taxon_order	resolved_taxon_family	resolved_taxon_genus
Kdbgi_003920				jbn	Mazzarine Laboureau	Crocus_flavus_Weston	6.9344215	46.999573				[6.934421655147508, 46.99957185305984]	20240826160416																	false	false	false	1	Crocus_flavus_Weston	Crocus flavus	6BHRL	Crocus_flavus_Weston	Crocus flavus Weston	Crocus flavus Weston	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Iridaceae|Crocus|Crocus flavus	Plantae	Tracheophyta	Liliopsida	Asparagales	Iridaceae	Crocus
dbgi				jbuf	Emmanuel Defossez	Agrimonia eupatoria L.	7.157249	46.79255				[7.157249090846688, 46.79255100337638]	20240625134458																	false	false	false	1	Agrimonia eupatoria L.	Agrimonia eupatoria	B7GN	Agrimonia eupatoria L.	Agrimonia eupatoria L.	Agrimonia eupatoria L.	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Rosoideae|Agrimonieae|Agrimoniinae|Agrimonia|Agrimonia eupatoria	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Agrimonia
dbgi_000001			dbgi_000001	jbuf			7.155891	46.792686			Saccharum officinarum L.	[7.155890863242311, 46.79268496953489]																		false	false	false	1	Saccharum officinarum L.	Saccharum officinarum	4TWQL	Saccharum officinarum L.	Saccharum officinarum L.	Saccharum officinarum L.	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Saccharum|Saccharum officinarum	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Saccharum
dbgi_000002			dbgi_000002	jbuf			7.155885	46.79272			Derris elliptica Benth.	[7.155885297941441, 46.7927217250739]																		false	false	false	1	Derris elliptica Benth.	Derris elliptica	34YTC	Derris elliptica Benth.	Derris elliptica (Wall.) Benth.	Derris elliptica (Wall.) Benth.	false	1	Catalogue of Life	BestMatch	9.42053	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Derris|Derris elliptica	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Derris
dbgi_000003			dbgi_000003	jbuf			7.1558623	46.79271			Psychotria bacteriophila Valet.	[7.155862201292582, 46.792710333485566]																		false	false	false	1	Psychotria bacteriophila Valet.	Psychotria bacteriophila	6WJQG	Psychotria bacteriophila Valet.	Psychotria bacteriophila Valeton	Psychotria punctata Vatke	true	1	Catalogue of Life	BestMatch	9.42295	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Rubioideae|Psychotrieae|Psychotria|Psychotria punctata	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Psychotria
dbgi_000004			dbgi_000004	jbuf			7.155879	46.79271			Morinda citrifolia L.	[7.155879207898465, 46.79270974682904]																		false	false	false	1	Morinda citrifolia L.	Morinda citrifolia	44DHL	Morinda citrifolia L.	Morinda citrifolia L.	Morinda citrifolia L.	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Rubioideae|Morindeae|Morinda|Morinda citrifolia	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Morinda
dbgi_000005			dbgi_000005	jbuf			7.1559324	46.7927			Sansevieria longifolia Sims.	[7.155932617111241, 46.79270258811607]																		false	false	false	1	Sansevieria longifolia Sims.	Sansevieria	8W39T	Sansevieria longifolia Sims.	Sansevieria Petagna	Dracaena Vand. ex L.	true	1	Catalogue of Life	BestMatch	8.61994	PartialExact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Asparagaceae|Dracaena	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Sansevieria
dbgi_000006			dbgi_000006	jbuf			7.15593	46.792744			Cyperus papyrus L.	[7.155930029313038, 46.79274189841964]																		false	false	false	1	Cyperus papyrus L.	Cyperus papyrus	33D3R	Cyperus papyrus L.	Cyperus papyrus L.	Cyperus papyrus L.	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Cyperaceae|Cyperus|Cyperus papyrus	Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Cyperus
dbgi_000007			dbgi_000007	jbuf			7.1559167	46.792698			Manihot esculenta Crantz	[7.155916680694503, 46.79269886547172]																		false	false	false	1	Manihot esculenta Crantz	Manihot esculenta	3XV44	Manihot esculenta Crantz	Manihot esculenta Crantz	Manihot esculenta Crantz	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malpighiales|Euphorbiaceae|Crotonoideae|Manihoteae|Manihot|Manihot esculenta	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Manihot
dbgi_000008			dbgi_000008	jbuf			7.1558733	46.792706			Alpinia officinarum Hance	[7.155873103349801, 46.79270552375591]																		false	false	false	1	Alpinia officinarum Hance	Alpinia officinarum	65YCP	Alpinia officinarum Hance	Alpinia officinarum Hance	Alpinia officinarum Hance	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Zingiberales|Zingiberaceae|Alpinia|Alpinia officinarum	Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Alpinia
