filename;Extension;Localisation.in.Sciex.OS.project;sample_id;type;collector_fullname;observation_subject;inat_upload;is_wild;ATTRIBUTE_Species;no_name_on_list;picture_panel;picture_general;picture_detail;picture_cut;picture_panel_label;x_coord;y_coord;date;collector_orcid;collector_inat;NCBITaxonomy_ID;Ionization mode;garden
20262605_dbgi_006689_01;\2026\Defossez\Mazzarine\;\2026\Defossez\Mazzarine\20262605_dbgi_006689_01;dbgi_006689;SAMPLE;Mazzarine Laboureau;Leaf;1;0;Aegopodium podagraria;0;DCIM/jbc/Aegopodium podagraria_dbgi_006689_01.jpg;DCIM/jbc/Aegopodium podagraria_dbgi_006689_02.jpg;DCIM/jbc/Aegopodium podagraria_dbgi_006689_03.jpg;DCIM/jbc/Aegopodium podagraria_dbgi_006689_04.jpg;DCIM/jbc/Aegopodium podagraria_dbgi_006689_05.jpg;2574822;1097949.6;2,02506E+13;0009-0006-7011-4195;@mazzarinel;40902;positive;jbc
20262605_dbgi_009030_01;\2026\Defossez\Mazzarine\;\2026\Defossez\Mazzarine\20262605_dbgi_009030_01;dbgi_009030;SAMPLE;Mazzarine Laboureau;Leaf;1;0;Arnica montana;0;DCIM/jbc/Arnica montana_dbgi_009030_01.jpg;DCIM/jbc/Arnica montana_dbgi_009030_02.jpg;DCIM/jbc/Arnica montana_dbgi_009030_03.jpg;DCIM/jbc/Arnica montana_dbgi_009030_04.jpg;DCIM/jbc/Arnica montana_dbgi_009030_05.jpg;2574817.8;1097973.5;2,02507E+13;0009-0006-7011-4195;@mazzarinel;436207;positive;jbc
20262605_dbgi_006624_01;\2026\Defossez\Mazzarine\;\2026\Defossez\Mazzarine\20262605_dbgi_006624_01;dbgi_006624;SAMPLE;Mazzarine Laboureau;Leaf;1;0;Leontodon hispidus;0;DCIM/jbc/Leontodon hispidus_dbgi_006624_01.jpg;DCIM/jbc/Leontodon hispidus_dbgi_006624_02.jpg;DCIM/jbc/Leontodon hispidus_dbgi_006624_03.jpg;DCIM/jbc/Leontodon hispidus_dbgi_006624_04.jpg;DCIM/jbc/Leontodon hispidus_dbgi_006624_05.jpg;2574749;1097981.6;2,02506E+13;0009-0006-7011-4195;@mazzarinel;58660;positive;jbc
20262605_dbgi_006704_01;\2026\Defossez\Mazzarine\;\2026\Defossez\Mazzarine\20262605_dbgi_006704_01;dbgi_006704;SAMPLE;Mazzarine Laboureau;Leaf;1;0;Achillea millefolium;0;DCIM/jbc/Achillea millefolium_dbgi_006704_01.jpg;DCIM/jbc/Achillea millefolium_dbgi_006704_02.jpg;DCIM/jbc/Achillea millefolium_dbgi_006704_03.jpg;DCIM/jbc/Achillea millefolium_dbgi_006704_04.jpg;DCIM/jbc/Achillea millefolium_dbgi_006704_05.jpg;2574746.2;1097987.4;2,02506E+13;0009-0006-7011-4195;@mazzarinel;13329;positive;jbc
20262605_dbgi_001575_01;\2026\Defossez\Mazzarine\;\2026\Defossez\Mazzarine\20262605_dbgi_001575_01;dbgi_001575;SAMPLE;Mazzarine Laboureau;Leaf;1;0;Vaccinium vitis-idaea;0;DCIM/jbc/Vaccinium vitis-idaea_dbgi_001575_01.jpg;DCIM/jbc/Vaccinium vitis-idaea_dbgi_001575_02.jpg;DCIM/jbc/Vaccinium vitis-idaea_dbgi_001575_03.jpg;DCIM/jbc/Vaccinium vitis-idaea_dbgi_001575_04.jpg;DCIM/jbc/Vaccinium vitis-idaea_dbgi_001575_05.jpg;2574804.5;1097981.6;2,02507E+13;0009-0006-7011-4195;@mazzarinel;180772;positive;jbc
20262605_dbgi_008755_01;\2026\Defossez\Mazzarine\;\2026\Defossez\Mazzarine\20262605_dbgi_008755_01;dbgi_008755;SAMPLE;Mazzarine Laboureau;Leaf;1;0;Picea abies;0;DCIM/jbc/Picea abies_dbgi_008755_01.jpg;DCIM/jbc/Picea abies_dbgi_008755_02.jpg;DCIM/jbc/Picea abies_dbgi_008755_03.jpg;DCIM/jbc/Picea abies_dbgi_008755_04.jpg;DCIM/jbc/Picea abies_dbgi_008755_05.jpg;2574790.2;1097969.4;2,02507E+13;0009-0006-7011-4195;@mazzarinel;3329;positive;jbc
20262605_dbgi_009093_01;\2026\Defossez\Mazzarine\;\2026\Defossez\Mazzarine\20262605_dbgi_009093_01;dbgi_009093;SAMPLE;Mazzarine Laboureau;Leaf;1;0;Hieracium murorum;0;DCIM/jbc/Hieracium murorum_dbgi_009093_01.jpg;DCIM/jbc/Hieracium murorum_dbgi_009093_02.jpg;DCIM/jbc/Hieracium murorum_dbgi_009093_03.jpg;DCIM/jbc/Hieracium murorum_dbgi_009093_04.jpg;DCIM/jbc/Hieracium murorum_dbgi_009093_05.jpg;2574797.2;1097983.4;2,02507E+13;0009-0006-7011-4195;@mazzarinel;212671;positive;jbc
20262605_dbgi_008634_01;\2026\Defossez\Mazzarine\;\2026\Defossez\Mazzarine\20262605_dbgi_008634_01;dbgi_008634;SAMPLE;Mazzarine Laboureau;Leaf;1;0;Juniperus communis;0;DCIM/jbc/Juniperus communis_dbgi_008634_01.jpg;DCIM/jbc/Juniperus communis_dbgi_008634_02.jpg;DCIM/jbc/Juniperus communis_dbgi_008634_03.jpg;DCIM/jbc/Juniperus communis_dbgi_008634_04.jpg;DCIM/jbc/Juniperus communis_dbgi_008634_05.jpg;2574743.8;1097953;2,02505E+13;0009-0006-7011-4195;@mazzarinel;58039;positive;jbc
20262605_dbgi_008461_01;\2026\Defossez\Mazzarine\;\2026\Defossez\Mazzarine\20262605_dbgi_008461_01;dbgi_008461;SAMPLE;Mazzarine Laboureau;Leaf;1;0;Arctostaphylos uva-ursi;0;DCIM/jbc/Arctostaphylus uva-ursi_dbgi_008461_01.jpg;DCIM/jbc/Arctostaphylus uva-ursi_dbgi_008461_02.jpg;DCIM/jbc/Arctostaphylus uva-ursi_dbgi_008461_03.jpg;DCIM/jbc/Arctostaphylus uva-ursi_dbgi_008461_04.jpg;DCIM/jbc/Arctostaphylus uva-ursi_dbgi_008461_05.jpg;2574821;1097944.5;2,02506E+13;0009-0006-7011-4195;@mazzarinel;84009;positive;jbc
20262605_dbgi_007170_01;\2026\Defossez\Mazzarine\;\2026\Defossez\Mazzarine\20262605_dbgi_007170_01;dbgi_007170;SAMPLE;Mazzarine Laboureau;Leaf;1;0;Carlina acaulis;0;DCIM/jbc/Carlina acaulis_dbgi_007170_01.jpg;DCIM/jbc/Carlina acaulis_dbgi_007170_02.jpg;DCIM/jbc/Carlina acaulis_dbgi_007170_03.jpg;DCIM/jbc/Carlina acaulis_dbgi_007170_04.jpg;DCIM/jbc/Carlina acaulis_dbgi_007170_05.jpg;2574767;1097990;2,02506E+13;0009-0006-7011-4195;@mazzarinel;538471;positive;jbc
