"Filename","Extension","Localisation.in.Sciex.OS.project","Rack","Plate.position","Comment","sample_id","latitude","x_coord","y_coord","date_updated","user_created","id","date_created","longitude","collector_fullname","observation_subject","inat_upload","is_wild","taxon_name","no_name_on_list","picture_panel","picture_general","picture_detail","picture_cut","picture_panel_label","collector_orcid","collector_inat","qfield_project","name_proposition","ipen","date","geometry.type","geometry.coordinates"
"20261603_Mazz_Sample_drog_000469_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000469_01",1,"A6","plate 1","drog_000469",NA,NA,NA,"2026-07-21T12:11:45.737Z","053e0368-4ed8-4569-a070-81a22ad13957",74784,"2026-01-29T15:12:56.827Z",NA,"Emmanuel Defossez","Fruit",1,1,"",1,"DCIM/droguier_jbn/Vaccinium myrtillus_drog_000469_01.jpg","DCIM/droguier_jbn/Vaccinium myrtillus_drog_000485_02.jpg","DCIM/droguier_jbn/Vaccinium myrtillus_drog_000469_03.jpg","DCIM/droguier_jbn/Vaccinium myrtillus_drog_000469_04.jpg","DCIM/droguier_jbn/Vaccinium myrtillus_drog_000469_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","Vaccinium myrtillus",NA,20260126151855,"",""
"20261603_Mazz_Sample_drog_000327_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000327_01",1,"A7","plate 1","drog_000327",NA,NA,NA,"2026-07-21T12:50:38.045Z","053e0368-4ed8-4569-a070-81a22ad13957",74413,"2026-01-29T15:12:42.044Z",NA,"Emmanuel Defossez","Fruit",1,0,"Thymus_vulgaris_L",0,"DCIM/droguier_jbn/Thymus_vulgaris_L_drog_000327_01.jpg","DCIM/droguier_jbn/Thymus_vulgaris_L_drog_000327_02.jpg","DCIM/droguier_jbn/Thymus_vulgaris_L_drog_000327_03.jpg","DCIM/droguier_jbn/Thymus_vulgaris_L_drog_000327_04.jpg","DCIM/droguier_jbn/Thymus_vulgaris_L_drog_000327_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","",NA,20260126110652,"",""
"20261603_Mazz_Sample_drog_000009_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000009_01",1,"A8","plate 1","drog_000009",6.934502,6.934502,47.000103,"2026-07-21T12:11:40.667Z","053e0368-4ed8-4569-a070-81a22ad13957",74485,"2026-01-29T15:12:44.586Z",47.000103,"Emmanuel Defossez","Leaf",1,0,"Melissa_officinalis_L",0,"DCIM/droguier_jbn/Melissa_officinalis_L_drog_000009_01.jpg","DCIM/droguier_jbn/Melissa_officinalis_L_drog_000009_02.jpg","DCIM/droguier_jbn/Melissa_officinalis_L_drog_000009_03.jpg","DCIM/droguier_jbn/Melissa_officinalis_L_drog_000009_04.jpg","DCIM/droguier_jbn/Melissa_officinalis_L_drog_000009_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","",NA,20260112161133,"Point","[6.934502281928009,47.00010408041301]"
"20261603_Mazz_Sample_drog_000059_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000059_01",1,"A9","plate 1","drog_000059",NA,NA,NA,"2026-07-21T12:11:38.441Z","053e0368-4ed8-4569-a070-81a22ad13957",74340,"2026-01-29T15:12:38.381Z",NA,"Emmanuel Defossez","Leaf",0,1,"",1,"DCIM/droguier_jbn/Equisetum arvense_drog_000059_01.jpg","DCIM/droguier_jbn/Equisetum arvense_drog_000059_02.jpg","DCIM/droguier_jbn/Equisetum arvense_drog_000059_03.jpg","DCIM/droguier_jbn/Equisetum arvense_drog_000059_04.jpg","DCIM/droguier_jbn/Equisetum arvense_drog_000059_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","Equisetum arvense",NA,20260123093910,"",""
"20261603_Mazz_Sample_drog_000215_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000215_01",1,"A10","plate 1","drog_000215",NA,NA,NA,"2026-07-21T12:11:38.469Z","053e0368-4ed8-4569-a070-81a22ad13957",74341,"2026-01-29T15:12:38.453Z",NA,"Emmanuel Defossez","Leaf",0,1,"",1,"DCIM/droguier_jbn/Equisetum arvense_drog_000215_01.jpg","DCIM/droguier_jbn/Equisetum arvense_drog_000215_02.jpg","DCIM/droguier_jbn/Equisetum arvense_drog_000215_03.jpg","DCIM/droguier_jbn/Equisetum arvense_drog_000215_04.jpg","DCIM/droguier_jbn/Equisetum arvense_drog_000215_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","Equisetum arvense",NA,20260123094336,"",""
"20261603_Mazz_Sample_drog_000139_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000139_01",1,"A11","plate 1","drog_000139",NA,NA,NA,"2026-07-21T12:50:39.949Z","053e0368-4ed8-4569-a070-81a22ad13957",74720,"2026-01-29T15:12:54.414Z",NA,"Emmanuel Defossez","Flower",0,1,"Achillea_millefolium_L",0,"DCIM/droguier_jbn/Achillea_millefolium_L_drog_000139_01.jpg","DCIM/droguier_jbn/Achillea_millefolium_L_drog_000139_02.jpg","DCIM/droguier_jbn/Achillea_millefolium_L_drog_000139_03.jpg","DCIM/droguier_jbn/Achillea_millefolium_L_drog_000139_04.jpg","DCIM/droguier_jbn/Achillea_millefolium_L_drog_000139_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","",NA,20260121144736,"",""
"20261603_Mazz_Sample_drog_000277_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000277_01",1,"A12","plate 1","drog_000277",NA,NA,NA,"2026-07-21T12:50:37.781Z","053e0368-4ed8-4569-a070-81a22ad13957",74356,"2026-01-29T15:12:39.124Z",NA,"Emmanuel Defossez","Root",0,1,"Valeriana_officinalis_L",0,"DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000277_01.jpg","DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000277_02.jpg","DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000277_03.jpg","DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000277_04.jpg","DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000277_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","",NA,20260123110856,"",""
"20261603_Mazz_Sample_drog_000271_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000271_01",1,"B1","plate 1","drog_000271",NA,NA,NA,"2026-07-21T12:50:40.133Z","053e0368-4ed8-4569-a070-81a22ad13957",74727,"2026-01-29T15:12:54.681Z",NA,"Emmanuel Defossez","Leaf",0,1,"Achillea_millefolium_L",0,"DCIM/droguier_jbn/Achillea_millefolium_L_drog_000271_01.jpg","DCIM/droguier_jbn/Achillea_millefolium_L_drog_000271_02.jpg","DCIM/droguier_jbn/Achillea_millefolium_L_drog_000271_03.jpg","DCIM/droguier_jbn/Achillea_millefolium_L_drog_000271_04.jpg","DCIM/droguier_jbn/Achillea_millefolium_L_drog_000271_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","",NA,20260121145841,"",""
"20261603_Mazz_Sample_drog_000444_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000444_01",1,"B2","plate 1","drog_000444",NA,NA,NA,"2026-07-21T12:11:39.209Z","053e0368-4ed8-4569-a070-81a22ad13957",74389,"2026-01-29T15:12:40.921Z",NA,"Emmanuel Defossez","Leaf",1,0,"",1,"DCIM/droguier_jbn/Senna alexandrina_drog_000444_01.jpg","DCIM/droguier_jbn/Senna alexandrina_drog_000544_02.jpg","DCIM/droguier_jbn/Senna alexandrina_drog_000444_03.jpg","DCIM/droguier_jbn/Senna alexandrina_drog_000444_04.jpg","DCIM/droguier_jbn/Senna alexandrina_drog_000444_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","Senna alexandrina",NA,20260126094828,"",""
"20261603_Mazz_Sample_drog_000184_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000184_01",1,"B3","plate 1","drog_000184",NA,NA,NA,"2026-07-21T12:11:38.210Z","053e0368-4ed8-4569-a070-81a22ad13957",74332,"2026-01-29T15:12:37.938Z",NA,"Emmanuel Defossez","Leaf",0,1,"",1,"DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000184_01.jpg","DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000184_02.jpg","DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000184_03.jpg","DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000184_04.jpg","DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000184_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","Arctostaphylos uva-ursi",NA,20260123091455,"",""
