"filename","sample_id","Sp","Type","Family","latitude","x_coord","y_coord","date_updated","user_created","id","date_created","longitude","geometry.type","geometry.coordinates","collector_fullname","observation_subject","inat_upload","is_wild","taxon_name","no_name_on_list","picture_panel","picture_general","picture_detail","picture_cut","picture_panel_label","collector_orcid","collector_inat","qfield_project","picture_free","comment_eco","weather","sample_name","name_proposition","ipen","match_name","ott_id","rank","wikidataID","unknown","comment_env","herbivory_percent","temperature_.C","date","soil_type","catalogue_number"
"20260113_lysandre_sample_meda_000577_01.mzML","meda_000577","Achillea","com","Asteraceae",6.4006734,967627.94,6445225.5,"2025-08-14T14:01:15.875Z","053e0368-4ed8-4569-a070-81a22ad13957",72174,"2025-08-12T11:49:08.226Z",45.05441,"Point","[6.400673333333335,45.05440833333332]","Lysandre Journiac","Leaf",1,1,"",1,"DCIM/meda_collection/NA_meda_000577_01.jpg","DCIM/meda_collection/NA_meda_000577_02.jpg","DCIM/meda_collection/NA_meda_000577_03.jpg","DCIM/meda_collection/NA_meda_000577_04.jpg","DCIM/meda_collection/NA_meda_000577_05.jpg","0009-0008-4179-5600","","medicin_alps",NA,"Com 576",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,20250717100142,NA,NA
"20260113_lysandre_sample_meda_000212_01.mzML","meda_000212","Potentilla","indiv","Rosaceae",6.4191623,969151.75,6443680.5,"2025-08-14T14:00:51.780Z","053e0368-4ed8-4569-a070-81a22ad13957",71397,"2025-08-12T11:48:46.731Z",45.039917,"Point","[6.419162269796379,45.03991623791861]","Loic Chalmandrier","Leaf",0,0,"Potentilla crantzii",0,"DCIM/meda_collection/Potentilla crantzii_meda_000212_01.jpg","DCIM/meda_collection/Potentilla crantzii_meda_000212_02.jpg","DCIM/meda_collection/Potentilla crantzii_meda_000212_03.jpg","DCIM/meda_collection/Potentilla crantzii_meda_000212_04.jpg","DCIM/meda_collection/Potentilla crantzii_meda_000212_05.jpg","0000-0002-2631-0432","Charmander88","medicin_alps",NA,"",NA,NA,"Na","",NA,NA,NA,NA,NA,NA,NA,NA,20250624114723,NA,NA
"20260113_lysandre_sample_meda_000309_01.mzML","meda_000309","Centaurea","com","Asteraceae",6.419201,969154.94,6443677.5,"2026-07-21T12:11:06.743Z","053e0368-4ed8-4569-a070-81a22ad13957",72038,"2025-08-12T11:49:04.479Z",45.03989,"Point","[6.419200902991398,45.03989049595947]","Loic Chalmandrier","Leaf",1,1,"",1,"DCIM/meda_collection/Na_meda_000309_01.jpg","DCIM/meda_collection/Na_meda_000309_02.jpg","DCIM/meda_collection/Na_meda_000309_03.jpg","DCIM/meda_collection/Na_meda_000309_04.jpg","DCIM/meda_collection/Na_meda_000309_05.jpg","0000-0002-2631-0432","Charmander88","medicin_alps",NA,"Com 308",NA,NA,"Na","",NA,NA,NA,NA,NA,NA,NA,NA,20250625110509,NA,NA
"20260113_lysandre_sample_meda_000532_01.mzML","meda_000532","Patzkea","indiv","Poaceae",6.400318,967600,6445225,"2026-07-21T12:11:07.348Z","053e0368-4ed8-4569-a070-81a22ad13957",72107,"2025-08-12T11:49:06.319Z",45.054417,"Point","[6.400318333333332,45.05441499999998]","Lysandre Journiac","Leaf",0,0,"Patzkea paniculata",0,"DCIM/meda_collection/Patzkea paniculata_meda_000532_01.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000532_02.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000532_03.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000532_04.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000532_05.jpg","0009-0008-4179-5600","","medicin_alps",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,20250716095644,NA,NA
"20260113_lysandre_sample_meda_000498_01.mzML","meda_000498","Patzkea","indiv","Poaceae",6.4006505,967626.56,6445215.5,"2025-08-14T14:01:23.241Z","053e0368-4ed8-4569-a070-81a22ad13957",72427,"2025-08-12T11:49:15.619Z",45.054317,"Point","[6.40065028558855,45.05431825568424]","Loic Chalmandrier","Leaf",0,0,"Patzkea paniculata",0,"DCIM/meda_collection/Patzkea paniculata_meda_000498_01.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000498_02.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000498_03.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000498_04.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000498_05.jpg","0000-0002-2631-0432","Charmander88","medicin_alps",NA,"",NA,NA,"Na","",NA,NA,NA,NA,NA,NA,NA,NA,20250716100005,NA,NA
"20260113_lysandre_sample_meda_000326_01.mzML","meda_000326","Centaurea","indiv","Asteraceae",6.4190392,969141.5,6443693.5,"2025-08-14T14:01:12.580Z","053e0368-4ed8-4569-a070-81a22ad13957",72055,"2025-08-12T11:49:04.923Z",45.040035,"Point","[6.419039132620126,45.04003671875979]","Loic Chalmandrier","Leaf",0,0,"Centaurea uniflora",0,"DCIM/meda_collection/Centaurea uniflora_meda_000326_01.jpg","DCIM/meda_collection/Centaurea uniflora_meda_000326_02.jpg","DCIM/meda_collection/Centaurea uniflora_meda_000326_03.jpg","DCIM/meda_collection/Centaurea uniflora_meda_000326_04.jpg","DCIM/meda_collection/Centaurea uniflora_meda_000326_05.jpg","0000-0002-2631-0432","Charmander88","medicin_alps",NA,"",NA,NA,"Na","",NA,NA,NA,NA,NA,NA,NA,NA,20250625122546,NA,NA
"20260113_lysandre_sample_meda_000569_01.mzML","meda_000569","Centaurea","com","Asteraceae",6.400317,967599.8,6445227.5,"2026-07-21T12:11:09.964Z","053e0368-4ed8-4569-a070-81a22ad13957",72518,"2025-08-12T11:49:18.643Z",45.054436,"Point","[6.400317280550882,45.05443595445326]","Loic Chalmandrier","Leaf",1,1,"",1,"DCIM/meda_collection/Na_meda_000569_01.jpg","DCIM/meda_collection/Na_meda_000569_02.jpg","DCIM/meda_collection/Na_meda_000569_03.jpg","DCIM/meda_collection/Na_meda_000569_04.jpg","DCIM/meda_collection/Na_meda_000569_05.jpg","0000-0002-2631-0432","Charmander88","medicin_alps",NA,"Com 568",NA,NA,"Na","",NA,NA,NA,NA,NA,NA,NA,NA,20250717123745,NA,NA
"20260113_lysandre_sample_meda_000331_01.mzML","meda_000331","Centaurea","com","Asteraceae",6.419283,969160.94,6443688,"2026-07-21T12:11:07.010Z","053e0368-4ed8-4569-a070-81a22ad13957",72060,"2025-08-12T11:49:05.046Z",45.03998,"Point","[6.419282757161924,45.03998254893703]","Loic Chalmandrier","Leaf",1,1,"",1,"DCIM/meda_collection/Na_meda_000331_01.jpg","DCIM/meda_collection/Na_meda_000331_02.jpg","DCIM/meda_collection/Na_meda_000331_03.jpg","DCIM/meda_collection/Na_meda_000331_04.jpg","DCIM/meda_collection/Na_meda_000331_05.jpg","0000-0002-2631-0432","Charmander88","medicin_alps",NA,"Com 330",NA,NA,"Na","",NA,NA,NA,NA,NA,NA,NA,NA,20250625124210,NA,NA
"20260113_lysandre_sample_meda_000438_01.mzML","meda_000438","Bistorta","indiv","Polygonaceae",6.4006433,967625.56,6445226,"2026-07-21T12:11:07.834Z","053e0368-4ed8-4569-a070-81a22ad13957",72147,"2025-08-12T11:49:07.504Z",45.054413,"Point","[6.400643333333333,45.05441166666664]","Lysandre Journiac","Leaf",0,0,"Bistorta vivipara",0,"DCIM/meda_collection/Bistorta vivipara_meda_000438_01.jpg","DCIM/meda_collection/Bistorta vivipara_meda_000438_02.jpg","DCIM/meda_collection/Bistorta vivipara_meda_000438_03.jpg","DCIM/meda_collection/Bistorta vivipara_meda_000438_04.jpg","DCIM/meda_collection/Bistorta vivipara_meda_000438_05.jpg","0009-0008-4179-5600","","medicin_alps",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,20250716133224,NA,NA
"20260113_lysandre_sample_meda_000501_01.mzML","meda_000501","Patzkea","com","Poaceae",6.4007773,967635.94,6445230,"2026-07-21T12:11:08.894Z","053e0368-4ed8-4569-a070-81a22ad13957",72430,"2025-08-12T11:49:15.724Z",45.054443,"Point","[6.400777500331107,45.0544439123735]","Loic Chalmandrier","Leaf",1,1,"",1,"DCIM/meda_collection/Na_meda_000501_01.jpg","DCIM/meda_collection/Na_meda_000501_02.jpg","DCIM/meda_collection/Na_meda_000501_03.jpg","DCIM/meda_collection/Na_meda_000501_04.jpg","DCIM/meda_collection/Na_meda_000501_05.jpg","0000-0002-2631-0432","Charmander88","medicin_alps",NA,"Com 500",NA,NA,"Na","",NA,NA,NA,NA,NA,NA,NA,NA,20250716101219,NA,NA
