original_sample_id	ms_container_id	extraction_container_id	original_sample_container_id	qfield_project	profile_mode	field_collector_fullname	field_taxon_name	field_latitude	field_longitude	field_comment_eco	field_weather	field_sample_name	field_geometry_coordinates	field_date	extraction_dried_weight	extraction_solvent_volume	extraction_dried_weight_unit_symbol	extraction_solvent_volume_unit_symbol	extraction_method_method_name	aliquot_aliquot_volume	aliquot_volume_unit_symbol	ms_filename	ms_injection_volume	ms_injection_volume_unit_symbol	ms_injection_method_method_name	ms_instrument_instrument_id	ms_instrument_model_instrument_model	ms_instrument_location_room_name	watcher_exact_filename_match
dbgi_001187			dbgi_001187	jbuf				7.1567926	46.79261			Lonicera xylosteum L.	[7.156792537378088, 46.792610582435]																
dbgi_001178			dbgi_001178	jbuf				7.1573157	46.792202			Euonymus alatus Sieb.	[7.15731592936388, 46.79220326161859]																
dbgi_001177			dbgi_001177	jbuf				7.1573076	46.792213			Euonymus europaeus L.	[7.157307780175, 46.79221449977742]																
dbgi_001185			dbgi_001185	jbuf				7.1564727	46.79239			Clematis heracleifolia DC.	[7.156472673330257, 46.79238712030069]																
dbgi_001188			dbgi_001188	jbuf				7.1564775	46.792377			Clematis recta L.	[7.156477273022812, 46.79237850680842]																
dbgi_001186			dbgi_001186	jbuf				7.156504	46.792355			Clematis vitalba L.	[7.156504227195073, 46.7923557205927]																
dbgi_001184			dbgi_001184	jbuf				7.156883	46.792603			Lonicera periclymenum L.	[7.156882585527786, 46.792602440049606]																
dbgi_001139			dbgi_001139	jbuf				7.156867	46.792603			Lonicera caprifolium L.	[7.156867127806609, 46.79260343825906]																
dbgi_001176			dbgi_001176	jbuf				7.1568427	46.792606			Lonicera tatarica L.	[7.156842475997596, 46.79260508111941]																
dbgi_001183			dbgi_001183	jbuf				7.1568065	46.792614			Lonicera kamtschatica (Sevast.) Pojark. 'Maistar'	[7.156806415118721, 46.79261217808955]																
dbgi_001157			dbgi_001157	jbuf				7.155511	46.793415			Euonymus fortunei Hand.- Mazz. 'Coloratus'	[7.155510756216644, 46.79341417893496]																
dbgi_001162			dbgi_001162	jbuf				7.156672	46.792995			Clematis recta L.	[7.156671991284194, 46.7929940792885]																
dbgi_001175			dbgi_001175	jbuf				7.156714	46.792854			Clematis viticella L.	[7.156714147498697, 46.79285397989937]																
